dataset,feature,min_baskets,method,n_users_slice,n_users_feature,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,n_keysets,rho_centered_sign
dunnhumby,relational_strength,2,cbp,4504.0,4504.0,0.17357677418724973,0.018230010386256493,0.0695781584733805,0.021394997387473264,3,positive
dunnhumby,relational_strength,2,diffrec,4504.0,4504.0,0.17348691974033192,0.015431907402192037,0.026869521131206237,0.00856422835716596,3,positive
dunnhumby,relational_strength,2,dnntsp,4504.0,4504.0,0.19771022686751408,0.011304875001256829,0.03387319620323343,0.011165375453576269,3,positive
dunnhumby,relational_strength,2,fpmc,4504.0,4504.0,0.168119579798609,0.005915853728941715,-0.09449327045293442,0.011959330762761138,3,negative
dunnhumby,relational_strength,2,frequency,4504.0,4504.0,0.17582454906193767,0.019659898993916652,0.07147794953145309,0.02474941994995821,3,positive
dunnhumby,relational_strength,2,recency,4504.0,4504.0,0.1740343588310301,0.009850519135906672,-0.04065178737634972,0.015867002460747688,3,negative
dunnhumby,relational_strength,2,tifuknn,4504.0,4504.0,0.1855852199142877,0.015004632604333561,0.09982445018165675,0.012002539291393863,3,positive
dunnhumby,relational_strength,2,triple2vec,4504.0,4504.0,0.17647869723523338,0.016352649668877863,0.05238679754801304,0.01654746581237026,3,positive
dunnhumby,relational_strength,3,cbp,4014.0,4014.0,0.17464902805796712,0.02068515058787356,0.0727758557207404,0.02946898156706261,3,positive
dunnhumby,relational_strength,3,diffrec,4014.0,4014.0,0.17165683473681814,0.014508756182399688,0.021451901339807126,0.009304036567348586,3,positive
dunnhumby,relational_strength,3,dnntsp,4014.0,4014.0,0.20225637297364363,0.010825480611793255,0.04263512274443091,0.011887069492560135,3,positive
dunnhumby,relational_strength,3,fpmc,4014.0,4014.0,0.17203463866235602,0.003959675684703769,-0.09389862037709173,0.01323449375634777,3,negative
dunnhumby,relational_strength,3,frequency,4014.0,4014.0,0.17592666184630948,0.02175880752787254,0.07332916531431748,0.034913250499098956,3,positive
dunnhumby,relational_strength,3,recency,4014.0,4014.0,0.1711524582842372,0.009812055280784292,-0.04755842974854976,0.01289082592266394,3,negative
dunnhumby,relational_strength,3,tifuknn,4014.0,4014.0,0.18786857350201855,0.016251541166219075,0.10309664033354653,0.013372057749854954,3,positive
dunnhumby,relational_strength,3,triple2vec,4014.0,4014.0,0.17352279157084258,0.017977760423631677,0.04952693529279687,0.016748958224616316,3,positive
dunnhumby,relational_strength,5,cbp,3184.3333333333335,3184.3333333333335,0.17780266997992353,0.015309981914430663,0.07302776193189116,0.03124869356810593,3,positive
dunnhumby,relational_strength,5,diffrec,3184.3333333333335,3184.3333333333335,0.17397259775802384,0.009794457730760575,0.016122971152700328,0.009371675580846032,3,positive
dunnhumby,relational_strength,5,dnntsp,3184.3333333333335,3184.3333333333335,0.21193329885292686,0.012576479900112202,0.05637975490502762,0.026542450578046828,3,positive
dunnhumby,relational_strength,5,fpmc,3184.3333333333335,3184.3333333333335,0.17505733183064032,0.007523880815580784,-0.09842712181022228,0.003381630716400636,3,negative
dunnhumby,relational_strength,5,frequency,3184.3333333333335,3184.3333333333335,0.17827669488589784,0.015958207879357734,0.07128599329741842,0.03522539777751904,3,positive
dunnhumby,relational_strength,5,recency,3184.3333333333335,3184.3333333333335,0.17814390544986092,0.0068984422717070564,-0.05209255292046788,0.019682304943435147,3,negative
dunnhumby,relational_strength,5,tifuknn,3184.3333333333335,3184.3333333333335,0.19071674193925273,0.0067697518975355425,0.10167683074110885,0.012104725913770913,3,positive
dunnhumby,relational_strength,5,triple2vec,3184.3333333333335,3184.3333333333335,0.17887260911216016,0.01261947840832682,0.050866798822716976,0.023264367635241895,3,positive
dunnhumby,transition_strength,2,cbp,4504.0,4504.0,0.15373559726887645,0.017349156719074804,0.0818851967373295,0.008716082957476211,3,positive
