dataset,feature,n,missing_rate,p10,median,p90
dunnhumby,n_baskets,10997,0.0,2.0,7.0,18.0
dunnhumby,avg_basket_size,10997,0.0,2.333333333333333,6.2,14.428571428571429
dunnhumby,repeat_rate,10997,0.0,0.0,0.2285714285714285,0.46875
dunnhumby,adjacent_basket_jaccard,10997,0.0,0.0,0.0468207006668545,0.1749351875262098
dunnhumby,recency_frequency_disagreement,10997,0.0,0.0,0.5,0.8
dunnhumby,recent_basket_novelty,10997,0.0,0.0,0.6666666666666666,1.0
dunnhumby,popularity_profile,10997,0.0,0.7025841412404069,0.7914301449990979,0.8646962934512931
dunnhumby,neighbor_similarity,10997,0.0,0.22117457867307683,0.3239670208076483,0.4877048182565839
dunnhumby,cooccurrence_support,10905,0.008365917977630262,1.357663582967217,2.154366488750465,3.0823657379309277
dunnhumby,transition_predictability,10995,0.000181867782122397,0.04995834119284262,0.0726092511238486,0.09279521992843084
instacart,n_baskets,10056,0.0,3.0,9.0,36.0
instacart,avg_basket_size,10056,0.0,3.5,9.0,17.875
instacart,repeat_rate,10056,0.0,0.1212121212121212,0.4146341463414634,0.7141408287452913
instacart,adjacent_basket_jaccard,10056,0.0,0.0293068929673531,0.11329409211553046,0.27804312913008566
instacart,recency_frequency_disagreement,10056,0.0,0.0999999999999999,0.5,0.8
instacart,recent_basket_novelty,10056,0.0,0.0,0.3333333333333333,0.8571428571428571
instacart,popularity_profile,10056,0.0,0.8337081817736051,0.9334241717806486,0.9727779259868938
instacart,neighbor_similarity,10056,0.0,0.16537385094653728,0.28153472130221135,0.4310985568419339
instacart,cooccurrence_support,10020,0.003579952267303103,0.6697014826222537,1.8967141587628908,3.1720363666314144
instacart,transition_predictability,10040,0.0015910898965791568,0.04687148130769332,0.0929765359839703,0.1311600786064135
retailrocket,n_baskets,421,0.0,1.0,1.0,7.0
retailrocket,avg_basket_size,421,0.0,1.0,1.0,2.0
retailrocket,repeat_rate,421,0.0,0.0,0.0,0.2222222222222222
retailrocket,adjacent_basket_jaccard,128,0.6959619952494062,0.0,0.0,1.0
retailrocket,recency_frequency_disagreement,421,0.0,0.0,0.0,0.0
retailrocket,recent_basket_novelty,128,0.6959619952494062,0.0,1.0,1.0
retailrocket,popularity_profile,421,0.0,0.3319656115670183,0.574904476575051,0.924970691676436
retailrocket,neighbor_similarity,421,0.0,0.0,0.0061084722178152,0.1
retailrocket,cooccurrence_support,102,0.7577197149643705,0.0,0.0,0.3820081735713773
retailrocket,transition_predictability,27,0.9358669833729216,0.0,1.1102230246251563e-16,0.04175366005433108
sam,n_baskets,8959,0.0,2.0,4.0,14.0
sam,avg_basket_size,8959,0.0,1.0,3.5,7.868333333333331
sam,repeat_rate,8959,0.0,0.0,0.217391304347826,0.5798655462184873
sam,adjacent_basket_jaccard,8959,0.0,0.0,0.075,0.6479500891265589
sam,recency_frequency_disagreement,8959,0.0,0.0,0.0999999999999999,0.7
sam,recent_basket_novelty,8959,0.0,0.0,0.6666666666666666,1.0
sam,popularity_profile,8959,0.0,0.5950874069278084,0.8500550585165348,0.9543100150092704
sam,neighbor_similarity,8959,0.0,0.051827889313065444,0.1812773649700952,0.3708849375499874
sam,cooccurrence_support,7833,0.1256836700524612,0.0,0.1763632177131008,0.6931471805599453
sam,transition_predictability,7646,0.14655653532760352,0.0055585847737311,0.021243143049614152,0.0741748412623085
taobao,n_baskets,13819,0.0,2.0,5.0,12.0
taobao,avg_basket_size,13819,0.0,1.0,1.25,2.363636363636364
taobao,repeat_rate,13819,0.0,0.0,0.0,0.2222222222222222
taobao,adjacent_basket_jaccard,13819,0.0,0.0,0.0,0.2
taobao,recency_frequency_disagreement,13819,0.0,0.0,0.0,0.6
taobao,recent_basket_novelty,13819,0.0,0.0,1.0,1.0
taobao,popularity_profile,13819,0.0,0.5769669999003019,0.7814604424786782,0.9663835842404357
taobao,neighbor_similarity,13819,0.0,0.056946560726362866,0.1804321692583743,0.577350269189626
taobao,cooccurrence_support,8732,0.3681163615312251,0.0,0.0,0.4313154331477634
taobao,transition_predictability,6506,0.5291989290107822,-2.220446049250313e-16,2.220446049250313e-16,0.2490554423639395
valuedshopper,n_baskets,15190,0.0,9.0,9.0,9.0
valuedshopper,avg_basket_size,15190,0.0,4.333333333333333,10.444444444444445,22.33333333333333
valuedshopper,repeat_rate,15190,0.0,0.1282051282051282,0.25,0.4
valuedshopper,adjacent_basket_jaccard,15190,0.0,0.0104166666666666,0.051012771644004154,0.13245237918059113
valuedshopper,recency_frequency_disagreement,15190,0.0,0.4,0.7,0.9
valuedshopper,recent_basket_novelty,15190,0.0,0.1739130434782608,0.5555555555555556,1.0
valuedshopper,popularity_profile,15190,0.0,0.9014134836699113,0.9484280380054594,0.9710673482184659
valuedshopper,neighbor_similarity,15190,0.0,0.22301106766922793,0.32169892837878644,0.539033573489681
valuedshopper,cooccurrence_support,15189,6.583278472679394e-05,1.9999804154332645,2.851194813966764,3.566309465514562
valuedshopper,transition_predictability,15153,0.002435813034891376,0.04427259026446146,0.0719392528473945,0.10646362550339414
