dataset,keyset,n_users,n_all_zero,all_zero_rate
dunnhumby,0,4504,1543,0.3425843694493783
dunnhumby,1,4504,1494,0.3317051509769094
dunnhumby,2,4504,1549,0.3439165186500888
instacart,0,4124,428,0.1037827352085354
instacart,1,4124,488,0.11833171677982542
instacart,2,4124,496,0.12027158098933075
retailrocket,0,170,63,0.37058823529411766
retailrocket,1,170,68,0.4
retailrocket,2,170,68,0.4
sam,0,3678,1128,0.3066884176182708
sam,1,3678,1205,0.3276237085372485
sam,2,3678,1148,0.31212615551930395
tafeng,0,4073,2277,0.5590473852197397
tafeng,1,4073,2234,0.5484900564694328
tafeng,2,4073,2222,0.5455438251902774
taobao,0,5677,4955,0.8728201514884623
taobao,1,5677,4963,0.87422934648582
taobao,2,5677,4965,0.8745816452351595
tmall,0,4675,4493,0.9610695187165775
tmall,1,4675,4495,0.9614973262032086
tmall,2,4675,4492,0.960855614973262
valuedshopper,0,6214,1206,0.1940778886385581
valuedshopper,1,6214,1186,0.19085934985516576
valuedshopper,2,6214,1193,0.19198583842935307
