dataset,method_a,method_b,feature,rho_keyset0,rho_keyset1,rho_keyset2,mean_rho,mean_abs_rho,min_rho,max_rho,rho_range,sign_pattern,consistent_signs,abs_mean_rho
dunnhumby,frequency,dnntsp,adjacent_basket_jaccard,0.09511949107096505,0.03929699395645194,0.04688458213296071,0.06043368905345923,0.06043368905345923,0.03929699395645194,0.09511949107096505,0.05582249711451311,+++,True,0.06043368905345923
dunnhumby,frequency,dnntsp,avg_basket_size,0.03140741224208254,-0.0147270432423737,0.03972495192467129,0.018801773641460042,0.028619802469709178,-0.0147270432423737,0.03972495192467129,0.05445199516704499,mixed,False,0.018801773641460042
dunnhumby,frequency,dnntsp,cooccurrence_support,-0.016819180220382826,-0.03454711024869996,-0.011680948815065153,-0.021015746428049317,0.021015746428049317,-0.03454711024869996,-0.011680948815065153,0.02286616143363481,---,True,0.021015746428049317
dunnhumby,frequency,dnntsp,n_baskets,-0.035552352141817456,0.019909407648189142,0.010694106468503143,-0.0016496126750417239,0.02205195541950325,-0.035552352141817456,0.019909407648189142,0.0554617597900066,mixed,False,0.0016496126750417239
dunnhumby,frequency,dnntsp,neighbor_similarity,0.0032578197504191143,0.003051889554445505,-0.003549381123844292,0.0009201093936734426,0.003286363476236304,-0.003549381123844292,0.0032578197504191143,0.006807200874263406,mixed,False,0.0009201093936734426
dunnhumby,frequency,dnntsp,popularity_profile,-0.022115918681511713,-0.01908770367897822,-0.0009313143612595731,-0.014044978907249836,0.014044978907249836,-0.022115918681511713,-0.0009313143612595731,0.02118460432025214,---,True,0.014044978907249836
dunnhumby,frequency,dnntsp,recency_frequency_disagreement,-0.013707750781193389,-0.005749717667482469,0.026856934896166574,0.002466488815830238,0.015438134448280813,-0.013707750781193389,0.026856934896166574,0.04056468567735996,mixed,False,0.002466488815830238
dunnhumby,frequency,dnntsp,recent_basket_novelty,-0.05184943219850532,-0.050635866734720376,-0.034008510697309174,-0.04549793654351162,0.04549793654351162,-0.05184943219850532,-0.034008510697309174,0.017840921501196143,---,True,0.04549793654351162
dunnhumby,frequency,dnntsp,repeat_rate,0.0417279993818658,0.03445534409162192,0.046124408450655026,0.04076925064138091,0.04076925064138091,0.03445534409162192,0.046124408450655026,0.011669064359033109,+++,True,0.04076925064138091
dunnhumby,frequency,dnntsp,transition_predictability,0.0049194897629322425,0.0012028370835398823,0.0032047536564422364,0.003109026834304787,0.003109026834304787,0.0012028370835398823,0.0049194897629322425,0.00371665267939236,+++,True,0.003109026834304787
dunnhumby,frequency,racf,adjacent_basket_jaccard,-0.020288435009413294,-0.015746195104869375,0.02408746608522543,-0.003982388009685745,0.020040698733169365,-0.020288435009413294,0.02408746608522543,0.04437590109463872,mixed,False,0.003982388009685745
dunnhumby,frequency,racf,avg_basket_size,-0.02663666458971164,-0.011586365096815142,0.008802979540480786,-0.009806683382015333,0.015675336409002524,-0.02663666458971164,0.008802979540480786,0.035439644130192426,mixed,False,0.009806683382015333
dunnhumby,frequency,racf,cooccurrence_support,0.035258473939792756,-0.003145142453952118,0.0032675200668504257,0.011793617184230354,0.013890378820198432,-0.003145142453952118,0.035258473939792756,0.03840361639374487,mixed,False,0.011793617184230354
dunnhumby,frequency,racf,n_baskets,0.042268266901858746,0.0385632090878304,0.008142943634071819,0.02965813987458699,0.02965813987458699,0.008142943634071819,0.042268266901858746,0.03412532326778693,+++,True,0.02965813987458699
dunnhumby,frequency,racf,neighbor_similarity,0.05338425116456675,0.02060523402793902,0.006923509154501446,0.02697099811566907,0.02697099811566907,0.006923509154501446,0.05338425116456675,0.0464607420100653,+++,True,0.02697099811566907
dunnhumby,frequency,racf,popularity_profile,0.012262611318780462,-0.024867388049849587,-0.0053025529109305925,-0.005969109880666572,0.014144184093186879,-0.024867388049849587,0.012262611318780462,0.03712999936863005,mixed,False,0.005969109880666572
dunnhumby,frequency,racf,recency_frequency_disagreement,-0.003056644518705294,0.032954687998188216,0.0061992100400060065,0.012032417839829642,0.014070180852299838,-0.003056644518705294,0.032954687998188216,0.03601133251689351,mixed,False,0.012032417839829642
dunnhumby,frequency,racf,recent_basket_novelty,-0.026750059490671576,-0.001745787746512401,-0.017885556986049465,-0.015460468074411149,0.015460468074411149,-0.026750059490671576,-0.001745787746512401,0.025004271744159173,---,True,0.015460468074411149
dunnhumby,frequency,racf,repeat_rate,0.02011290924831267,0.009143927297481366,0.01588644794090944,0.015047761495567824,0.015047761495567824,0.009143927297481366,0.02011290924831267,0.010968981950831305,+++,True,0.015047761495567824
dunnhumby,frequency,racf,transition_predictability,0.019744875862432523,-0.012429972962908754,0.018397916930094724,0.008570939943206164,0.01685758858514533,-0.012429972962908754,0.019744875862432523,0.03217484882534127,mixed,False,0.008570939943206164
dunnhumby,frequency,sets2sets,adjacent_basket_jaccard,0.24696284059336052,0.21388492404394066,0.24957528006423155,0.23680768156717757,0.23680768156717757,0.21388492404394066,0.24957528006423155,0.035690356020290886,+++,True,0.23680768156717757
dunnhumby,frequency,sets2sets,avg_basket_size,0.15987852344109368,0.16283928179056448,0.1933143771894589,0.1720107274737057,0.1720107274737057,0.15987852344109368,0.1933143771894589,0.03343585374836522,+++,True,0.1720107274737057
dunnhumby,frequency,sets2sets,cooccurrence_support,-0.0012267688468849023,-0.006513566889688881,0.008158162697148594,0.00013927565352493706,0.005299499477907459,-0.006513566889688881,0.008158162697148594,0.014671729586837476,mixed,False,0.00013927565352493706
dunnhumby,frequency,sets2sets,n_baskets,0.06274316703681272,0.08192858155204251,0.04517365155112845,0.06328180004666123,0.06328180004666123,0.04517365155112845,0.08192858155204251,0.03675493000091406,+++,True,0.06328180004666123
dunnhumby,frequency,sets2sets,neighbor_similarity,-0.004194639801433369,0.009887269585153752,0.004837758097092514,0.003510129293604299,0.006306555827893212,-0.004194639801433369,0.009887269585153752,0.014081909386587122,mixed,False,0.003510129293604299
dunnhumby,frequency,sets2sets,popularity_profile,0.02366762895446413,-0.004684120312479035,0.04567623675464988,0.02155324846554499,0.024675995340531016,-0.004684120312479035,0.04567623675464988,0.050360357067128915,mixed,False,0.02155324846554499
dunnhumby,frequency,sets2sets,recency_frequency_disagreement,0.04280679556709731,0.06206523095302775,0.05585951718220029,0.05357718123410845,0.05357718123410845,0.04280679556709731,0.06206523095302775,0.019258435385930445,+++,True,0.05357718123410845
dunnhumby,frequency,sets2sets,recent_basket_novelty,-0.15659463321607556,-0.1511356892107748,-0.15684669170545332,-0.15485900471076788,0.15485900471076788,-0.15684669170545332,-0.1511356892107748,0.005711002494678513,---,True,0.15485900471076788
dunnhumby,frequency,sets2sets,repeat_rate,0.24500639141846584,0.23099625529947088,0.25134626346791344,0.24244963672861672,0.24244963672861672,0.23099625529947088,0.25134626346791344,0.020350008168442568,+++,True,0.24244963672861672
dunnhumby,frequency,sets2sets,transition_predictability,0.0042371601412259565,0.02463256386323047,0.02330673881423849,0.017392154272898305,0.017392154272898305,0.0042371601412259565,0.02463256386323047,0.02039540372200451,+++,True,0.017392154272898305
dunnhumby,frequency,tifuknn,adjacent_basket_jaccard,-0.03333038309012431,-0.026418860028830485,0.011409152009007354,-0.016113363703315814,0.023719465042654053,-0.03333038309012431,0.011409152009007354,0.044739535099131665,mixed,False,0.016113363703315814
