dataset,feature,count,mean,std,min,p10,median,p90,max
dunnhumby,n_baskets,10997,9.025279621715013,7.072398638723471,2.0,2.0,7.0,18.0,49.0
dunnhumby,avg_basket_size,10997,7.513689800936556,5.163456901174247,1.0,2.333333333333333,6.2,14.428571428571429,57.0
dunnhumby,repeat_rate,10997,0.23980948210588196,0.16612407036254126,0.0,0.0,0.2285714285714285,0.46875,0.875
dunnhumby,adjacent_basket_jaccard,10997,0.07258563282946269,0.08944234412106752,0.0,0.0,0.0468207006668545,0.1749351875262098,1.0
dunnhumby,recent_basket_novelty,10997,0.6235763994033514,0.3314383684068958,0.0,0.0,0.6666666666666666,1.0,1.0
dunnhumby,popularity_profile,10997,0.7854844671603867,0.07096724309849638,0.0783215903371917,0.702584141240407,0.7914301449990983,0.8646962934512931,0.99861600402617
dunnhumby,neighbor_similarity,10997,0.183758248600539,0.04261727423648113,0.1111340208103297,0.14477433074222995,0.1723872847906947,0.23799878918438433,0.5646460314125418
dunnhumby,sequential_specificity,10997,0.12538855434984048,0.11183748633802426,0.0121377026094656,0.03175546756838044,0.0800104950401828,0.3067603309155645,0.57859737611541
dunnhumby,relational_strength,10997,0.05339775828692164,0.02565983393349179,0.0,0.027662633916365503,0.0522289063529519,0.07560955854784598,0.7495643867543085
instacart,n_baskets,10056,14.257756563245824,13.186049221861897,2.0,3.0,9.0,36.0,49.0
instacart,avg_basket_size,10056,10.074401741787952,5.9160061816171545,1.0,3.5,9.0,17.875,52.16666666666666
instacart,repeat_rate,10056,0.4170615057094583,0.21842266614782646,0.0,0.1212121212121212,0.4146341463414634,0.7141408287452913,0.9662162162162162
instacart,adjacent_basket_jaccard,10056,0.1410492436186231,0.12082014141517876,0.0,0.0293068929673531,0.11329409211553046,0.27804312913008566,1.0
instacart,recent_basket_novelty,10056,0.3827778118931826,0.3167665819206111,0.0,0.0,0.3333333333333333,0.8571428571428571,1.0
instacart,popularity_profile,10056,0.9149503375866612,0.061167546596944344,0.3154303379571979,0.8337081817736051,0.9334241717806486,0.9727779259868943,0.9999746604500304
