dataset,history_depth_bin,n_users,history_n_baskets_mean,target_repeat_fraction,target_last_jaccard,target_personal_frequency,target_personal_recency_score,target_transition_strength,target_relational_strength,target_popularity_profile,target_neighbor_support
dunnhumby,1,2286,2.47419072615923,0.2329500800804286,0.07205695589080664,0.1273208771462368,0.17514543411574038,0.017428131264236073,0.04180281213674992,0.7654295976782929,0.08841795713946589
dunnhumby,2,1869,4.498662386302835,0.3338934078561285,0.07067930063851964,0.13266328689764745,0.2041587402508773,0.017509419504102026,0.040477056833846635,0.7698057476883577,0.10605090991371485
dunnhumby,3,2439,6.937269372693727,0.4400548164437044,0.08720496416795057,0.15684320781996985,0.24565173480172373,0.018602849659744753,0.04383478709326,0.7735016794484678,0.11927236436621381
dunnhumby,4,2246,10.715494211932324,0.47629227901460947,0.060035891826267555,0.1229309861237718,0.21524200162107393,0.017243587753911285,0.04206781873463692,0.7683731082823767,0.12536509299748294
dunnhumby,5,2157,20.49142327306444,0.5458529253521386,0.04336783402890092,0.10383665909093193,0.18552999335369377,0.01774666667501069,0.04016691139039388,0.778098531677273,0.1353960625061623
instacart,1,2476,3.2092084006462036,0.46499124078632476,0.15228065738135885,0.25289197776400085,0.34228414421838554,0.03227355658920617,0.0469667365100382,0.9023543659439504,0.14992450056688794
instacart,2,1363,5.456346294937638,0.5735367414265113,0.15145761219007367,0.2512391412628911,0.3677326369335162,0.035029140767982976,0.051193436607061056,0.9039330374537378,0.16493008633939216
instacart,3,2068,8.823984526112186,0.6369394581560766,0.1421307083730648,0.23753178843479825,0.3635704456472969,0.03781953401833862,0.05423883442864756,0.9094567323866515,0.1736739587400556
instacart,4,2085,16.126139088729015,0.7377057434614065,0.13528734939759177,0.23587066523942357,0.3650382375852724,0.0448599388901305,0.06128831655344092,0.9131894127009822,0.18596339016651559
instacart,5,2064,36.88081395348837,0.8357967627439807,0.13114491454901575,0.22779164726854584,0.3663328348765273,0.055892428848015374,0.07655464527129702,0.9286485347014632,0.2145329989700861
sam,1,2465,2.0,0.3724656927113934,0.21861036893677419,0.27243073124609535,0.32395422174869376,0.01008334486785829,0.017750719898437246,0.6958147446062314,0.11097512515938522
sam,2,1494,3.0,0.4267014098243917,0.21507496122126935,0.2677232364127294,0.3428956903838162,0.014245796666684352,0.020480827210109707,0.7367978698578812,0.1292056890635221
sam,3,1696,4.404481132075472,0.4770935241407252,0.19920234128543177,0.26435001949225867,0.3446384509707412,0.017737967548467345,0.022500760876511615,0.775743139606562,0.13518126125764574
sam,4,1569,7.210962396430848,0.5542759221513546,0.1954646480268542,0.26075828617172925,0.35914730300681846,0.025309716146781045,0.031385299937213625,0.8198922977270702,0.14413840694661492
sam,5,1735,18.231123919308356,0.6108840857959034,0.14571268654324684,0.20128345229783995,0.3062909235426198,0.03321050867285639,0.040635201664118215,0.837239186760227,0.12310031519770172
tafeng,1,3099,1.0,0.06732594036602509,0.0336633051997856,0.06732594036602509,0.06732594036602509,0.008404840932992912,0.033468649666929494,0.8361411752285541,0.02851328884248344
tafeng,3,3136,2.4068877551020407,0.13029789976260808,0.0308887513882662,0.06279096006776054,0.09254668660892118,0.008663588392157119,0.03332315947101636,0.8516443516867431,0.0362315946656918
tafeng,4,1496,4.403074866310161,0.18756815593489495,0.03455147508925704,0.05652028794661653,0.10814397698996231,0.009322974480148944,0.034262897406461296,0.8530366001506869,0.04149687072375984
tafeng,5,2193,11.627450980392156,0.26357851494596446,0.02814416929608899,0.046058337920658964,0.10477511766405911,0.010425034270163724,0.02971028785201517,0.8575940005840638,0.05122021328297878
valuedshopper,1,181,5.541436464088398,0.36597033440594867,0.07003008451285979,0.1251835875591241,0.21770478844745175,0.029178860980246996,0.05483101923708536,0.9265119767681751,0.1902046584518326
valuedshopper,3,14969,9.0,0.463619300710111,0.06523533856393415,0.14307992783561393,0.23486489987210082,0.032827499522165966,0.06164928221671797,0.9372155095819431,0.21781415001738882
