dataset,keyset,outcome,method,feature,n_users,r2,coef
dunnhumby,0,difficulty,all_method_mean,n_baskets,4504,0.2637757798995224,-0.04953566057269082
dunnhumby,0,difficulty,all_method_mean,avg_basket_size,4504,0.2637757798995224,0.0410765656587025
dunnhumby,0,difficulty,all_method_mean,repeat_rate,4504,0.2637757798995224,0.08559238132111256
dunnhumby,0,difficulty,all_method_mean,adjacent_basket_jaccard,4504,0.2637757798995224,0.036902617359691685
dunnhumby,0,difficulty,all_method_mean,recent_basket_novelty,4504,0.2637757798995224,-0.001592630426561682
dunnhumby,0,difficulty,all_method_mean,popularity_profile,4504,0.2637757798995224,0.01932303797015174
dunnhumby,0,difficulty,all_method_mean,neighbor_similarity,4504,0.2637757798995224,-0.005198451795948994
dunnhumby,0,difficulty,all_method_mean,transition_strength,4504,0.2637757798995224,0.0075014259864299715
dunnhumby,0,difficulty,all_method_mean,relational_strength,4504,0.2637757798995224,-0.007102018743963604
dunnhumby,0,centered,recency,n_baskets,4504,0.047950084803909054,0.0027199408181847705
dunnhumby,0,centered,recency,avg_basket_size,4504,0.047950084803909054,-0.0032493812793639807
dunnhumby,0,centered,recency,repeat_rate,4504,0.047950084803909054,-0.050455496197031664
dunnhumby,0,centered,recency,adjacent_basket_jaccard,4504,0.047950084803909054,0.011221981460584719
dunnhumby,0,centered,recency,recent_basket_novelty,4504,0.047950084803909054,-0.028004854898272622
dunnhumby,0,centered,recency,popularity_profile,4504,0.047950084803909054,0.0016166032591178477
dunnhumby,0,centered,recency,neighbor_similarity,4504,0.047950084803909054,0.0052188679040948175
dunnhumby,0,centered,recency,transition_strength,4504,0.047950084803909054,0.003166309057721388
dunnhumby,0,centered,recency,relational_strength,4504,0.047950084803909054,0.0009656062685487913
dunnhumby,0,centered,frequency,n_baskets,4504,0.04000360857687235,-0.003972713815649868
dunnhumby,0,centered,frequency,avg_basket_size,4504,0.04000360857687235,0.0013449366581232388
dunnhumby,0,centered,frequency,repeat_rate,4504,0.04000360857687235,0.017697416412330146
dunnhumby,0,centered,frequency,adjacent_basket_jaccard,4504,0.04000360857687235,0.00765692623963066
dunnhumby,0,centered,frequency,recent_basket_novelty,4504,0.04000360857687235,0.004575548733318142
dunnhumby,0,centered,frequency,popularity_profile,4504,0.04000360857687235,-0.004027285144884449
dunnhumby,0,centered,frequency,neighbor_similarity,4504,0.04000360857687235,-0.003097778260754877
dunnhumby,0,centered,frequency,transition_strength,4504,0.04000360857687235,-0.0005625230949405265
dunnhumby,0,centered,frequency,relational_strength,4504,0.04000360857687235,-0.002864973763307234
dunnhumby,0,centered,tifuknn,n_baskets,4504,0.04698828869664129,-0.009710193927603899
dunnhumby,0,centered,tifuknn,avg_basket_size,4504,0.04698828869664129,0.004156421738689726
