dataset,feature,vif,n_users_complete_case
dunnhumby,repeat_rate,4.145330642048827,10997
dunnhumby,n_baskets,2.604920910573415,10997
dunnhumby,adjacent_basket_jaccard,2.1102820988062336,10997
dunnhumby,avg_basket_size,1.9898877868949973,10997
dunnhumby,neighbor_similarity,1.8927500471974232,10997
dunnhumby,recent_basket_novelty,1.6947332172373148,10997
dunnhumby,transition_strength,1.226341729296738,10997
dunnhumby,relational_strength,1.1872774085184188,10997
dunnhumby,popularity_profile,1.1827406108581884,10997
instacart,repeat_rate,6.193470653890978,10056
instacart,transition_strength,4.71365790711744,10056
instacart,relational_strength,3.5689472731008753,10056
instacart,n_baskets,3.2979183466093067,10056
instacart,neighbor_similarity,2.40650717808076,10056
instacart,adjacent_basket_jaccard,2.1647592862197973,10056
instacart,recent_basket_novelty,2.1305163566251295,10056
instacart,popularity_profile,1.9250248279491502,10056
instacart,avg_basket_size,1.339335803846438,10056
sam,repeat_rate,6.61974467905965,8959
sam,adjacent_basket_jaccard,4.696165750800993,8959
sam,recent_basket_novelty,2.745842902208817,8959
sam,transition_strength,2.660892388501241,8959
sam,popularity_profile,2.305592787210309,8959
sam,relational_strength,2.048312716535753,8959
sam,n_baskets,1.9124637590839082,8959
sam,neighbor_similarity,1.687967182598784,8959
sam,avg_basket_size,1.4463093334484254,8959
tafeng,repeat_rate,3.301957085217877,6825
tafeng,popularity_profile,2.430914338648989,6825
tafeng,neighbor_similarity,2.2332881371398647,6825
tafeng,adjacent_basket_jaccard,2.157522371626098,6825
tafeng,transition_strength,1.7232991703148621,6825
tafeng,n_baskets,1.7142144885019006,6825
tafeng,recent_basket_novelty,1.6303898347735195,6825
tafeng,avg_basket_size,1.3493701439344565,6825
tafeng,relational_strength,1.0102920519815766,6825
valuedshopper,repeat_rate,2.664122555077597,15150
valuedshopper,transition_strength,1.9124482779639917,15150
valuedshopper,adjacent_basket_jaccard,1.8776219618513588,15150
valuedshopper,relational_strength,1.7377949590575497,15150
valuedshopper,neighbor_similarity,1.5900325599007687,15150
valuedshopper,avg_basket_size,1.3897901002518585,15150
valuedshopper,popularity_profile,1.306194632575168,15150
valuedshopper,recent_basket_novelty,1.3061364834802665,15150
valuedshopper,n_baskets,1.0390787812378632,15150
