dataset,method_a,method_b,feature,rho_keyset0,rho_keyset1,rho_keyset2,mean_rho,mean_abs_rho,min_rho,max_rho,rho_range,sign_pattern,consistent_signs,abs_mean_rho,n_valid_keysets,rho_sd,max_deviation_from_mean,replication_status,replicated
dunnhumby,frequency,dnntsp,adjacent_basket_jaccard,0.1040088763392613,0.1362758657586605,0.0898537274376425,0.1100461565118548,0.1100461565118548,0.0898537274376425,0.1362758657586605,0.046422138321018,+++,True,0.1100461565118548,3,0.0194266191171757,0.02622970924680569,positive,True
dunnhumby,frequency,dnntsp,avg_basket_size,-0.0079999009905532,0.0815075696263061,-0.012226081497571,0.0204271957127272,0.0339111840381434,-0.012226081497571,0.0815075696263061,0.0937336511238772,mixed,False,0.0204271957127272,3,0.04322479387640403,0.06108037391357891,mixed,False
dunnhumby,frequency,dnntsp,cooccurrence_support,-0.022420161490829,-0.0191171890626809,-0.0314117588087605,-0.0243163697874235,0.0243163697874235,-0.0314117588087605,-0.0191171890626809,0.0122945697460796,---,True,0.0243163697874235,3,0.00519524242221408,0.007095389021337002,negative,True
dunnhumby,frequency,dnntsp,n_baskets,0.0063387542932282,0.0928375861165942,0.0964510174062152,0.0652091192720125,0.0652091192720125,0.0063387542932282,0.0964510174062152,0.0901122631129869,+++,True,0.0652091192720125,3,0.04165376434347529,0.058870364978784305,positive,True
dunnhumby,frequency,dnntsp,neighbor_similarity,0.0145807437109423,0.0120134379692368,0.0166900291524296,0.0144280702775363,0.0144280702775363,0.0120134379692368,0.0166900291524296,0.0046765911831927,+++,True,0.0144280702775363,3,0.0019122601211882153,0.0024146323082995004,positive,True
dunnhumby,frequency,dnntsp,popularity_profile,-0.0099541804713157,-0.0126434743440061,0.0023215015651009,-0.0067587177500736,0.0083063854601409,-0.0126434743440061,0.0023215015651009,0.0149649759091071,mixed,False,0.0067587177500736,3,0.0065138755740943265,0.0090802193151745,mixed,False
dunnhumby,frequency,dnntsp,recency_frequency_disagreement,-0.0160993675670894,0.0632984820445013,0.02035278841162,0.0225173009630106,0.0332502126744036,-0.0160993675670894,0.0632984820445013,0.0793978496115908,mixed,False,0.0225173009630106,3,0.032450151172478264,0.040781181081490696,mixed,False
dunnhumby,frequency,dnntsp,recent_basket_novelty,-0.0551273375184845,-0.0998511254962002,-0.0754598890050727,-0.0768127840065858,0.0768127840065858,-0.0998511254962002,-0.0551273375184845,0.0447237879777157,---,True,0.0768127840065858,3,0.0182834542037832,0.02303834148961441,negative,True
dunnhumby,frequency,dnntsp,repeat_rate,0.071773385249917,0.1653139430900643,0.129918097760562,0.1223351420335144,0.1223351420335144,0.071773385249917,0.1653139430900643,0.0935405578401472,+++,True,0.1223351420335144,3,0.03856237288195371,0.050561756783597395,positive,True
dunnhumby,frequency,dnntsp,transition_predictability,-0.0027213539478328,0.0057514106062528,-0.0043389923737937,-0.0004363119051245,0.0042705856426264,-0.0043389923737937,0.0057514106062528,0.0100904029800465,mixed,False,0.0004363119051245,3,0.004424938487530343,0.0061877225113772995,mixed,False
dunnhumby,frequency,racf,adjacent_basket_jaccard,-0.0202884350094132,-0.0157461951048693,0.0240874660852254,-0.0039823880096857,0.0200406987331693,-0.0202884350094132,0.0240874660852254,0.0443759010946387,mixed,False,0.0039823880096857,3,0.01993481907818254,0.0280698540949111,mixed,False
dunnhumby,frequency,racf,avg_basket_size,-0.0266366645897116,-0.0115863650968151,0.0088029795404807,-0.0098066833820153,0.0156753364090025,-0.0266366645897116,0.0088029795404807,0.0354396441301924,mixed,False,0.0098066833820153,3,0.014522799185491361,0.018609662922496002,mixed,False
dunnhumby,frequency,racf,cooccurrence_support,0.0352584739397927,-0.0031451424539521,0.0032675200668504,0.0117936171842303,0.0138903788201984,-0.0031451424539521,0.0352584739397927,0.0384036163937448,mixed,False,0.0117936171842303,3,0.016797424149170848,0.0234648567555624,mixed,False
dunnhumby,frequency,racf,n_baskets,0.0422682669018587,0.0385632090878304,0.0081429436340718,0.0296581398745869,0.0296581398745869,0.0081429436340718,0.0422682669018587,0.0341253232677869,+++,True,0.0296581398745869,3,0.015288549425462868,0.0215151962405151,positive,True
dunnhumby,frequency,racf,neighbor_similarity,0.0533842511645667,0.020605234027939,0.0069235091545014,0.026970998115669,0.026970998115669,0.0069235091545014,0.0533842511645667,0.0464607420100653,+++,True,0.026970998115669,3,0.01949431286891875,0.0264132530488977,positive,True
dunnhumby,frequency,racf,popularity_profile,0.0122626113187804,-0.0248673880498495,-0.0053025529109305,-0.0059691098806665,0.0141441840931868,-0.0248673880498495,0.0122626113187804,0.03712999936863,mixed,False,0.0059691098806665,3,0.015165584655705208,0.018898278169183,mixed,False
dunnhumby,frequency,racf,recency_frequency_disagreement,-0.0030566445187052,0.0329546879981882,0.006199210040006,0.0120324178398296,0.0140701808522998,-0.0030566445187052,0.0329546879981882,0.0360113325168935,mixed,False,0.0120324178398296,3,0.015269222908354106,0.020922270158358604,mixed,False
