dataset,keyset,user,recency,frequency,racf,tifuknn,triple2vec,sets2sets,dnntsp,n_baskets,avg_basket_size,repeat_rate,item_entropy,singleton_item_share,adjacent_basket_jaccard,recency_frequency_disagreement,preference_drift,recent_basket_novelty,popularity_profile,frequency_popularity_alignment,neighbor_similarity,cooccurrence_support,transition_predictability
dunnhumby,0,12168,0.4692787260227564,0.4692787260227564,0.4692787260227564,0.4692787260227564,0.2960819109658651,0.7653606369886217,0.4692787260227564,4,19.0,0.381578947368421,0.9690140048215444,0.574468085106383,0.212460468058191,0.5,0.5280447582661211,0.2857142857142857,0.845040460360766,0.4154634511944196,0.3886355876149307,3.1553132284361545,0.0813546425065271
dunnhumby,0,7815,0.0,0.169580102636808,0.169580102636808,0.0,0.169580102636808,0.0,0.1460683498427064,14,7.642857142857143,0.4112149532710281,0.9385419717217066,0.7142857142857143,0.0899400812862351,0.7,0.53444100823861,0.5,0.6986675070199285,-0.1572670282032099,0.2771691713132583,1.171517043700989,0.0631383783724744
dunnhumby,0,21705,0.0,0.169580102636808,0.169580102636808,0.1460683498427064,0.339160205273616,0.339160205273616,0.169580102636808,4,6.5,0.0769230769230768,0.9916315702865218,0.9166666666666666,0.0222222222222222,0.7,0.831140868586715,1.0,0.9323584065657542,0.304966988008151,0.3268942628075421,3.4739156969086977,0.0844071298502354
dunnhumby,0,18354,0.0,0.0,0.0,0.0,0.2960819109658651,0.0,0.2346393630113782,4,1.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6236160040261701,,0.2355000300854192,1.110734836725068,0.0441306694751048
dunnhumby,0,7824,0.7860137352654724,1.0,1.0,1.0,1.0,0.339160205273616,1.0,6,9.333333333333334,0.5357142857142857,0.9349142804915278,0.5769230769230769,0.2716666666666666,0.4,0.2781386832172807,0.3076923076923077,0.6980102811129484,-0.2547869335729387,0.2743071822003178,2.037150551685044,0.0638673859510266
dunnhumby,0,11678,0.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,5,6.8,0.2352941176470588,0.9774983422572768,0.7307692307692307,0.1023809523809523,0.4,0.6694570918268681,0.5,0.7384358625181325,0.2209978480439319,0.3922396268354872,1.7843850571126911,0.0484516465348941
dunnhumby,0,17249,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,1.6,0.375,0.9690222556651344,0.4,0.0833333333333333,0.0,0.6556390622295665,0.0,0.8104554604932059,-0.2886751345948128,0.3595775845177625,1.3862943611198906,0.0727901057279386
dunnhumby,0,12581,0.4692787260227564,0.2960819109658651,0.2960819109658651,0.4692787260227564,0.2960819109658651,0.4692787260227564,0.4692787260227564,5,2.2,0.0909090909090909,0.9866599586738648,0.9,0.0833333333333333,0.0,1.0,1.0,0.8100265361211512,0.0580258853185659,0.3882356553071494,2.927122256326633,0.0883573276806184
dunnhumby,0,6668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,8.15,0.4969325153374233,0.935267800848068,0.6219512195121951,0.0343584262314912,0.5,0.4644089741814602,0.2,0.8338502412923265,0.384840866836469,0.470914130407975,2.8636538428180733,0.0772137170188896
dunnhumby,0,8816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,3.2222222222222223,0.1724137931034483,0.9786607425234186,0.8333333333333334,0.0208333333333333,0.4,0.8270197614918079,0.5,0.7026361001683356,-0.2327967932036778,0.2613340717756359,0.9284909695407236,0.0365464064289648
dunnhumby,0,1714,0.0,0.0,0.0,0.0,0.0,0.1460683498427064,0.1312050775123417,18,3.611111111111111,0.3692307692307692,0.95027494344897,0.7073170731707317,0.0422254216371863,0.6,0.5823065442480824,0.6,0.8708470442491579,0.5272479511270812,0.4813090059896372,3.631510422311606,0.0871797932075229
dunnhumby,0,14323,0.6992148198508501,0.6608397947263838,0.6608397947263838,0.8304198973631919,0.529634717214042,0.3835663673713355,0.5147714448836773,9,7.666666666666667,0.5507246376811594,0.9345756608116138,0.5161290322580645,0.1899267399267399,0.3,0.3999724951635033,0.2,0.8600832950409545,0.5449187139607686,0.4324770443996097,3.2172984356311067,0.0888918388992034
dunnhumby,0,17420,0.0,0.4692787260227564,0.4692787260227564,0.2346393630113782,0.0,0.0,0.2960819109658651,3,3.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.6455432533691214,,0.241670960449765,0.4955827057601261,0.0466225443501316
dunnhumby,0,3367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.25,0.0769230769230768,0.9916315702865218,0.9166666666666666,0.0,0.5,0.8458993228916185,0.5,0.6417386086485231,0.043566712572593,0.2043906207255674,1.2739942999957568,0.0462147879772411
dunnhumby,0,15029,0.0,0.0,0.0,0.0,0.0,0.6131471927654584,0.0,3,1.3333333333333333,0.0,1.0,1.0,0.0,0.0,,1.0,0.8019313034725717,,0.343870515077917,1.791759469228055,0.0747267359568983
dunnhumby,0,18262,0.5307212739772434,0.7653606369886217,0.7653606369886217,0.7653606369886217,0.7653606369886217,0.4692787260227564,0.7653606369886217,3,3.0,0.2222222222222222,0.9708357627258162,0.7142857142857143,0.1666666666666666,0.0,,1.0,0.969705865906168,0.3162277660168379,0.5140431919863155,5.292782699255167,0.0637343049878486
dunnhumby,0,2811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,7.272727272727272,0.4416666666666666,0.9303413446459556,0.7238805970149254,0.0335389564479638,0.6,0.5297362322009208,0.3,0.7631584465693675,0.2683739531691342,0.3669892544288387,2.13236923370873,0.0703828124212284
