dataset,keyset,best_method,best_method_ndcg,oracle_ndcg,oracle_headroom
dunnhumby,0,racf,0.26784335517175817,0.3514103291880879,0.08356697401632973
dunnhumby,1,racf,0.2732441398443253,0.3569969408392532,0.08375280099492793
dunnhumby,2,racf,0.2711330444211837,0.35259622012013675,0.08146317569895306
instacart,0,racf,0.4445255752867852,0.5410667541120712,0.09654117882528596
instacart,1,racf,0.43809554546447965,0.5364885047329905,0.09839295926851083
instacart,2,racf,0.43341226397379784,0.5302730847362145,0.09686082076241664
retailrocket,0,recency,0.5955858166388468,0.6140173191608539,0.018431502522007093
retailrocket,1,racf,0.5707118139218283,0.5882352941176471,0.01752348019581873
retailrocket,2,frequency,0.5712723020527377,0.5948345603341385,0.023562258281400794
sam,0,racf,0.3507856666741223,0.4352571024406985,0.08447143576657618
sam,1,racf,0.33813612816776334,0.4188300376213014,0.08069390945353805
sam,2,racf,0.3315850666695949,0.4217143406587874,0.09012927398919246
taobao,0,sets2sets,0.07886873572970365,0.11157650340087662,0.03270776767117296
taobao,1,sets2sets,0.07964840781795111,0.11003026909873762,0.0303818612807865
taobao,2,sets2sets,0.07773596944137214,0.11027761425962293,0.032541644818250795
valuedshopper,0,tifuknn,0.3541555463202602,0.4450009036354733,0.0908453573152131
valuedshopper,1,tifuknn,0.3529623754814584,0.4449133531017495,0.09195097762029109
valuedshopper,2,tifuknn,0.359745322430965,0.4495136456869933,0.08976832325602829
