dataset,keyset,method_a,method_b,mean_delta,median_delta,p10_delta,p90_delta,a_better_share,b_better_share,tie_share,two_sided_share
dunnhumby,0,recency,frequency,-0.0911866176120294,0.0,-0.3868528072345415,0.0444061620977195,0.11545293072824156,0.38565719360568385,0.4988898756660746,0.11545293072824156
dunnhumby,0,recency,racf,-0.09450162270488333,0.0,-0.3868528072345415,0.04440616209771952,0.11656305506216696,0.39431616341030196,0.4891207815275311,0.11656305506216696
dunnhumby,0,recency,tifuknn,-0.0895417055330362,0.0,-0.3626719580677178,0.0,0.09502664298401421,0.3774422735346359,0.5275310834813499,0.09502664298401421
dunnhumby,0,recency,fpmc,0.034170891239989974,0.0,-0.16958010263680812,0.3007851801491498,0.27486678507992895,0.18006216696269983,0.5450710479573713,0.18006216696269983
dunnhumby,0,recency,triple2vec,-0.08248317638980444,0.0,-0.3868528072345415,0.1251739405390885,0.1405417406749556,0.3705595026642984,0.488898756660746,0.1405417406749556
dunnhumby,0,recency,sets2sets,-0.010767475907507968,0.0,-0.2960819109658651,0.2346393630113783,0.22824156305506216,0.2706483126110124,0.5011101243339254,0.22824156305506216
dunnhumby,0,recency,dnntsp,-0.06023490356874458,0.0,-0.36267195806771774,0.169580102636808,0.17095914742451154,0.34347246891651867,0.4855683836589698,0.17095914742451154
dunnhumby,0,recency,cbp,-0.09200683094798674,0.0,-0.38356636737133576,0.0444061620977195,0.11545293072824156,0.39120781527531084,0.4933392539964476,0.11545293072824156
dunnhumby,0,recency,diffrec,-0.0795055699491924,0.0,-0.3626719580677178,0.08278118722218586,0.12655417406749556,0.37366785079928955,0.4997779751332149,0.12655417406749556
dunnhumby,0,frequency,racf,-0.0033150050928539058,0.0,0.0,0.0,0.06838365896980461,0.09125222024866785,0.8403641207815276,0.06838365896980461
dunnhumby,0,frequency,tifuknn,0.0016449120789932192,0.0,-0.13120507751234178,0.13120507751234178,0.18872113676731794,0.1827264653641208,0.6285523978685613,0.1827264653641208
dunnhumby,0,frequency,fpmc,0.12535750885201938,0.0,-0.023511752794101615,0.48522855511632257,0.4234014209591474,0.10523978685612789,0.4713587921847247,0.10523978685612789
dunnhumby,0,frequency,triple2vec,0.008703441222224967,0.0,-0.10490371433489717,0.14407766125137167,0.20603907637655416,0.15674955595026643,0.6372113676731794,0.15674955595026643
dunnhumby,0,frequency,sets2sets,0.08041914170452144,0.0,-0.1460683498427064,0.3903800499921016,0.37233570159857904,0.15763765541740674,0.4700266429840142,0.15763765541740674
dunnhumby,0,frequency,dnntsp,0.030951714043284822,0.0,-0.1460683498427064,0.22629438553091685,0.277753108348135,0.1902753108348135,0.5319715808170515,0.1902753108348135
dunnhumby,0,frequency,cbp,-0.0008202133359573318,0.0,0.0,0.0,0.05461811722912966,0.06771758436944939,0.8776642984014209,0.05461811722912966
dunnhumby,0,frequency,diffrec,0.011681047662837002,0.0,-0.1251739405390886,0.1486856933331902,0.21891651865008882,0.1649644760213144,0.6161190053285968,0.1649644760213144
dunnhumby,0,racf,tifuknn,0.0049599171718471245,0.0,-0.1312050775123417,0.14286552673679725,0.1933836589698046,0.17650976909413854,0.6301065719360568,0.17650976909413854
dunnhumby,0,racf,fpmc,0.1286725139448733,0.0,-0.023511752794101615,0.48522855511632274,0.4293960923623446,0.1072380106571936,0.4633658969804618,0.1072380106571936
dunnhumby,0,racf,triple2vec,0.012018446315078873,0.0,-0.09720320604587734,0.14606834984270645,0.2144760213143872,0.15408525754884547,0.6314387211367674,0.15408525754884547
dunnhumby,0,racf,sets2sets,0.08373414679737534,0.0,-0.1460683498427064,0.3903800499921017,0.3752220248667851,0.1558614564831261,0.4689165186500888,0.1558614564831261
dunnhumby,0,racf,dnntsp,0.03426671913613873,0.0,-0.1460683498427064,0.22629438553091685,0.2839698046181172,0.18339253996447602,0.5326376554174067,0.18339253996447602
dunnhumby,0,racf,cbp,0.0024947917568965733,0.0,0.0,0.014863272330364607,0.1016873889875666,0.0905861456483126,0.8077264653641207,0.0905861456483126
dunnhumby,0,racf,diffrec,0.014996052755690907,0.0,-0.1251739405390885,0.169580102636808,0.22713143872113678,0.16518650088809947,0.6076820603907638,0.16518650088809947
dunnhumby,0,tifuknn,fpmc,0.12371259677302614,0.0,0.0,0.4692787260227564,0.4256216696269982,0.08681172291296625,0.48756660746003555,0.08681172291296625
dunnhumby,0,tifuknn,triple2vec,0.007058529143231748,0.0,-0.1460683498427064,0.169580102636808,0.227797513321492,0.1922735346358792,0.5799289520426287,0.1922735346358792
dunnhumby,0,tifuknn,sets2sets,0.07877422962552823,0.0,-0.13120507751234178,0.3835663673713355,0.3647868561278863,0.15519538188277088,0.4800177619893428,0.15519538188277088
dunnhumby,0,tifuknn,dnntsp,0.029306801964291605,0.0,-0.1460683498427065,0.22629438553091685,0.28063943161634103,0.19738010657193605,0.5219804618117229,0.19738010657193605
dunnhumby,0,tifuknn,cbp,-0.0024651254149505512,0.0,-0.13120507751234178,0.1312050775123417,0.17673179396092362,0.1924955595026643,0.6307726465364121,0.17673179396092362
dunnhumby,0,tifuknn,diffrec,0.010036135583843782,0.0,-0.13120507751234178,0.169580102636808,0.22646536412078153,0.1871669626998224,0.5863676731793961,0.1871669626998224
dunnhumby,0,fpmc,triple2vec,-0.11665406762979441,0.0,-0.4852285551163225,0.0614425479544871,0.12144760213143872,0.4129662522202487,0.46558614564831263,0.12144760213143872
dunnhumby,0,fpmc,sets2sets,-0.044938367147497944,0.0,-0.339160205273616,0.16958010263680814,0.1825044404973357,0.3174955595026643,0.5,0.1825044404973357
dunnhumby,0,fpmc,dnntsp,-0.09440579480873457,0.0,-0.4076087606974198,0.06791791489182114,0.12522202486678508,0.38188277087033745,0.4928952042628774,0.12522202486678508
dunnhumby,0,fpmc,cbp,-0.1261777221879767,0.0,-0.4852285551163225,0.016695412773704024,0.102797513321492,0.4289520426287744,0.4682504440497336,0.102797513321492
dunnhumby,0,fpmc,diffrec,-0.1136764611891824,0.0,-0.4414924137367807,0.0,0.09524866785079929,0.4162966252220249,0.48845470692717585,0.09524866785079929
dunnhumby,0,triple2vec,sets2sets,0.07171570048229647,0.0,-0.169580102636808,0.3903800499921016,0.3654529307282416,0.1802841918294849,0.45426287744227356,0.1802841918294849
dunnhumby,0,triple2vec,dnntsp,0.02224827282105986,0.0,-0.169580102636808,0.21398626473452764,0.26687388987566607,0.21758436944937834,0.5155417406749556,0.21758436944937834
dunnhumby,0,triple2vec,cbp,-0.009523654558182298,0.0,-0.1460683498427064,0.08559359695689243,0.15630550621669628,0.2113676731793961,0.6323268206039077,0.15630550621669628
dunnhumby,0,triple2vec,diffrec,0.0029776064406120345,0.0,-0.169580102636808,0.16958010263680812,0.22246891651865008,0.22491119005328597,0.552619893428064,0.22246891651865008
dunnhumby,0,sets2sets,dnntsp,-0.04946742766123662,0.0,-0.3391602052736161,0.1681275362711174,0.17739786856127887,0.31993783303730017,0.5026642984014209,0.17739786856127887
dunnhumby,0,sets2sets,cbp,-0.08123935504047876,0.0,-0.3903800499921016,0.1460683498427064,0.15808170515097691,0.3772202486678508,0.4646980461811723,0.15808170515097691
dunnhumby,0,sets2sets,diffrec,-0.06873809404168445,0.0,-0.3775352303980824,0.1460683498427064,0.1605239786856128,0.3561278863232682,0.483348134991119,0.1605239786856128
dunnhumby,0,dnntsp,cbp,-0.03177192737924216,0.0,-0.22225251372098417,0.1460683498427064,0.1891651865008881,0.28352575488454707,0.5273090586145648,0.1891651865008881
dunnhumby,0,dnntsp,diffrec,-0.01927066638044782,0.0,-0.2139862647345276,0.169580102636808,0.21780639431616342,0.2571047957371226,0.525088809946714,0.21780639431616342
dunnhumby,0,cbp,diffrec,0.012501260998794336,0.0,-0.1251739405390885,0.15471683030644343,0.222246891651865,0.16629662522202487,0.6114564831261101,0.16629662522202487
dunnhumby,1,recency,frequency,-0.09701001729641269,0.0,-0.3868528072345415,0.03837502512446622,0.10990230905861456,0.3914298401420959,0.49866785079928955,0.10990230905861456
dunnhumby,1,recency,racf,-0.0998216633206887,0.0,-0.38685280723454163,0.03837502512446633,0.11323268206039076,0.402753108348135,0.48401420959147423,0.11323268206039076
dunnhumby,1,recency,tifuknn,-0.09019741295523802,0.0,-0.3600546145772339,0.0,0.09524866785079929,0.38787744227353466,0.5168738898756661,0.09524866785079929
dunnhumby,1,recency,fpmc,0.030313909365698492,0.0,-0.1951900249960508,0.2960819109658651,0.2853019538188277,0.1878330373001776,0.5268650088809946,0.1878330373001776
dunnhumby,1,recency,triple2vec,-0.08540816764918385,0.0,-0.3868528072345415,0.12312616259115847,0.13654529307282415,0.37766429840142096,0.4857904085257549,0.13654529307282415
dunnhumby,1,recency,sets2sets,-0.01116811169011431,0.0,-0.2960819109658651,0.2463023887407299,0.23312611012433393,0.2768650088809947,0.4900088809946714,0.23312611012433393
dunnhumby,1,recency,dnntsp,-0.04687607243557818,0.0,-0.3391602052736161,0.16958010263680817,0.18872113676731794,0.325044404973357,0.48623445825932504,0.18872113676731794
dunnhumby,1,recency,cbp,-0.09708411999432465,0.0,-0.3868528072345415,0.027062488724933387,0.10923623445825932,0.39342806394316165,0.49733570159857904,0.10923623445825932
dunnhumby,1,recency,diffrec,-0.08216275836533078,0.0,-0.38356636737133554,0.1251739405390885,0.13765541740674955,0.37544404973357015,0.48690053285968027,0.13765541740674955
dunnhumby,1,frequency,racf,-0.0028116460242760184,0.0,0.0,0.0,0.07504440497335702,0.08725577264653642,0.8376998223801065,0.07504440497335702
dunnhumby,1,frequency,tifuknn,0.006812604341174682,0.0,-0.1312050775123417,0.14003721286945325,0.2002664298401421,0.17118117229129662,0.6285523978685613,0.17118117229129662
dunnhumby,1,frequency,fpmc,0.1273239266621112,0.0,-0.022726549746956436,0.4852285551163227,0.43050621669627,0.10257548845470693,0.4669182948490231,0.10257548845470693
dunnhumby,1,frequency,triple2vec,0.011601849647228836,0.0,-0.08278118722218586,0.14606834984270645,0.2144760213143872,0.1514209591474245,0.6341030195381883,0.1514209591474245
dunnhumby,1,frequency,sets2sets,0.08584190560629838,0.0,-0.1460683498427064,0.40707812016543726,0.37366785079928955,0.1625222024866785,0.463809946714032,0.1625222024866785
dunnhumby,1,frequency,dnntsp,0.050133944860834515,0.0,-0.1312050775123417,0.3007851801491498,0.32015985790408524,0.16341030195381884,0.5164298401420959,0.16341030195381884
