dataset,keyset,method_a,method_b,n_users,n_decisive,a_win_rate,b_win_rate,tie_rate,decisive_rate,conditional_a_win_rate,conditional_b_win_rate,mean_delta
dunnhumby,0,recency,frequency,4504,2257,0.11545293072824156,0.38565719360568385,0.4988898756660746,0.5011101243339254,0.2303943287549845,0.7696056712450156,-0.0911866176120294
dunnhumby,0,recency,racf,4504,2301,0.11656305506216696,0.39431616341030196,0.4891207815275311,0.5108792184724689,0.22816166883963493,0.771838331160365,-0.09450162270488333
dunnhumby,0,recency,tifuknn,4504,2128,0.09502664298401421,0.3774422735346359,0.5275310834813499,0.4724689165186501,0.20112781954887218,0.7988721804511278,-0.0895417055330362
dunnhumby,0,recency,fpmc,4504,2049,0.27486678507992895,0.18006216696269983,0.5450710479573713,0.4549289520426288,0.6041971693509028,0.3958028306490971,0.034170891239989974
dunnhumby,0,recency,triple2vec,4504,2302,0.1405417406749556,0.3705595026642984,0.488898756660746,0.511101243339254,0.2749782797567333,0.7250217202432667,-0.08248317638980444
dunnhumby,0,recency,sets2sets,4504,2247,0.22824156305506216,0.2706483126110124,0.5011101243339254,0.4988898756660746,0.4574988874054295,0.5425011125945706,-0.010767475907507968
dunnhumby,0,recency,dnntsp,4504,2317,0.17095914742451154,0.34347246891651867,0.4855683836589698,0.5144316163410302,0.3323262839879154,0.6676737160120846,-0.06023490356874458
dunnhumby,0,recency,cbp,4504,2282,0.11545293072824156,0.39120781527531084,0.4933392539964476,0.5066607460035524,0.22787028921998248,0.7721297107800176,-0.09200683094798674
dunnhumby,0,recency,diffrec,4504,2253,0.12655417406749556,0.37366785079928955,0.4997779751332149,0.5002220248667851,0.2529960053262317,0.7470039946737683,-0.0795055699491924
dunnhumby,0,frequency,racf,4504,719,0.06838365896980461,0.09125222024866785,0.8403641207815276,0.15963587921847247,0.4283727399165508,0.5716272600834492,-0.0033150050928539058
dunnhumby,0,frequency,tifuknn,4504,1673,0.18872113676731794,0.1827264653641208,0.6285523978685613,0.37144760213143874,0.5080693365212193,0.4919306634787806,0.0016449120789932192
dunnhumby,0,frequency,fpmc,4504,2381,0.4234014209591474,0.10523978685612789,0.4713587921847247,0.5286412078152753,0.8009239815203696,0.1990760184796304,0.12535750885201938
dunnhumby,0,frequency,triple2vec,4504,1634,0.20603907637655416,0.15674955595026643,0.6372113676731794,0.3627886323268206,0.5679314565483476,0.4320685434516524,0.008703441222224967
dunnhumby,0,frequency,sets2sets,4504,2387,0.37233570159857904,0.15763765541740674,0.4700266429840142,0.5299733570159858,0.7025555090071219,0.29744449099287806,0.08041914170452144
dunnhumby,0,frequency,dnntsp,4504,2108,0.277753108348135,0.1902753108348135,0.5319715808170515,0.46802841918294846,0.5934535104364327,0.40654648956356737,0.030951714043284822
dunnhumby,0,frequency,cbp,4504,551,0.05461811722912966,0.06771758436944939,0.8776642984014209,0.12233570159857904,0.44646098003629764,0.5535390199637024,-0.0008202133359573318
dunnhumby,0,frequency,diffrec,4504,1729,0.21891651865008882,0.1649644760213144,0.6161190053285968,0.3838809946714032,0.5702718334297282,0.42972816657027185,0.011681047662837002
dunnhumby,0,racf,tifuknn,4504,1666,0.1933836589698046,0.17650976909413854,0.6301065719360568,0.36989342806394315,0.5228091236494598,0.4771908763505402,0.0049599171718471245
dunnhumby,0,racf,fpmc,4504,2417,0.4293960923623446,0.1072380106571936,0.4633658969804618,0.5366341030195382,0.8001654944145635,0.1998345055854365,0.1286725139448733
dunnhumby,0,racf,triple2vec,4504,1660,0.2144760213143872,0.15408525754884547,0.6314387211367674,0.3685612788632327,0.5819277108433735,0.41807228915662653,0.012018446315078873
dunnhumby,0,racf,sets2sets,4504,2392,0.3752220248667851,0.1558614564831261,0.4689165186500888,0.5310834813499112,0.7065217391304348,0.29347826086956524,0.08373414679737534
dunnhumby,0,racf,dnntsp,4504,2105,0.2839698046181172,0.18339253996447602,0.5326376554174067,0.46736234458259324,0.6076009501187648,0.39239904988123514,0.03426671913613873
dunnhumby,0,racf,cbp,4504,866,0.1016873889875666,0.0905861456483126,0.8077264653641207,0.1922735346358792,0.5288683602771362,0.47113163972286376,0.0024947917568965733
dunnhumby,0,racf,diffrec,4504,1767,0.22713143872113678,0.16518650088809947,0.6076820603907638,0.3923179396092362,0.5789473684210527,0.42105263157894735,0.014996052755690907
dunnhumby,0,tifuknn,fpmc,4504,2308,0.4256216696269982,0.08681172291296625,0.48756660746003555,0.5124333925399644,0.8305892547660312,0.16941074523396882,0.12371259677302614
dunnhumby,0,tifuknn,triple2vec,4504,1892,0.227797513321492,0.1922735346358792,0.5799289520426287,0.4200710479573712,0.5422832980972516,0.45771670190274844,0.007058529143231748
dunnhumby,0,tifuknn,sets2sets,4504,2342,0.3647868561278863,0.15519538188277088,0.4800177619893428,0.5199822380106572,0.701537147736977,0.29846285226302305,0.07877422962552823
dunnhumby,0,tifuknn,dnntsp,4504,2153,0.28063943161634103,0.19738010657193605,0.5219804618117229,0.4780195381882771,0.5870877844867627,0.41291221551323737,0.029306801964291605
dunnhumby,0,tifuknn,cbp,4504,1663,0.17673179396092362,0.1924955595026643,0.6307726465364121,0.3692273534635879,0.47865303668069753,0.5213469633193024,-0.0024651254149505512
dunnhumby,0,tifuknn,diffrec,4504,1863,0.22646536412078153,0.1871669626998224,0.5863676731793961,0.4136323268206039,0.5475040257648953,0.4524959742351047,0.010036135583843782
dunnhumby,0,fpmc,triple2vec,4504,2407,0.12144760213143872,0.4129662522202487,0.46558614564831263,0.5344138543516874,0.22725384295803905,0.7727461570419609,-0.11665406762979441
dunnhumby,0,fpmc,sets2sets,4504,2252,0.1825044404973357,0.3174955595026643,0.5,0.5,0.3650088809946714,0.6349911190053286,-0.044938367147497944
dunnhumby,0,fpmc,dnntsp,4504,2284,0.12522202486678508,0.38188277087033745,0.4928952042628774,0.5071047957371225,0.2469352014010508,0.7530647985989493,-0.09440579480873457
dunnhumby,0,fpmc,cbp,4504,2395,0.102797513321492,0.4289520426287744,0.4682504440497336,0.5317495559502664,0.19331941544885178,0.8066805845511482,-0.1261777221879767
dunnhumby,0,fpmc,diffrec,4504,2304,0.09524866785079929,0.4162966252220249,0.48845470692717585,0.5115452930728241,0.18619791666666666,0.8138020833333334,-0.1136764611891824
dunnhumby,0,triple2vec,sets2sets,4504,2458,0.3654529307282416,0.1802841918294849,0.45426287744227356,0.5457371225577264,0.6696501220504475,0.3303498779495525,0.07171570048229647
dunnhumby,0,triple2vec,dnntsp,4504,2182,0.26687388987566607,0.21758436944937834,0.5155417406749556,0.4844582593250444,0.5508707607699358,0.44912923923006415,0.02224827282105986
dunnhumby,0,triple2vec,cbp,4504,1656,0.15630550621669628,0.2113676731793961,0.6323268206039077,0.36767317939609234,0.4251207729468599,0.5748792270531401,-0.009523654558182298
dunnhumby,0,triple2vec,diffrec,4504,2015,0.22246891651865008,0.22491119005328597,0.552619893428064,0.44738010657193605,0.49727047146401987,0.5027295285359802,0.0029776064406120345
dunnhumby,0,sets2sets,dnntsp,4504,2240,0.17739786856127887,0.31993783303730017,0.5026642984014209,0.49733570159857904,0.3566964285714286,0.6433035714285714,-0.04946742766123662
dunnhumby,0,sets2sets,cbp,4504,2411,0.15808170515097691,0.3772202486678508,0.4646980461811723,0.5353019538188277,0.2953131480713397,0.7046868519286603,-0.08123935504047876
dunnhumby,0,sets2sets,diffrec,4504,2327,0.1605239786856128,0.3561278863232682,0.483348134991119,0.5166518650088809,0.3107004727116459,0.6892995272883541,-0.06873809404168445
dunnhumby,0,dnntsp,cbp,4504,2129,0.1891651865008881,0.28352575488454707,0.5273090586145648,0.47269094138543516,0.4001878816345702,0.5998121183654298,-0.03177192737924216
dunnhumby,0,dnntsp,diffrec,4504,2139,0.21780639431616342,0.2571047957371226,0.525088809946714,0.47491119005328597,0.4586255259467041,0.541374474053296,-0.01927066638044782
dunnhumby,0,cbp,diffrec,4504,1750,0.222246891651865,0.16629662522202487,0.6114564831261101,0.3885435168738899,0.572,0.428,0.012501260998794336
dunnhumby,1,recency,frequency,4504,2258,0.10990230905861456,0.3914298401420959,0.49866785079928955,0.5013321492007105,0.21922054915854738,0.7807794508414526,-0.09701001729641269
dunnhumby,1,recency,racf,4504,2324,0.11323268206039076,0.402753108348135,0.48401420959147423,0.5159857904085258,0.21944922547332185,0.7805507745266781,-0.0998216633206887
dunnhumby,1,recency,tifuknn,4504,2176,0.09524866785079929,0.38787744227353466,0.5168738898756661,0.48312611012433393,0.19715073529411764,0.8028492647058824,-0.09019741295523802
dunnhumby,1,recency,fpmc,4504,2131,0.2853019538188277,0.1878330373001776,0.5268650088809946,0.4731349911190053,0.6030032848427969,0.3969967151572032,0.030313909365698492
dunnhumby,1,recency,triple2vec,4504,2316,0.13654529307282415,0.37766429840142096,0.4857904085257549,0.5142095914742452,0.2655440414507772,0.7344559585492227,-0.08540816764918385
dunnhumby,1,recency,sets2sets,4504,2297,0.23312611012433393,0.2768650088809947,0.4900088809946714,0.5099911190053286,0.457117979973879,0.5428820200261211,-0.01116811169011431
dunnhumby,1,recency,dnntsp,4504,2314,0.18872113676731794,0.325044404973357,0.48623445825932504,0.5137655417406749,0.36732929991356955,0.6326707000864304,-0.04687607243557818
dunnhumby,1,recency,cbp,4504,2264,0.10923623445825932,0.39342806394316165,0.49733570159857904,0.5026642984014209,0.21731448763250882,0.7826855123674912,-0.09708411999432465
dunnhumby,1,recency,diffrec,4504,2311,0.13765541740674955,0.37544404973357015,0.48690053285968027,0.5130994671403197,0.2682821289485071,0.7317178710514929,-0.08216275836533078
dunnhumby,1,frequency,racf,4504,731,0.07504440497335702,0.08725577264653642,0.8376998223801065,0.16230017761989343,0.46238030095759236,0.5376196990424077,-0.0028116460242760184
dunnhumby,1,frequency,tifuknn,4504,1673,0.2002664298401421,0.17118117229129662,0.6285523978685613,0.37144760213143874,0.539151225343694,0.460848774656306,0.006812604341174682
dunnhumby,1,frequency,fpmc,4504,2401,0.43050621669627,0.10257548845470693,0.4669182948490231,0.5330817051509769,0.8075801749271136,0.1924198250728863,0.1273239266621112
dunnhumby,1,frequency,triple2vec,4504,1648,0.2144760213143872,0.1514209591474245,0.6341030195381883,0.36589698046181174,0.5861650485436893,0.41383495145631066,0.011601849647228836
dunnhumby,1,frequency,sets2sets,4504,2415,0.37366785079928955,0.1625222024866785,0.463809946714032,0.536190053285968,0.6968944099378882,0.3031055900621118,0.08584190560629838
dunnhumby,1,frequency,dnntsp,4504,2178,0.32015985790408524,0.16341030195381884,0.5164298401420959,0.4835701598579041,0.6620752984389348,0.3379247015610652,0.050133944860834515
dunnhumby,1,frequency,cbp,4504,604,0.06349911190053285,0.07060390763765542,0.8658969804618117,0.1341030195381883,0.4735099337748344,0.5264900662251656,-7.410269791195746e-05
dunnhumby,1,frequency,diffrec,4504,1743,0.2313499111900533,0.15563943161634103,0.6130106571936057,0.3869893428063943,0.597819850831899,0.40218014916810096,0.014847258931081912
dunnhumby,1,racf,tifuknn,4504,1673,0.20648312611012434,0.1649644760213144,0.6285523978685613,0.37144760213143874,0.5558876270173342,0.44411237298266587,0.0096242503654507
dunnhumby,1,racf,fpmc,4504,2415,0.43539076376554176,0.10079928952042629,0.463809946714032,0.536190053285968,0.8120082815734989,0.18799171842650103,0.13013557268638723
dunnhumby,1,racf,triple2vec,4504,1651,0.2202486678507993,0.14631438721136766,0.6334369449378331,0.36656305506216696,0.600847970926711,0.3991520290732889,0.014413495671504854
dunnhumby,1,racf,sets2sets,4504,2408,0.37633214920071045,0.158303730017762,0.46536412078152756,0.5346358792184724,0.7039036544850499,0.2960963455149502,0.08865355163057441
dunnhumby,1,racf,dnntsp,4504,2195,0.32571047957371224,0.16163410301953818,0.5126554174067496,0.4873445825932504,0.6683371298405467,0.3316628701594533,0.052945590885110534
dunnhumby,1,racf,cbp,4504,865,0.09635879218472469,0.09569271758436945,0.8079484902309059,0.19205150976909413,0.5017341040462427,0.4982658959537572,0.002737543326364061
dunnhumby,1,racf,diffrec,4504,1730,0.23423623445825933,0.14986678507992895,0.6158969804618117,0.38410301953818826,0.6098265895953757,0.3901734104046243,0.017658904955357935
dunnhumby,1,tifuknn,fpmc,4504,2366,0.4296181172291297,0.09569271758436945,0.4746891651865009,0.5253108348134992,0.8178360101437024,0.18216398985629756,0.12051132232093649
dunnhumby,1,tifuknn,triple2vec,4504,1897,0.2246891651865009,0.19649200710479572,0.5788188277087034,0.42118117229129665,0.5334739061676331,0.4665260938323669,0.004789245306054152
dunnhumby,1,tifuknn,sets2sets,4504,2359,0.3672291296625222,0.15652753108348136,0.4762433392539964,0.5237566607460036,0.7011445527766003,0.29885544722339974,0.0790293012651237
dunnhumby,1,tifuknn,dnntsp,4504,2172,0.3099467140319716,0.17229129662522202,0.5177619893428064,0.4822380106571936,0.6427255985267035,0.3572744014732965,0.04332134051965983
dunnhumby,1,tifuknn,cbp,4504,1660,0.16518650088809947,0.2033747779751332,0.6314387211367674,0.3685612788632327,0.44819277108433736,0.5518072289156627,-0.00688670703908664
dunnhumby,1,tifuknn,diffrec,4504,1905,0.23268206039076378,0.1902753108348135,0.5770426287744227,0.42295737122557725,0.5501312335958005,0.4498687664041995,0.008034654589907228
dunnhumby,1,fpmc,triple2vec,4504,2430,0.12766429840142096,0.41185612788632325,0.4604795737122558,0.5395204262877442,0.2366255144032922,0.7633744855967078,-0.11572207701488237
dunnhumby,1,fpmc,sets2sets,4504,2319,0.19849023090586146,0.3163854351687389,0.48512433392539966,0.5148756660746003,0.3855109961190168,0.6144890038809832,-0.04148202105581281
dunnhumby,1,fpmc,dnntsp,4504,2187,0.12921847246891652,0.35634991119005327,0.5144316163410302,0.4855683836589698,0.2661179698216735,0.7338820301783264,-0.07718998180127666
dunnhumby,1,fpmc,cbp,4504,2409,0.10346358792184725,0.4313943161634103,0.4651420959147424,0.5348579040852576,0.1934412619344126,0.8065587380655874,-0.12739802936002315
dunnhumby,1,fpmc,diffrec,4504,2309,0.09835701598579041,0.41429840142095914,0.4873445825932504,0.5126554174067496,0.19185794716327415,0.8081420528367259,-0.11247666773102927
dunnhumby,1,triple2vec,sets2sets,4504,2471,0.3641207815275311,0.18450266429840143,0.45137655417406747,0.5486234458259325,0.6636989073249696,0.33630109267503033,0.07424005595906955
dunnhumby,1,triple2vec,dnntsp,4504,2268,0.30350799289520425,0.20004440497335702,0.49644760213143874,0.5035523978685613,0.6027336860670194,0.3972663139329806,0.038532095213605684
dunnhumby,1,triple2vec,cbp,4504,1655,0.1483126110124334,0.2191385435168739,0.6325488454706927,0.36745115452930727,0.40362537764350453,0.5963746223564955,-0.01167595234514079
dunnhumby,1,triple2vec,diffrec,4504,2018,0.22513321492007105,0.22291296625222023,0.5519538188277087,0.4480461811722913,0.5024777006937562,0.4975222993062438,0.0032454092838530763
dunnhumby,1,sets2sets,dnntsp,4504,2153,0.18494671403197158,0.29307282415630553,0.5219804618117229,0.4780195381882771,0.3869019972131909,0.6130980027868091,-0.03570796074546387
dunnhumby,1,sets2sets,cbp,4504,2411,0.15852575488454707,0.37677619893428066,0.4646980461811723,0.5353019538188277,0.2961426793861468,0.7038573206138532,-0.08591600830421035
dunnhumby,1,sets2sets,diffrec,4504,2363,0.1700710479573712,0.35457371225577267,0.4753552397868561,0.5246447602131439,0.32416419805332203,0.6758358019466779,-0.07099464667521647
dunnhumby,1,dnntsp,cbp,4504,2184,0.163854351687389,0.3210479573712256,0.5150976909413855,0.4849023090586146,0.33791208791208793,0.6620879120879121,-0.05020804755874648
dunnhumby,1,dnntsp,diffrec,4504,2170,0.18872113676731794,0.29307282415630553,0.5182060390763765,0.4817939609236234,0.391705069124424,0.6082949308755761,-0.0352866859297526
dunnhumby,1,cbp,diffrec,4504,1805,0.23978685612788633,0.16096802841918295,0.5992451154529307,0.40075488454706926,0.5983379501385041,0.40166204986149584,0.014921361628993872
dunnhumby,2,recency,frequency,4504,2318,0.12144760213143872,0.3932060390763766,0.48534635879218474,0.5146536412078153,0.2359792924935289,0.7640207075064711,-0.09654798712316556
dunnhumby,2,recency,racf,4504,2357,0.125,0.39831261101243337,0.47668738898756663,0.5233126110124334,0.2388629613915995,0.7611370386084005,-0.09853076490016234
dunnhumby,2,recency,tifuknn,4504,2180,0.102797513321492,0.3812166962699822,0.5159857904085258,0.48401420959147423,0.21238532110091743,0.7876146788990825,-0.09081803485487426
dunnhumby,2,recency,fpmc,4504,2084,0.2821936056838366,0.18050621669626998,0.5373001776198935,0.4626998223801066,0.6098848368522073,0.3901151631477927,0.032973826170522115
dunnhumby,2,recency,triple2vec,4504,2330,0.1460923623445826,0.37122557726465366,0.4826820603907638,0.5173179396092362,0.28240343347639485,0.7175965665236052,-0.08404583111605682
dunnhumby,2,recency,sets2sets,4504,2281,0.23068383658969804,0.27575488454706926,0.4935612788632327,0.5064387211367674,0.45550197281893906,0.5444980271810609,-0.00990491482128281
dunnhumby,2,recency,dnntsp,4504,2282,0.17273534635879217,0.3339253996447602,0.4933392539964476,0.5066607460035524,0.3409290096406661,0.6590709903593339,-0.057053677524798146
dunnhumby,2,recency,cbp,4504,2329,0.11856127886323269,0.39853463587921845,0.48290408525754885,0.5170959147424512,0.22928295405753543,0.7707170459424646,-0.09775399894481689
dunnhumby,2,recency,diffrec,4504,2289,0.13521314387211367,0.37300177619893427,0.49178507992895204,0.508214920071048,0.26605504587155965,0.7339449541284404,-0.08105802566672744
dunnhumby,2,frequency,racf,4504,727,0.07571047957371226,0.08570159857904085,0.8385879218472468,0.1614120781527531,0.469050894085282,0.530949105914718,-0.0019827777769967805
dunnhumby,2,frequency,tifuknn,4504,1658,0.20093250444049734,0.16718472468916518,0.6318827708703375,0.36811722912966255,0.5458383594692401,0.45416164053075997,0.005729952268291294
dunnhumby,2,frequency,fpmc,4504,2411,0.4325044404973357,0.102797513321492,0.4646980461811723,0.5353019538188277,0.8079635006221485,0.19203649937785153,0.12952181329368767
dunnhumby,2,frequency,triple2vec,4504,1636,0.211145648312611,0.15208703374777977,0.6367673179396093,0.3632326820603908,0.5812958435207825,0.4187041564792176,0.012502156007108734
dunnhumby,2,frequency,sets2sets,4504,2374,0.375,0.15208703374777977,0.47291296625222023,0.5270870337477798,0.7114574557708508,0.2885425442291491,0.08664307230188274
dunnhumby,2,frequency,dnntsp,4504,2103,0.2879662522202487,0.17895204262877443,0.5330817051509769,0.4669182948490231,0.6167379933428435,0.38326200665715643,0.03949430959836741
