dataset,method_a,method_b,mean_delta,mean_decisive_rate,mean_conditional_a_win_rate,mean_tie_rate
dunnhumby,cbp,diffrec,0.014706198635292553,0.3932800473653049,0.5949638912817186,0.606719952634695
dunnhumby,dnntsp,cbp,-0.0408934321193358,0.4749111900532859,0.3707164664014843,0.525088809946714
dunnhumby,dnntsp,diffrec,-0.02618723348404324,0.47320899940793365,0.429566633209161,0.5267910005920663
dunnhumby,fpmc,cbp,-0.12810119222111296,0.5338217880402606,0.19174020642262127,0.46617821195973946
dunnhumby,fpmc,diffrec,-0.1133949935858204,0.5123593842510361,0.190087885345911,0.4876406157489639
dunnhumby,fpmc,dnntsp,-0.08720776010177717,0.4968176435760805,0.2539793651325227,0.5031823564239194
dunnhumby,fpmc,sets2sets,-0.04309970973170523,0.5034043812907045,0.3762751898760852,0.49659561870929547
dunnhumby,fpmc,triple2vec,-0.11646526731041858,0.5352279455298993,0.23103563825753493,0.46477205447010067
dunnhumby,frequency,cbp,-0.0007001092851735453,0.12714624037892244,0.4576338806842317,0.8728537596210776
dunnhumby,frequency,diffrec,0.014006089350119008,0.38536116044997043,0.5924378620929728,0.6146388395500296
dunnhumby,frequency,dnntsp,0.04019332283416225,0.4728389579632919,0.624088934072737,0.5271610420367081
dunnhumby,frequency,fpmc,0.1274010829359394,0.5323416222616933,0.8054892190232105,0.4676583777383067
dunnhumby,frequency,racf,-0.0027031429647089017,0.16111604499703966,0.45326797831980836,0.8388839550029603
dunnhumby,frequency,sets2sets,0.08430137320423418,0.5310834813499112,0.7036357915719537,0.46891651865008876
dunnhumby,frequency,tifuknn,0.004729156229486398,0.3703374777975133,0.5310196404447178,0.6296625222024868
dunnhumby,frequency,triple2vec,0.010935815625520845,0.3639727649496744,0.5784641162042732,0.6360272350503257
dunnhumby,racf,cbp,0.002003033679535356,0.19242155121373594,0.5103926127721582,0.8075784487862641
dunnhumby,racf,diffrec,0.01670923231482791,0.3892095914742451,0.6024630560016925,0.6107904085257548
dunnhumby,racf,dnntsp,0.04289646579887115,0.47135879218472465,0.6341092133777696,0.5286412078152752
dunnhumby,racf,fpmc,0.13010422590064832,0.5373741859088218,0.8069123235728014,0.46262581409117826
dunnhumby,racf,sets2sets,0.0870045161689431,0.5307134399052694,0.7078755248505995,0.46928656009473063
dunnhumby,racf,tifuknn,0.0074322991941952994,0.3687833037300177,0.543263880392581,0.6312166962699822
dunnhumby,racf,triple2vec,0.013638958590229747,0.3638247483718176,0.5925970860313573,0.6361752516281823
