dataset,keyset,recency,frequency,racf,tifuknn,triple2vec,sets2sets,dnntsp
dunnhumby,0,0.17334173246687484,0.26452835007890424,0.26784335517175817,0.26288343799991104,0.2558249088566793,0.18410920837438283,0.23357663603561946
dunnhumby,1,0.17342247652363657,0.27043249382004925,0.2732441398443253,0.2636198894788746,0.2588306441728204,0.18459058821375088,0.22029854895921475
dunnhumby,2,0.1726022795210214,0.26915026664418695,0.2711330444211837,0.26342031437589564,0.2566481106370782,0.1825071943423042,0.2296559570458195
instacart,0,0.2891979993096209,0.4433418211519319,0.4445255752867852,0.4334455587584175,0.38915828444747147,0.30841921028626823,0.38193115591198845
instacart,1,0.2853724868656265,0.4365479070074495,0.43809554546447965,0.42895769776935105,0.4202718328961071,0.3094630781585175,0.3715092628398162
instacart,2,0.2766526681460397,0.43254069700903686,0.43341226397379784,0.41885485206095235,0.35901499413023835,0.2958312653085516,0.37114445612677777
retailrocket,0,0.5955858166388467,0.5723060458546093,0.5727716442240055,0.5829885181471753,0.5695405076391301,0.5864602922662532,0.1449759606716158
retailrocket,1,0.5588235294117647,0.5588235294117647,0.5707118139218283,0.5530647550982989,0.5589471080394753,0.5462379408529835,0.07342318891325363
retailrocket,2,0.5666795955822423,0.5712723020527376,0.5546694504457187,0.5615407888943724,0.5591358123227624,0.5484449395677199,0.13892626826185503
sam,0,0.2734484538211949,0.3475363773276698,0.3507856666741223,0.3357389436264542,0.33386838474490965,0.32125757046589454,0.21359267356304956
sam,1,0.25803445058423036,0.3364168551812531,0.33813612816776334,0.3255570299302977,0.32356230205594205,0.3148239484676273,0.21719578938122153
sam,2,0.26454448864098773,0.3300763727948791,0.3315850666695949,0.3230300479496528,0.31697005328020694,0.3125674898352295,0.2109474018118878
tafeng,0,0.06748539282648361,0.09380920721057442,0.09528055057353475,0.08234190155800677,0.08745800706758944,0.09216630510936227,0.09505181578729367
tafeng,1,0.06806986977566584,0.09654102528920915,0.10066397622122641,0.08583856051957206,0.08533123300117616,0.09133535973573738,0.0918125815072259
tafeng,2,0.06679677862060782,0.09291674365786165,0.09682036084993041,0.08192221619575314,0.08593262194483203,0.09183548445542218,0.09760608354860437
taobao,0,0.06343223727779784,0.06563809967024871,0.07019453775144785,0.07733002212726499,0.06118159409328258,0.07886873572970365,0.0746941170360842
taobao,1,0.05674768856664048,0.06547957114071987,0.07071272789986162,0.07423709502678061,0.0589362010359079,0.07964840781795113,0.07634077335611231
taobao,2,0.061438424986476475,0.06491107856840746,0.07077267017315282,0.07496432624811285,0.058756159853331665,0.07773596944137214,0.07397889227030752
tmall,0,0.00816183815652307,0.007572117846727551,0.006578957702642403,0.007918302676365186,0.007629645181421597,0.00723502579810076,0.00795545832813602
tmall,1,0.009979130877559599,0.007823187752771885,0.006161681461634293,0.008849594806530041,0.007868612631789309,0.007390804483555563,0.005163522185579488
tmall,2,0.010287122455467883,0.0074844502804083425,0.0068515971876804286,0.008615153568777201,0.008213353470085772,0.0071799763425500875,0.006997897168969714
valuedshopper,0,0.20936629620141892,0.3301495180009344,0.33250169643991284,0.3476303104986831,0.34249469686849904,0.24942424701937463,0.31511058080259563
valuedshopper,1,0.2113602913450598,0.33857977915480725,0.3411477804786647,0.35426025218704477,0.3489546657327297,0.26019929753752324,0.3237772449020946
valuedshopper,2,0.21237469787779867,0.335072220597975,0.3360559575983361,0.3520075431337881,0.34659562591198023,0.2647864239148439,0.3204820291764372
