dataset,feature,method,rho_raw_k0,rho_raw_k1,rho_raw_k2,rho_centered_k0,rho_centered_k1,rho_centered_k2,raw_low_to_high_k0,raw_low_to_high_k1,raw_low_to_high_k2,centered_low_to_high_k0,centered_low_to_high_k1,centered_low_to_high_k2,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,raw_low_to_high_mean,raw_low_to_high_sd,centered_low_to_high_mean,centered_low_to_high_sd,rho_raw_sign,rho_centered_sign,centered_effect_sign,abs_rho_centered_mean,abs_centered_low_to_high_mean
dunnhumby,adjacent_basket_jaccard,fpmc,0.257585988495876,0.21963968670452907,0.24417191871512484,-0.2584257100051778,-0.2605145880161786,-0.24357351877984518,0.152155260470407,0.127045383645081,0.14377168116107597,-0.14413729744601142,-0.14691879775974648,-0.1370586325271763,0.24046586463850997,0.015711600438828414,-0.2541712722670672,0.0075421100967901274,0.140990775092188,0.010437961405968903,-0.14270490924431142,0.004150864694950002,positive,negative,negative,0.2541712722670672,0.14270490924431142
dunnhumby,repeat_rate,fpmc,0.2172269309766123,0.21308472245416862,0.22068234416784924,-0.2507478938058339,-0.23821587085118906,-0.23604275306399264,0.12670352887105696,0.12464916613624304,0.13218682746543114,-0.1384156438082318,-0.13147415517064248,-0.12906318509802728,0.2169979991995434,0.003105937458584953,-0.24166883924033855,0.006480871036195112,0.1278465074909104,0.003181601763521637,-0.13298432802563384,0.003964642692642441,positive,negative,negative,0.24166883924033855,0.13298432802563384
dunnhumby,repeat_rate,frequency,0.3387056075004618,0.3398694755142932,0.3456643998967785,0.1926339767744105,0.21954201648428534,0.2221168708420025,0.3112202942270623,0.31040684150274034,0.31539441800931445,0.04610112154777359,0.054283520195854855,0.054144405445856005,0.34141316097051116,0.003043399578822222,0.21143095470023276,0.013332972989266155,0.312340517913039,0.0021848196999905115,0.05150968239649482,0.0038248517242856924,positive,positive,positive,0.21143095470023276,0.05150968239649482
dunnhumby,repeat_rate,cbp,0.33714524661435946,0.3406894117440846,0.3412971740891778,0.1941628410723446,0.21375689894501865,0.2186468903846671,0.31134601449828525,0.30861979536088296,0.31275097321217316,0.046226841818996424,0.05249647405399742,0.05150096064871474,0.3397106108158739,0.0018308766355378155,0.20885554346734345,0.01057937086412238,0.3109055943571138,0.001715057829017198,0.05007475884056953,0.002751073825340255,positive,positive,positive,0.20885554346734345,0.05007475884056953
dunnhumby,adjacent_basket_jaccard,tifuknn,0.392859179100088,0.34930612134527156,0.3563062069302687,0.22804742927448485,0.20089861323843344,0.1820114432232397,0.34772347798631054,0.3224687562405013,0.31891224824270953,0.05143092006989205,0.04850457483567388,0.038081934554457283,0.3661571691252094,0.019096217811793822,0.20365249524538598,0.018894724175613543,0.3297014941565071,0.01282591421448158,0.04600580982000774,0.005728974517046924,positive,positive,positive,0.20365249524538598,0.04600580982000774
dunnhumby,avg_basket_size,fpmc,0.25464966791067106,0.2733994599669874,0.26460866878906547,-0.19747059774764741,-0.18789227557125013,-0.20369232808593063,0.12629241190721147,0.14189443132737306,0.13050234590369802,-0.09291669798053317,-0.08136263061684039,-0.1051758420381279,0.2642192655555746,0.007659521381803851,-0.1963517338016094,0.006498682290227419,0.13289639637942752,0.006590617611778648,-0.09315172354516715,0.009723123205731722,positive,negative,negative,0.1963517338016094,0.09315172354516715
dunnhumby,adjacent_basket_jaccard,cbp,0.379961665825895,0.3453228441742711,0.35850479172641775,0.20348034119427197,0.1875952956627853,0.1955951747756488,0.34100788847687247,0.3251802078066759,0.32733434572032266,0.04471533056045396,0.051216026401848476,0.0465040320320704,0.36126310057552796,0.014275111024286573,0.19555693721090203,0.006485099046679731,0.3311741473346237,0.007008895594282077,0.04747846299812428,0.002741884800191833,positive,positive,positive,0.19555693721090203,0.04747846299812428
dunnhumby,repeat_rate,triple2vec,0.34948910432492786,0.34337178307526606,0.3542318885999847,0.1882364095837365,0.19048622697894657,0.19710073866322225,0.31725515813275873,0.303703485234707,0.3193120577190689,0.05213598545347,0.04758016392782153,0.058062045155610524,0.3490309253333929,0.004445441034979487,0.19194112507530178,0.003762235936287329,0.3134235670288449,0.006924242511668137,0.052592731512300685,0.0042913806045810675,positive,positive,positive,0.19194112507530178,0.052592731512300685
dunnhumby,adjacent_basket_jaccard,frequency,0.37768663103251576,0.3427556777920434,0.3604654060371239,0.18935711657293128,0.1894503803646864,0.19377178414733487,0.33828859097644537,0.3205145526980873,0.32889537031764116,0.04199603306002696,0.046550371293259896,0.048065056629388925,0.360302571620561,0.014260966770814886,0.19085976036165087,0.0020594637538293415,0.3292328379973913,0.007260143364346247,0.04553715366089193,0.00257917548185123,positive,positive,positive,0.19085976036165087,0.04553715366089193
dunnhumby,repeat_rate,tifuknn,0.33987507446370235,0.3327964593452598,0.33978714010725597,0.18958084932059344,0.18399395160406373,0.18864487282045314,0.3088458641416314,0.3013371445187304,0.3091241836056866,0.043726691462342586,0.04521382321184483,0.04787417104222814,0.33748622463873934,0.003316359147589922,0.18740655791503677,0.0024431433819942527,0.30643573075534947,0.0036070349448634477,0.04560489523880518,0.0017156339380522622,positive,positive,positive,0.18740655791503677,0.04560489523880518
dunnhumby,repeat_rate,recency,0.25185168315805706,0.24623320073363505,0.24456237702745953,-0.1519842163773301,-0.14523760821270051,-0.16171742957530985,0.19237884073745504,0.18396921171536357,0.17959668393295702,-0.07274033194183371,-0.07215410959152194,-0.08165332863050144,0.24754908697305056,0.0031179227500270075,-0.1529797513884468,0.006764586486728667,0.18531491212859189,0.005304341953866087,-0.07551592338795236,0.004346394789129103,positive,negative,negative,0.1529797513884468,0.07551592338795236
dunnhumby,adjacent_basket_jaccard,triple2vec,0.3765784714509087,0.34828918506145456,0.36208334427397515,0.14355511606586807,0.1598609163110518,0.15096587326152275,0.3358146831608444,0.32434699051936566,0.3220524148405054,0.039522125244426005,0.05038280911453816,0.0412221011522531,0.36231700026211283,0.011550234555965622,0.1514606352128142,0.006666001922706625,0.3274046961735718,0.006020087498316218,0.043709011837072424,0.004769846754863999,positive,positive,positive,0.1514606352128142,0.043709011837072424
dunnhumby,recent_basket_novelty,fpmc,-0.18879152512571384,-0.15928164632971764,-0.16672998939705308,0.15052322179676528,0.17133629568859626,0.12961455951905868,-0.09768511309406226,-0.08743842086641802,-0.08637611145738654,0.06399610439337076,0.07180143701859479,0.05668003222687322,-0.17160105361749486,0.012530062160482885,0.1504913590014734,0.01703284236758344,-0.0904998818059556,0.005099201690318418,0.06415919121294626,0.00617436467456717,negative,positive,positive,0.1504913590014734,0.06415919121294626
dunnhumby,avg_basket_size,tifuknn,0.3057214978325179,0.30673701311083396,0.31628697139640066,0.15539320009868798,0.14890165885914003,0.13839032041531749,0.25331318442859946,0.2507611450185093,0.2625897640597718,0.034104074540854845,0.02750408307429586,0.026911576117945757,0.3095818274465842,0.004759344097733345,0.14756172645771518,0.0070057616056159785,0.2555546978356269,0.0050824760285541936,0.029506577911032155,0.0032599077256116795,positive,positive,positive,0.14756172645771518,0.029506577911032155
dunnhumby,n_baskets,recency,-0.08204159633396513,-0.05575473441058286,-0.07015367615246426,-0.15719054882400296,-0.1472048273997103,-0.12744256198083712,-0.07258782619706253,-0.04883737642571637,-0.04947113805257658,-0.07610204121758843,-0.06781289071382308,-0.06346917466894465,-0.06931666896567075,0.010747874618354369,-0.1439459794015168,0.012361249883184398,-0.056965446891785156,0.01104971990047377,-0.06912803553345205,0.005240517387396555,negative,negative,negative,0.1439459794015168,0.06912803553345205
dunnhumby,avg_basket_size,cbp,0.2919713726410388,0.3019508948932286,0.3142176211832015,0.12122147755870974,0.15384730692049953,0.15339066724473205,0.24140128192108537,0.25448131911533967,0.2687611950188658,0.02219217203334075,0.03122425717112629,0.033083007077039865,0.3027132962391563,0.009097979094616694,0.14281981724131376,0.015273470195783545,0.2548812653517636,0.011173217349941379,0.02883314542716897,0.004756793984490965,positive,positive,positive,0.14281981724131376,0.02883314542716897
dunnhumby,avg_basket_size,frequency,0.29561475924825115,0.30013006449308854,0.3176020390776248,0.12180121839174114,0.14936307301587282,0.15457815876969763,0.24297117624819356,0.2512415766146515,0.27133579951733766,0.023762066360448895,0.027984514670438092,0.03565761157551173,0.3044489542729882,0.009481551394576255,0.14191415005910388,0.014380468120496826,0.25518285079339426,0.01191044905154394,0.02913473086879957,0.0049239717686796235,positive,positive,positive,0.14191415005910388,0.02913473086879957
dunnhumby,transition_strength,fpmc,0.09943632377995762,0.10613099808158707,0.0771668712867894,-0.13688072421606617,-0.13843278759340327,-0.11756995185606395,0.06086982698201826,0.06447671315641816,0.043530352852032064,-0.06491869449929644,-0.06664117191553036,-0.06413759164337185,0.0942447310494447,0.01238129332382567,-0.1309611545551778,0.009490186421715972,0.0562922976634895,0.009143406859472868,-0.06523248601939956,0.0010458895363443137,positive,negative,negative,0.1309611545551778,0.06523248601939956
dunnhumby,repeat_rate,diffrec,0.3318509983708387,0.33040821462532444,0.3303878897247544,0.11925498289870343,0.1321560814856913,0.12414913665173725,0.29540923909006567,0.2898691893886109,0.28991030180080185,0.030290066410776886,0.03374586808172543,0.02866028923734336,0.33088236757363915,0.0006849756644622858,0.12518673367871067,0.00531770889767283,0.2917295767598261,0.0026019683198233983,0.03089874124328189,0.0021203210188397367,positive,positive,positive,0.12518673367871067,0.03089874124328189
dunnhumby,recent_basket_novelty,cbp,-0.24192448942615583,-0.23705681190788197,-0.21236950239881003,-0.11229959805210557,-0.12355768059001979,-0.09967021687607924,-0.18068639837254608,-0.18155169034698726,-0.15449819510424398,-0.01900518088511306,-0.022311832461974476,-0.011442051419984191,-0.23045026791094927,0.012938550465803094,-0.1118424985060682,0.009757371082672054,-0.1722454279412591,0.012554159671298302,-0.017586354922357245,0.004549566668716581,negative,negative,negative,0.1118424985060682,0.017586354922357245
dunnhumby,recent_basket_novelty,frequency,-0.24059430385351332,-0.2357793364329469,-0.21476426569032303,-0.11060728943547563,-0.12295412481735706,-0.10114492909117428,-0.18074633349135072,-0.1819255313631344,-0.1573251085201546,-0.019065116003917644,-0.02268567347812159,-0.014268964835894831,-0.2303793019922611,0.011215108762986103,-0.11156878111466899,0.00892948689241085,-0.17333232445821323,0.011329043751083134,-0.018673251439311356,0.0034472611804908944,negative,negative,negative,0.11156878111466899,0.018673251439311356
dunnhumby,recent_basket_novelty,tifuknn,-0.24143886992948113,-0.23883641826012597,-0.2166937250372547,-0.11381562948447045,-0.11993240194458951,-0.09447440816663902,-0.17823779412098215,-0.18303510874129694,-0.15833782258700146,-0.016556576633549133,-0.023795250856284134,-0.015281678902741729,-0.23232300440895393,0.011102521303193546,-0.10940747986523298,0.010850536057379193,-0.17320357514976017,0.010692567709533793,-0.018544502130858332,0.0037491432522799998,negative,negative,negative,0.10940747986523298,0.018544502130858332
