dataset,keyset,feature,bin,method,n_users,feature_min,feature_median,feature_max,mean_ndcg,mean_centered_ndcg
dunnhumby,0,n_baskets,1,recency,931,2.0,2.0,3.0,0.18028488967403636,-0.009214619774471787
dunnhumby,0,n_baskets,1,frequency,931,2.0,2.0,3.0,0.20742510774883788,0.017925598300329717
dunnhumby,0,n_baskets,1,tifuknn,931,2.0,2.0,3.0,0.21436682419466363,0.024867314746155486
dunnhumby,0,n_baskets,1,fpmc,931,2.0,2.0,3.0,0.13138802165717656,-0.05811148779133159
dunnhumby,0,n_baskets,1,triple2vec,931,2.0,2.0,3.0,0.19094448331723182,0.001444973868723678
dunnhumby,0,n_baskets,1,dnntsp,931,2.0,2.0,3.0,0.18749668694226027,-0.0020028225062479164
dunnhumby,0,n_baskets,1,cbp,931,2.0,2.0,3.0,0.20808793589646868,0.0185884264479605
dunnhumby,0,n_baskets,1,diffrec,931,2.0,2.0,3.0,0.1960021261573901,0.006502616708881918
dunnhumby,0,n_baskets,2,recency,781,4.0,4.0,5.0,0.17034345390747987,-0.05608669605423952
dunnhumby,0,n_baskets,2,frequency,781,4.0,4.0,5.0,0.2601799533735391,0.033749803411819754
dunnhumby,0,n_baskets,2,tifuknn,781,4.0,4.0,5.0,0.2595867267649598,0.033156576803240426
dunnhumby,0,n_baskets,2,fpmc,781,4.0,4.0,5.0,0.13260622688168486,-0.0938239230800345
dunnhumby,0,n_baskets,2,triple2vec,781,4.0,4.0,5.0,0.24687907655830285,0.020448926596583514
dunnhumby,0,n_baskets,2,dnntsp,781,4.0,4.0,5.0,0.2291119018733952,0.0026817519116758347
dunnhumby,0,n_baskets,2,cbp,781,4.0,4.0,5.0,0.2620820842219688,0.03565193426024946
dunnhumby,0,n_baskets,2,diffrec,781,4.0,4.0,5.0,0.25065177611242445,0.02422162615070503
dunnhumby,0,n_baskets,3,recency,1027,6.0,7.0,8.0,0.23136338804046627,-0.06447182374794931
dunnhumby,0,n_baskets,3,frequency,1027,6.0,7.0,8.0,0.3381108610873475,0.042275649298931926
dunnhumby,0,n_baskets,3,tifuknn,1027,6.0,7.0,8.0,0.33532819284222015,0.03949298105380452
dunnhumby,0,n_baskets,3,fpmc,1027,6.0,7.0,8.0,0.16384830721691557,-0.13198690457150003
dunnhumby,0,n_baskets,3,triple2vec,1027,6.0,7.0,8.0,0.3319387666469099,0.03610355485849427
dunnhumby,0,n_baskets,3,dnntsp,1027,6.0,7.0,8.0,0.30277687241834583,0.006941660629930228
dunnhumby,0,n_baskets,3,cbp,1027,6.0,7.0,8.0,0.33897925792830486,0.04314404613988923
dunnhumby,0,n_baskets,3,diffrec,1027,6.0,7.0,8.0,0.32433604812681477,0.028500836338399213
dunnhumby,0,n_baskets,4,recency,916,9.0,10.0,13.0,0.16463175418452514,-0.07466666603115193
dunnhumby,0,n_baskets,4,frequency,916,9.0,10.0,13.0,0.2763516065759412,0.03705318636026411
dunnhumby,0,n_baskets,4,tifuknn,916,9.0,10.0,13.0,0.276139576308399,0.03684115609272194
dunnhumby,0,n_baskets,4,fpmc,916,9.0,10.0,13.0,0.1418254132570711,-0.09747300695860599
dunnhumby,0,n_baskets,4,triple2vec,916,9.0,10.0,13.0,0.2684186457511263,0.02912022553544915
dunnhumby,0,n_baskets,4,dnntsp,916,9.0,10.0,13.0,0.24772154164214868,0.00842312142647156
dunnhumby,0,n_baskets,4,cbp,916,9.0,10.0,13.0,0.2772938058337729,0.03799538561809579
dunnhumby,0,n_baskets,4,diffrec,916,9.0,10.0,13.0,0.26200501817243255,0.022706597956755427
dunnhumby,0,n_baskets,5,recency,849,14.0,18.0,49.0,0.10769706347697383,-0.08531666099206021
dunnhumby,0,n_baskets,5,frequency,849,14.0,18.0,49.0,0.22938097043134822,0.036367245962314165
dunnhumby,0,n_baskets,5,tifuknn,849,14.0,18.0,49.0,0.2171829821854892,0.024169257716455138
dunnhumby,0,n_baskets,5,fpmc,849,14.0,18.0,49.0,0.1210288191675062,-0.07198490530152783
dunnhumby,0,n_baskets,5,triple2vec,849,14.0,18.0,49.0,0.22954172423521566,0.0365279997661816
dunnhumby,0,n_baskets,5,dnntsp,849,14.0,18.0,49.0,0.1892444966786981,-0.003769227790335954
dunnhumby,0,n_baskets,5,cbp,849,14.0,18.0,49.0,0.22918860952586767,0.03617488505683361
dunnhumby,0,n_baskets,5,diffrec,849,14.0,18.0,49.0,0.22084513005117357,0.027831405582139482
dunnhumby,0,avg_basket_size,1,recency,903,1.0,2.333333333333333,3.3076923076923075,0.11090195866072937,-0.029651172471274388
dunnhumby,0,avg_basket_size,1,frequency,903,1.0,2.333333333333333,3.3076923076923075,0.16394459426495986,0.023391463132956095
dunnhumby,0,avg_basket_size,1,tifuknn,903,1.0,2.333333333333333,3.3076923076923075,0.1599005179817729,0.01934738684976914
