dataset,feature,n_users,n_nonmissing,missing_rate,n_unique,zero_rate,mean,std,min,p10,median,p90,max
dunnhumby,n_baskets,10997,10997,0.0,48,0.0,9.025279621715013,7.072398638723471,2.0,2.0,7.0,18.0,49.0
dunnhumby,avg_basket_size,10997,10997,0.0,1942,0.0,7.513689800936556,5.163456901174247,1.0,2.333333333333333,6.2,14.428571428571429,57.0
dunnhumby,repeat_rate,10997,10997,0.0,2556,0.12376102573429117,0.23980948210588196,0.16612407036254126,0.0,0.0,0.2285714285714285,0.46875,0.875
dunnhumby,adjacent_basket_jaccard,10997,10997,0.0,6108,0.20378284986814585,0.07258563282946269,0.08944234412106752,0.0,0.0,0.0468207006668545,0.1749351875262098,1.0
dunnhumby,recent_basket_novelty,10997,10997,0.0,298,0.1036646358097663,0.6235763994033514,0.3314383684068958,0.0,0.0,0.6666666666666666,1.0,1.0
dunnhumby,popularity_profile,10997,10997,0.0,10962,0.0,0.7854844671603867,0.07096724309849638,0.0783215903371917,0.702584141240407,0.7914301449990983,0.8646962934512931,0.99861600402617
dunnhumby,neighbor_similarity,10997,10997,0.0,10996,0.0,0.183758248600539,0.04261727423648113,0.1111340208103297,0.14477433074222995,0.1723872847906947,0.23799878918438433,0.5646460314125418
dunnhumby,transition_strength,10997,10997,0.0,10971,0.0024552150586523596,0.030698691119086286,0.009482003611361655,0.0,0.0224905609797615,0.0300249231054808,0.038944545880523054,0.2783509750601849
dunnhumby,relational_strength,10997,10997,0.0,10891,0.00972992634354824,0.05339775828692164,0.02565983393349179,0.0,0.027662633916365503,0.0522289063529519,0.07560955854784598,0.7495643867543085
instacart,n_baskets,10056,10056,0.0,48,0.0,14.257756563245824,13.186049221861897,2.0,3.0,9.0,36.0,49.0
instacart,avg_basket_size,10056,10056,0.0,3181,0.0,10.074401741787952,5.9160061816171545,1.0,3.5,9.0,17.875,52.16666666666666
instacart,repeat_rate,10056,10056,0.0,4498,0.02754574383452665,0.4170615057094583,0.21842266614782646,0.0,0.1212121212121212,0.4146341463414634,0.7141408287452913,0.9662162162162162
instacart,adjacent_basket_jaccard,10056,10056,0.0,8094,0.05051710421638823,0.1410492436186231,0.12082014141517876,0.0,0.0293068929673531,0.11329409211553046,0.27804312913008566,1.0
instacart,recent_basket_novelty,10056,10056,0.0,361,0.2170843277645187,0.3827778118931826,0.3167665819206111,0.0,0.0,0.3333333333333333,0.8571428571428571,1.0
instacart,popularity_profile,10056,10056,0.0,10050,0.0,0.9149503375866612,0.061167546596944344,0.3154303379571979,0.8337081817736051,0.9334241717806486,0.9727779259868943,0.9999746604500304
instacart,neighbor_similarity,10056,10056,0.0,10055,0.0,0.1529659415927426,0.06809018708771668,0.0507747288995993,0.0939802631731585,0.13593678363996825,0.24894683920056604,0.606750263279557
instacart,transition_strength,10056,10056,0.0,10041,0.0015910898965791568,0.06253775324944709,0.031156576841925517,0.0,0.03997349383608765,0.053628510516662495,0.0946508920417618,0.3692701113016955
instacart,relational_strength,10056,10056,0.0,10019,0.003778838504375497,0.07729701743727996,0.03604518744388219,0.0,0.04926403507871035,0.06914146656460796,0.11361731111841411,0.4582480492972563
retailrocket,n_baskets,421,421,0.0,28,0.0,3.9002375296912115,8.974542033181981,1.0,1.0,1.0,7.0,49.0
retailrocket,avg_basket_size,421,421,0.0,43,0.0,1.2536817993661424,0.7414117911828932,1.0,1.0,1.0,2.0,8.0
retailrocket,repeat_rate,421,421,0.0,28,0.8527315914489311,0.05009373480844054,0.14362626908729711,0.0,0.0,0.0,0.2222222222222222,0.6666666666666667
retailrocket,adjacent_basket_jaccard,421,128,0.6959619952494062,16,0.6328125,0.2553778090399184,0.40769157797608235,0.0,0.0,0.0,1.0,1.0
retailrocket,recent_basket_novelty,421,128,0.6959619952494062,5,0.296875,0.6899553571428572,0.45625391415269684,0.0,0.0,1.0,1.0,1.0
retailrocket,popularity_profile,421,421,0.0,103,0.0,0.5817129033666296,0.24257968932034596,0.3319656115670183,0.3319656115670183,0.5749044765750507,0.924970691676436,0.9984368894099256
retailrocket,neighbor_similarity,421,421,0.0,197,0.4679334916864608,0.025687406382107633,0.043321556862177486,0.0,0.0,0.0065594932466687,0.0770268929831768,0.2813549793605422
retailrocket,transition_strength,421,128,0.6959619952494062,74,0.1953125,0.11381719368175358,0.06058774543271831,0.0,0.0,0.13963925175825964,0.1666666666666666,0.2410815035978085
retailrocket,relational_strength,421,421,0.0,74,0.7577197149643705,0.02481885034247581,0.05678021704430375,0.0,0.0,0.0,0.1410480790323769,0.3341171537138502
sam,n_baskets,8959,8959,0.0,48,0.0,6.677865833240317,7.299835614547012,2.0,2.0,4.0,14.0,49.0
sam,avg_basket_size,8959,8959,0.0,1135,0.0,4.195936316524502,3.3772760712142444,1.0,1.0,3.5,7.868333333333331,48.5
sam,repeat_rate,8959,8959,0.0,1360,0.22256948320125014,0.25770822911336033,0.22667690809982408,0.0,0.0,0.217391304347826,0.5798655462184873,0.979591836734694
sam,adjacent_basket_jaccard,8959,8959,0.0,2719,0.28887152583993747,0.19260550722196645,0.28305379340123543,0.0,0.0,0.075,0.6479500891265589,1.0
sam,recent_basket_novelty,8959,8959,0.0,155,0.2385310860587119,0.5707097985994621,0.39201176375374064,0.0,0.0,0.6666666666666666,1.0,1.0
sam,popularity_profile,8959,8959,0.0,8172,0.0,0.8086205117087943,0.15156994540345103,0.1817004620500897,0.5950874069278084,0.850055058516535,0.9543100150092704,0.999764560463816
sam,neighbor_similarity,8959,8959,0.0,8616,0.0281281393012613,0.14470557582998997,0.11164200804005435,0.0,0.05818571181822548,0.1226983638256017,0.23764283278631465,1.0
sam,transition_strength,8959,8959,0.0,7942,0.06875767384752762,0.09200100556496439,0.05046866083210517,0.0,0.04587454055418992,0.0883261362530128,0.14117806966468222,0.6687075723457164
sam,relational_strength,8959,8959,0.0,7643,0.12590690925326486,0.07890285431951079,0.05583483878303717,0.0,0.0,0.0784538229132765,0.1302922161955277,0.7366211405972418
tafeng,n_baskets,9924,9924,0.0,47,0.0,4.30602579604998,5.439687908391602,1.0,1.0,3.0,9.0,49.0
tafeng,avg_basket_size,9924,9924,0.0,956,0.0,7.410524663686937,6.201452496039231,1.0,2.0,5.75,15.0,69.0
tafeng,repeat_rate,9924,9924,0.0,879,0.5772873841193067,0.04881867329825451,0.07846711253141744,0.0,0.0,0.0,0.15625,0.8529411764705882
tafeng,adjacent_basket_jaccard,9924,6825,0.312273276904474,1592,0.4986080586080586,0.03104109981622051,0.06342173928630887,0.0,0.0,0.0024743225524475,0.08501968717263307,1.0
tafeng,recent_basket_novelty,9924,6825,0.312273276904474,166,0.035164835164835165,0.8544737194107209,0.23694677328653965,0.0,0.5,1.0,1.0,1.0
tafeng,popularity_profile,9924,9924,0.0,9598,0.0,0.8574361648871113,0.10153549118295022,0.0151644141747366,0.7381840877956659,0.8749622283558691,0.9632724096342804,1.0
tafeng,neighbor_similarity,9924,9924,0.0,9745,0.00010076582023377671,0.204732476517289,0.12740221148855704,0.0,0.11775170049064092,0.17009892160257611,0.31050301621672766,1.0
tafeng,transition_strength,9924,6825,0.312273276904474,6800,0.0017582417582417582,0.05263595482087293,0.01742947813393075,0.0,0.035382504426601645,0.0503559775363863,0.07223389536236591,0.2088661378490441
tafeng,relational_strength,9924,9924,0.0,9372,0.053405884723901655,0.06837337990139908,0.04644387175176944,0.0,0.030102109935642052,0.06255569542680556,0.10437029444515636,0.801357064950892
taobao,n_baskets,13819,13819,0.0,44,0.0,6.046891960344453,4.698275090591009,2.0,2.0,5.0,12.0,49.0
taobao,avg_basket_size,13819,13819,0.0,443,0.0,1.5049555940300274,0.7515700994555378,1.0,1.0,1.25,2.363636363636364,15.5
taobao,repeat_rate,13819,13819,0.0,288,0.6977350025327448,0.06414299661914175,0.1363699316899423,0.0,0.0,0.0,0.2222222222222222,0.9166666666666666
taobao,adjacent_basket_jaccard,13819,13819,0.0,298,0.7992618858093928,0.06065321602391628,0.18118598580957126,0.0,0.0,0.0,0.2,1.0
taobao,recent_basket_novelty,13819,13819,0.0,26,0.10217816050365439,0.8896603405525075,0.3062962362318076,0.0,0.0,1.0,1.0,1.0
taobao,popularity_profile,13819,13819,0.0,11404,0.0,0.7729851978906402,0.14643596222475092,0.3070613506385215,0.5769669999003019,0.7814604424786782,0.9663835842404357,1.0
taobao,neighbor_similarity,13819,13819,0.0,13326,0.009552065996092337,0.16665712012857226,0.13890005000318706,0.0,0.0558752499592551,0.1420830427100907,0.26864302979665405,1.0
taobao,transition_strength,13819,13819,0.0,10718,0.02590636080758376,0.11063579690733834,0.03751509853534646,0.0,0.055796729094747324,0.1198329763041619,0.14750564632976246,0.2388808437957325
taobao,relational_strength,13819,13819,0.0,6750,0.36876763875823143,0.035895884414764566,0.040023065293722834,0.0,0.0,0.0275864272877988,0.08640938071619729,0.3304899035290757
tmall,n_baskets,11405,11405,0.0,40,0.0,4.756510302498904,3.6661929346382367,2.0,2.0,4.0,9.0,49.0
tmall,avg_basket_size,11405,11405,0.0,193,0.0,1.2757314348586168,0.40798461009735987,1.0,1.0,1.125,1.75,5.666666666666667
tmall,repeat_rate,11405,11405,0.0,111,0.8360368259535291,0.03272808697858927,0.09023619798283491,0.0,0.0,0.0,0.1428571428571429,0.6666666666666667
