dataset,method_a,method_b,feature,rho_keyset0,rho_keyset1,rho_keyset2,mean_rho,mean_abs_rho,min_rho,max_rho,rho_range,sign_pattern,consistent_signs,abs_mean_rho,n_valid_keysets,rho_sd,max_deviation_from_mean,replication_status,replicated
dunnhumby,tifuknn,sets2sets,adjacent_basket_jaccard,0.2883980712450659,0.240628795272813,0.2617178939128307,0.2635815868102366,0.2635815868102366,0.240628795272813,0.2883980712450659,0.0477692759722529,+++,True,0.2635815868102366,3,0.01954620074149441,0.02481648443482931,positive,True
dunnhumby,tifuknn,sets2sets,repeat_rate,0.2668939437363626,0.2386915517050646,0.2527266737890566,0.2527707230768279,0.2527707230768279,0.2386915517050646,0.2668939437363626,0.028202392031298,+++,True,0.2527707230768279,3,0.011513620465245218,0.014123220659534697,positive,True
dunnhumby,triple2vec,sets2sets,repeat_rate,0.251537108869275,0.2308938399009621,0.2457078759671342,0.2427129415791238,0.2427129415791238,0.2308938399009621,0.251537108869275,0.0206432689683128,+++,True,0.2427129415791238,3,0.008689586197124812,0.011819101678161692,positive,True
dunnhumby,frequency,sets2sets,repeat_rate,0.2450063914184658,0.2309962552994708,0.2513462634679134,0.2424496367286167,0.2424496367286167,0.2309962552994708,0.2513462634679134,0.0203500081684425,+++,True,0.2424496367286167,3,0.00850229200557,0.011453381429145898,positive,True
dunnhumby,racf,sets2sets,repeat_rate,0.2373476326087812,0.2307955420507358,0.2466804773929309,0.2382745506841493,0.2382745506841493,0.2307955420507358,0.2466804773929309,0.015884935342195,+++,True,0.2382745506841493,3,0.006518035263546972,0.008405926708781597,positive,True
dunnhumby,racf,sets2sets,adjacent_basket_jaccard,0.2500946701492974,0.2154862891372446,0.2457197302247318,0.2371002298370913,0.2371002298370913,0.2154862891372446,0.2500946701492974,0.0346083810120527,+++,True,0.2371002298370913,3,0.015387372512729524,0.021613940699846707,positive,True
dunnhumby,frequency,sets2sets,adjacent_basket_jaccard,0.2469628405933605,0.2138849240439406,0.2495752800642315,0.2368076815671775,0.2368076815671775,0.2138849240439406,0.2495752800642315,0.0356903560202908,+++,True,0.2368076815671775,3,0.016243887452394256,0.022922757523236886,positive,True
dunnhumby,triple2vec,sets2sets,adjacent_basket_jaccard,0.2387900109579913,0.2110712026717711,0.2273852686416501,0.2257488274238042,0.2257488274238042,0.2110712026717711,0.2387900109579913,0.0277188082862201,+++,True,0.2257488274238042,3,0.011375164118864578,0.014677624752033103,positive,True
dunnhumby,recency,tifuknn,repeat_rate,-0.2280307020046742,-0.2197035357334401,-0.2283004595058461,-0.2253448990813202,0.2253448990813202,-0.2283004595058461,-0.2197035357334401,0.008596923772406,---,True,0.2253448990813202,3,0.003990566174906584,0.005641363347880096,negative,True
dunnhumby,sets2sets,dnntsp,repeat_rate,-0.2402696951757691,-0.2107845244416326,-0.2182753519738442,-0.2231098571970819,0.2231098571970819,-0.2402696951757691,-0.2107845244416326,0.0294851707341365,---,True,0.2231098571970819,3,0.012513277052007063,0.017159837978687198,negative,True
