dataset,keyset,claim_type,method,feature,expected_sign,n_users_complete,n_users_nonzero,all_zero_fraction,coef_full,bootstrap_median,ci_low,ci_high,ci_excludes_zero,matches_expected_sign,coef_nonzero_users,nonzero_same_sign,rho_raw,rho_centered
dunnhumby,0,expected,frequency,repeat_rate,1,4504,2892,0.3579040852575488,0.01769741641233015,0.017746252687211327,0.012446197366019275,0.023211274127018015,True,True,0.019903221814775822,True,0.3387056075004618,0.1926339767744105
dunnhumby,0,expected,tifuknn,repeat_rate,1,4504,2892,0.3579040852575488,0.019974222101244325,0.020071827626644917,0.013327531359525677,0.02649744991471077,True,True,0.024446880586905136,True,0.33987507446370235,0.18958084932059344
dunnhumby,0,expected,cbp,repeat_rate,1,4504,2892,0.3579040852575488,0.016411768471889285,0.0163217154260403,0.011178860885033143,0.023069109869150298,True,True,0.017891952050989916,True,0.33714524661435946,0.1941628410723446
dunnhumby,0,expected,recency,adjacent_basket_jaccard,1,4504,2892,0.3579040852575488,0.011221981460584724,0.011447411137078235,0.0019096042265348983,0.019039711734268935,True,True,0.016580191050721012,True,0.3532029139659839,-0.07149069375073774
dunnhumby,0,expected,fpmc,transition_strength,1,4504,2892,0.3579040852575488,-0.006803991954806657,-0.006792627601217413,-0.013097398317933774,-0.0006580394420635982,True,False,-0.006124235429995638,True,0.09943632377995762,-0.13688072421606617
dunnhumby,0,expected,dnntsp,transition_strength,1,4504,2892,0.3579040852575488,-0.0005249186967579364,-0.00046645156541438946,-0.005698099146947382,0.005115896660417308,False,False,-0.0015150772930294055,True,0.1540993358654405,0.012698078018857707
dunnhumby,0,expected,triple2vec,relational_strength,1,4504,2892,0.3579040852575488,-0.0030082835302773256,-0.00299721188340622,-0.006472724337353394,0.0006768594278632222,False,False,-0.006111429400057212,True,0.1730663607770395,0.03961558317082005
dunnhumby,0,discovery,fpmc,n_baskets,1,4504,2892,0.3579040852575488,0.02987864295615693,0.029591311009030598,0.02097751305224559,0.03792275352363183,True,True,0.032891099757674735,True,-0.0071407542773594184,-0.038905335661930815
dunnhumby,0,observed_contrast,fpmc,repeat_rate,-1,4504,2892,0.3579040852575488,-0.05526281169540119,-0.054749185013507416,-0.06639997167679612,-0.04310819212064152,True,True,-0.06708863062108134,True,0.2172269309766123,-0.2507478938058339
dunnhumby,0,observed_contrast,recency,repeat_rate,-1,4504,2892,0.3579040852575488,-0.05045549619703165,-0.05060445079419691,-0.0615719258385406,-0.04038660856022725,True,True,-0.06282495931957288,True,0.25185168315805706,-0.1519842163773301
dunnhumby,1,expected,frequency,repeat_rate,1,4504,2955,0.34391651865008876,0.020264506486475892,0.0202132414140022,0.01451387467838353,0.025665457581829268,True,True,0.02163469597304829,True,0.3398694755142932,0.21954201648428534
dunnhumby,1,expected,tifuknn,repeat_rate,1,4504,2955,0.34391651865008876,0.016282011706715806,0.016075234332141315,0.009653175649977776,0.02174415808876275,True,True,0.017656928614169776,True,0.3327964593452598,0.18399395160406373
dunnhumby,1,expected,cbp,repeat_rate,1,4504,2955,0.34391651865008876,0.01955095894679724,0.019505486623438734,0.013555858712133455,0.025147470195955635,True,True,0.020568077681917523,True,0.3406894117440846,0.21375689894501865
dunnhumby,1,expected,recency,adjacent_basket_jaccard,1,4504,2955,0.34391651865008876,0.013308212434280266,0.013206001604196351,0.004733851883455806,0.02055319276352556,True,True,0.01893597155108966,True,0.32173517356060966,-0.06399462897387911
dunnhumby,1,expected,fpmc,transition_strength,1,4504,2955,0.34391651865008876,-0.0020141567669223256,-0.0022704905165554347,-0.009233888310442459,0.004511177040002836,False,False,-0.002240977970263758,True,0.10613099808158707,-0.13843278759340327
dunnhumby,1,expected,dnntsp,transition_strength,1,4504,2955,0.34391651865008876,0.0007854609099280422,0.0007432935394550756,-0.0061819953869679915,0.0071962233406657776,False,True,0.0006731958566839544,True,0.1523842075376808,-0.02189044211036148
dunnhumby,1,expected,triple2vec,relational_strength,1,4504,2955,0.34391651865008876,0.001182406089726154,0.001047058367210057,-0.0034798830786491428,0.0069195681313438525,False,True,0.004398703041182195,True,0.16210145409997384,0.046464249419487604
dunnhumby,1,discovery,fpmc,n_baskets,1,4504,2955,0.34391651865008876,0.02231255933437759,0.022270249516808085,0.013833049903302507,0.02959250736290897,True,True,0.02208151268305817,True,0.028580305626955183,-0.029932026105009914
dunnhumby,1,observed_contrast,fpmc,repeat_rate,-1,4504,2955,0.34391651865008876,-0.043987824655191736,-0.04365990112821422,-0.054859931668703114,-0.03372414802865685,True,True,-0.04859551406934597,True,0.21308472245416862,-0.23821587085118906
dunnhumby,1,observed_contrast,recency,repeat_rate,-1,4504,2955,0.34391651865008876,-0.04574474679244109,-0.0455070504790977,-0.054987187265414246,-0.03431825267648749,True,True,-0.0505663362395148,True,0.24623320073363505,-0.14523760821270051
dunnhumby,2,expected,frequency,repeat_rate,1,4504,2890,0.35834813499111906,0.02457376386300224,0.024687544394974743,0.01884657994660277,0.030780907740231588,True,True,0.024844081092090728,True,0.3456643998967785,0.2221168708420025
dunnhumby,2,expected,tifuknn,repeat_rate,1,4504,2890,0.35834813499111906,0.02556903845727072,0.02556609637253998,0.019284424097491867,0.03145310495039061,True,True,0.028784820441672444,True,0.33978714010725597,0.18864487282045314
dunnhumby,2,expected,cbp,repeat_rate,1,4504,2890,0.35834813499111906,0.027022893803084716,0.027044011882114256,0.021471245482464943,0.03252904040598969,True,True,0.028217091801454083,True,0.3412971740891778,0.2186468903846671
