dataset,claim_type,method,feature,expected_sign,n_users_complete,all_zero_fraction,coef_mean,coef_sd,coef_nonzero_mean,rho_raw_mean,rho_centered_mean,n_keysets,n_keysets_ci_excludes_zero,n_keysets_matches_expected_sign,n_keysets_nonzero_same_sign,conditional_sign_across_keysets,nonzero_sign_across_keysets,analysis04_rho_raw_mean,analysis04_rho_centered_mean,analysis04_raw_low_to_high_mean,analysis04_centered_low_to_high_mean,analysis04_rho_raw_sign,analysis04_rho_centered_sign,analysis04_centered_effect_sign,abs_coef_mean
dunnhumby,discovery,fpmc,n_baskets,1,4504.0,0.3533895796329189,0.030146406342515506,0.00797110240688825,0.033538481267401644,0.009202771069171174,-0.026974814564466237,3,3,3,3,positive,positive,0.0092027710691711,-0.0269748145644662,0.0028367177402356,-0.0093258709014311,mixed,negative,negative,0.030146406342515506
dunnhumby,expected,cbp,repeat_rate,1,4504.0,0.3533895796329189,0.020995207073923747,0.00545099850377118,0.022225707178120505,0.339710610815874,0.20885554346734345,3,3,3,3,positive,positive,0.3397106108158739,0.2088555434673434,0.3109055943571138,0.0500747588405695,positive,positive,positive,0.020995207073923747
dunnhumby,expected,dnntsp,transition_strength,1,4504.0,0.3533895796329189,-0.00042660780119206475,0.001166025742505598,-0.0008254828898517846,0.14216391976221368,-0.004346747348219811,3,0,1,3,mixed,mixed,0.1421639197622137,-0.0043467473482198,0.1161273222653327,-0.0053974614175562,positive,mixed,mixed,0.00042660780119206475
dunnhumby,expected,fpmc,transition_strength,1,4504.0,0.3533895796329189,-0.005574061998105401,0.00313164794741462,-0.0054261241307217885,0.0942447310494447,-0.1309611545551778,3,2,0,3,negative,negative,0.0942447310494447,-0.1309611545551778,0.0562922976634895,-0.0652324860193995,positive,negative,negative,0.005574061998105401
dunnhumby,expected,frequency,repeat_rate,1,4504.0,0.3533895796329189,0.020845228920602765,0.003474761498968645,0.022127332959971612,0.34141316097051116,0.21143095470023276,3,3,3,3,positive,positive,0.3414131609705111,0.2114309547002327,0.312340517913039,0.0515096823964948,positive,positive,positive,0.020845228920602765
dunnhumby,expected,recency,adjacent_basket_jaccard,1,4504.0,0.3533895796329189,0.013245560423239116,0.0019929916711000245,0.019182788393002026,0.33366763463162835,-0.07480030758229513,3,3,3,3,positive,positive,0.3336677316134092,-0.0748004692503545,0.2398487626247116,-0.0438469217117877,positive,negative,negative,0.013245560423239116
dunnhumby,expected,tifuknn,repeat_rate,1,4504.0,0.3533895796329189,0.020608424088410283,0.004675882332434659,0.02362954321424912,0.33748622463873934,0.18740655791503677,3,3,3,3,positive,positive,0.3374862246387393,0.1874065579150367,0.3064357307553494,0.0456048952388051,positive,positive,positive,0.020608424088410283
dunnhumby,expected,triple2vec,relational_strength,1,4504.0,0.3533895796329189,-0.0005102888729668704,0.0022083592487216436,-9.480478320041698e-05,0.17647869723523338,0.05238679754801304,3,0,2,3,mixed,mixed,0.1764786972352333,0.052386797548013,0.1447962460479198,0.0068082094121375,positive,positive,positive,0.0005102888729668704
dunnhumby,observed_contrast,fpmc,repeat_rate,-1,4504.0,0.3533895796329189,-0.05560417516461155,0.01179073898809012,-0.06474599786911343,0.2169979991995434,-0.24166883924033855,3,3,3,3,negative,negative,0.2169979991995434,-0.2416688392403385,0.1278465074909104,-0.1329843280256338,positive,negative,negative,0.05560417516461155
dunnhumby,observed_contrast,recency,repeat_rate,-1,4504.0,0.3533895796329189,-0.05358394558902934,0.009785947582102458,-0.06304064985726565,0.24754908697305056,-0.1529797513884468,3,3,3,3,negative,negative,0.2475490869730505,-0.1529797513884468,0.1853149121285918,-0.0755159233879523,positive,negative,negative,0.05358394558902934
instacart,discovery,fpmc,n_baskets,1,4124.0,0.1255253798900744,0.056505093682147046,0.006446182804330089,0.05348452068229747,0.14517872585510613,-0.005121049406556058,3,3,3,3,positive,positive,0.1451787258551061,-0.005121049406556,0.0927362773565216,0.009013005122706,positive,mixed,mixed,0.056505093682147046
instacart,expected,cbp,repeat_rate,1,4124.0,0.1255253798900744,0.024932498691308955,0.0005585971461623106,0.021926837720104148,0.3773823525617024,0.20964118381807698,3,3,3,3,positive,positive,0.3773823525617023,0.2096411838180769,0.34401035889396,0.0597754566901268,positive,positive,positive,0.024932498691308955
instacart,expected,dnntsp,transition_strength,1,4124.0,0.1255253798900744,-0.010139910232833128,0.004174797153626642,-0.01258594280335419,0.1726914765090346,0.02392298922009173,3,0,0,3,negative,negative,0.1726914765090346,0.0239229892200917,0.1606086883046999,0.004580409561488,positive,mixed,mixed,0.010139910232833128
instacart,expected,fpmc,transition_strength,1,4124.0,0.1255253798900744,0.016133499573212643,0.004919657319193714,0.01821140854649889,0.10338431422711891,-0.11452171364671769,3,1,3,3,positive,positive,0.1033843142271189,-0.1145217136467176,0.081987588498879,-0.0740406902443327,positive,negative,negative,0.016133499573212643
instacart,expected,frequency,repeat_rate,1,4124.0,0.1255253798900744,0.020676641782707738,0.000999979304246092,0.016909108427686212,0.3689035899636277,0.19686382880228023,3,3,3,3,positive,positive,0.3689035899636277,0.1968638288022802,0.3371241008823034,0.0528891986784703,positive,positive,positive,0.020676641782707738
instacart,expected,recency,adjacent_basket_jaccard,1,4124.0,0.1255253798900744,0.01812468153463549,0.008023689730153584,0.021024628137767915,0.3740097579855877,-0.04143379161348635,3,2,3,3,positive,positive,0.3740096887011673,-0.0414338521601413,0.3159043828122483,-0.0300711514641226,positive,negative,negative,0.01812468153463549
instacart,expected,tifuknn,repeat_rate,1,4124.0,0.1255253798900744,0.02409560169846223,0.001068276840168047,0.021907132805088728,0.3638791773458276,0.17402872482632692,3,3,3,3,positive,positive,0.3638791773458276,0.1740287248263269,0.3350672052517834,0.0508323030479502,positive,positive,positive,0.02409560169846223
instacart,expected,triple2vec,relational_strength,1,4124.0,0.1255253798900744,0.0015883712124112812,0.006163665565982519,-0.00020948849764264687,0.17522923269446924,0.06527969184090998,3,0,1,3,mixed,mixed,0.1752292326944692,0.0652796918409099,0.1604448906488783,0.0118957474153861,positive,positive,mixed,0.0015883712124112812
instacart,observed_contrast,fpmc,repeat_rate,-1,4124.0,0.1255253798900744,-0.07330819823046385,0.000697801752628005,-0.06618010420592409,0.22394505589051072,-0.23276164816000952,3,3,3,3,negative,negative,0.2239450558905107,-0.2327616481600095,0.1385669655857979,-0.1456679366180352,positive,negative,negative,0.07330819823046385
instacart,observed_contrast,recency,repeat_rate,-1,4124.0,0.1255253798900744,-0.07972120794866085,0.00543118488618797,-0.08644411403188673,0.23908268734398921,-0.1523514450698332,3,3,3,3,negative,negative,0.2390826873439892,-0.1523514450698332,0.1944211874316939,-0.0898137147721391,positive,negative,negative,0.07972120794866085
sam,discovery,fpmc,n_baskets,1,3678.0,0.3230922602863875,0.03884228636856555,0.0035725120079381414,0.038533574903090506,0.09141081727530338,-0.05496738019202437,3,3,3,3,positive,positive,0.0914108172753033,-0.0549673801920243,0.0338719268815285,-0.0054657283575144,positive,negative,mixed,0.03884228636856555
sam,expected,cbp,repeat_rate,1,3678.0,0.3230922602863875,0.040126430338237616,0.00331289414535165,0.03213981304818992,0.49476804274974717,0.29689673955119567,3,3,3,3,positive,positive,0.4947680427497472,0.2968967395511956,0.5417818837903824,0.1020696315721405,positive,positive,positive,0.040126430338237616
sam,expected,dnntsp,transition_strength,1,3678.0,0.3230922602863875,-0.007898966787408129,0.014281777175874021,-0.013177359882285826,-0.10689264135206596,-0.016597883836442406,3,1,1,3,mixed,mixed,-0.1068926413520659,-0.0165978838364424,-0.1436683485815861,0.0194397162764275,negative,negative,mixed,0.007898966787408129
sam,expected,fpmc,transition_strength,1,3678.0,0.3230922602863875,0.019375593315128847,0.004514666044280903,0.024888368651276162,-0.09187523804638131,0.01985737723156479,3,3,3,3,positive,positive,-0.0918752380463813,0.0198573772315647,-0.1300269953001878,0.0330810695578259,negative,mixed,positive,0.019375593315128847
sam,expected,frequency,repeat_rate,1,3678.0,0.3230922602863875,0.02711557054162873,0.002978446343868628,0.012705606028261233,0.4839405430596992,0.2950350068693468,3,3,3,3,positive,positive,0.4839405430596992,0.2950350068693468,0.5398628629837002,0.1001506107654583,positive,positive,positive,0.02711557054162873
sam,expected,recency,adjacent_basket_jaccard,1,3678.0,0.3230922602863875,0.05295418977713772,0.012222299854383977,0.06129824682408908,0.43864761337687136,0.14156730360533606,3,3,3,3,positive,positive,0.4386476920346017,0.1415669243194724,0.4891474296788297,0.0482285192415872,positive,positive,positive,0.05295418977713772
sam,expected,tifuknn,repeat_rate,1,3678.0,0.3230922602863875,0.03294562470354443,0.006326295364555284,0.024220227370447423,0.4782011694308436,0.2666221982725079,3,3,3,3,positive,positive,0.4782011694308436,0.2666221982725078,0.5231147894047283,0.0834025371864864,positive,positive,positive,0.03294562470354443
sam,expected,triple2vec,relational_strength,1,3678.0,0.3230922602863875,0.0003576604577768599,0.0033598025318845636,-0.0009499667442607684,-0.09831512679024522,-0.013832134179760605,3,0,1,3,mixed,mixed,-0.0983151267902452,-0.0138321341797606,-0.202952926152592,-0.018935013241759,negative,mixed,negative,0.0003576604577768599
sam,observed_contrast,fpmc,repeat_rate,-1,3678.0,0.3230922602863875,-0.0629945907978747,0.012033848822024533,-0.035410162732111915,0.3575688925372367,-0.1821378790883191,3,3,3,3,negative,negative,0.3575688925372367,-0.1821378790883191,0.30030813761946,-0.1394041145987818,positive,negative,negative,0.0629945907978747
sam,observed_contrast,recency,repeat_rate,-1,3678.0,0.3230922602863875,-0.076662308044949,0.018822768713551888,-0.09941304965623743,0.40348307435704694,0.07187152774634763,3,3,3,3,negative,negative,0.4034830743570469,0.0718715277463476,0.4566839826671636,0.0169717304489217,positive,positive,positive,0.076662308044949
tafeng,discovery,fpmc,n_baskets,1,2805.3333333333335,0.5288897993019075,0.016971661008629017,0.0013164978186464861,0.03517348832396033,0.07773728217026525,0.025718403802636087,3,3,3,3,positive,positive,0.093276517709366,-0.00064400111612,0.0503096455136898,0.014278242961834,positive,mixed,positive,0.016971661008629017
tafeng,expected,cbp,repeat_rate,1,2805.3333333333335,0.5288897993019075,0.004366391089770953,0.0023549072190045465,-0.0019709582140836276,0.18833205473196737,0.0350010430035225,3,0,3,0,positive,negative,0.1879236486426312,0.0552009179167653,0.0764484050092475,0.0153465522275409,positive,positive,positive,0.004366391089770953
tafeng,expected,dnntsp,transition_strength,1,2805.3333333333335,0.5288897993019075,0.0009495346441843879,0.002053148065453143,0.0012545348758930463,-0.04485140310662333,-0.03214071913912788,3,0,2,1,mixed,mixed,-0.0448514031066233,-0.0321407191391278,-0.0158458395353461,-0.0101424478314991,negative,negative,negative,0.0009495346441843879
tafeng,expected,fpmc,transition_strength,1,2805.3333333333335,0.5288897993019075,-0.0051515731778015265,0.0020112188078082022,-0.008615910403083422,-0.06990149952452404,-0.05681663839235449,3,0,0,2,negative,mixed,-0.069901499524524,-0.0568166383923544,-0.0325421769117947,-0.0268387852079477,negative,negative,negative,0.0051515731778015265
tafeng,expected,frequency,repeat_rate,1,2805.3333333333335,0.5288897993019075,0.01447211005387082,0.003007079611178716,0.023952669545777964,0.1890963170896521,0.07740436213289707,3,3,3,3,positive,positive,0.1751986907659004,0.0515724033973363,0.0794652079485394,0.0183633551668328,positive,positive,positive,0.01447211005387082
tafeng,expected,recency,adjacent_basket_jaccard,1,2805.3333333333335,0.5288897993019075,0.015487117817716958,0.0012491576546283477,0.02331999945539896,0.16747395053462855,-0.057150109143835025,3,3,3,3,positive,positive,0.1674739505346285,-0.057150109143835,0.0627012154905679,-0.0011619357821756,positive,negative,mixed,0.015487117817716958
