dataset,user,history_n_baskets,target_basket_size,target_repeat_fraction,target_last_jaccard,target_novelty_fraction,target_popularity_profile,target_neighbor_support,target_transition_strength,target_relational_strength,target_personal_frequency,target_personal_recency_score
dunnhumby,5968,4,2,0.0,0.0,1.0,0.6441243080020131,0.0,0.025970021929090953,0.029042392600908604,0.0,0.0
dunnhumby,4272,5,5,0.2,0.0,0.8,0.851711122294917,0.01,0.0,0.05098496574385279,0.04,0.04
dunnhumby,18522,4,1,0.0,0.0,1.0,0.7284851534977352,0.0,0.0,0.0,0.0,0.0
dunnhumby,3365,10,5,0.6,0.18181818181818182,0.4,0.9102164066431806,0.25,0.02118296583003092,0.059103300375918176,0.39999999999999997,0.4666666666666666
dunnhumby,14583,7,11,0.45454545454545453,0.17647058823529413,0.5454545454545454,0.7735736834881274,0.14545454545454548,0.02591103832361327,0.040372601622749756,0.18181818181818182,0.32575757575757575
dunnhumby,12144,3,20,0.25,0.0,0.75,0.8336877201811775,0.08,0.01841892018046376,0.046970140146308605,0.08333333333333333,0.10833333333333332
dunnhumby,13879,2,1,0.0,0.0,1.0,0.9932058379466533,0.05,0.019397852944854792,0.0,0.0,0.0
dunnhumby,17062,7,2,0.5,0.0,0.5,0.9855309511826875,0.375,0.020041620598108385,0.17964292000190607,0.07142857142857142,0.25
dunnhumby,13342,25,1,1.0,0.0,0.0,0.803472571716155,0.05,0.010245180686603413,0.0,0.04,0.14285714285714285
dunnhumby,7890,5,9,0.6666666666666666,0.0,0.33333333333333337,0.7027903595593581,0.08333333333333333,0.011492199025603592,0.041402007775647454,0.15555555555555556,0.26296296296296295
dunnhumby,18511,5,7,0.0,0.0,1.0,0.7308397440506147,0.03571428571428571,0.017590091444483605,0.026389704403181564,0.0,0.0
dunnhumby,9918,20,3,1.0,0.0,0.0,0.9574735782586815,0.30000000000000004,0.014011735898936901,0.03252557869984333,0.21666666666666665,0.3055555555555555
dunnhumby,5864,3,15,0.4,0.0,0.6,0.9245680254990774,0.21,0.033297920544791394,0.07208881123023055,0.2222222222222222,0.18888888888888886
dunnhumby,5556,21,3,1.0,0.058823529411764705,0.0,0.8207096124811274,0.3333333333333333,0.01753489891969606,0.0393073216540451,0.2698412698412698,0.4666666666666666
dunnhumby,1254,4,34,0.5,0.19607843137254902,0.5,0.7910462121436395,0.0911764705882353,0.017125011461243785,0.0389674523471575,0.2426470588235294,0.3578431372549019
