dataset,keyset,n_users,all_zero_rate,unique_winner_rate,tied_winner_rate,recency_winner_share,frequency_winner_share,racf_winner_share,tifuknn_winner_share,fpmc_winner_share,triple2vec_winner_share,sets2sets_winner_share,dnntsp_winner_share,cbp_winner_share,diffrec_winner_share
dunnhumby,0,4504,0.3425843694493783,0.5373184734886862,0.4626815265113137,0.08097208150399632,0.06959079139930169,0.08236237757514311,0.11319012238465119,0.0696482848458532,0.13039500276075763,0.1233483700808928,0.14058621872704957,0.07285746449880154,0.1170492862235518
dunnhumby,1,4504,0.3317051509769094,0.5401993355481728,0.45980066445182727,0.07963573801613669,0.07657780941834065,0.08167194009386665,0.10994752939935655,0.07668921056794813,0.14191609977324246,0.12321797711332594,0.1165779412540209,0.08461925855613527,0.10914649580762528
dunnhumby,2,4504,0.3439165186500888,0.5373942470389171,0.4626057529610829,0.09171299653533152,0.07442309241801605,0.08261340746112293,0.10361574409797739,0.0774538715655467,0.13918808583783196,0.1102730105014369,0.13559825960841185,0.08060712271372143,0.10451440926060204
instacart,0,4124,0.1037827352085354,0.5546536796536796,0.4453463203463203,0.10275608980966128,0.08249823919466744,0.08749914107056933,0.11985136226207672,0.03754444959802103,0.09248361592111583,0.132426518587233,0.12826092558235438,0.08932479557479536,0.1273548623995054
instacart,1,4124,0.11833171677982542,0.551980198019802,0.44801980198019803,0.10730590916234485,0.08299456929819936,0.08695300085564078,0.1079840920599997,0.03409544327448617,0.10567964534548695,0.1282093090261408,0.13192534531230915,0.09206720275202097,0.12278548291337077
instacart,2,4124,0.12027158098933075,0.5529217199558986,0.44707828004410144,0.10455069477258008,0.08472506606464682,0.09090189181148357,0.11535193643793439,0.03528574053656743,0.08459939010517828,0.11791566038396266,0.1340970144029683,0.10017139619537613,0.13240120928930202
retailrocket,0,170,0.37058823529411766,0.037383177570093455,0.9626168224299065,0.14098798397863802,0.12142857142857127,0.10195816644414762,0.10827770360480625,0.07538569945111993,0.11239430351579872,0.11528704939919882,0.02313084112149533,0.10071206052514449,0.10043762053107838
retailrocket,1,170,0.4,0.00980392156862745,0.9901960784313726,0.12138966697790207,0.1205726735138498,0.11403672580143148,0.10472300031123544,0.08902505446623078,0.10822440087145953,0.10553999377528771,0.01830065359477125,0.1075007780890132,0.11068705259881714
retailrocket,2,170,0.4,0.0196078431372549,0.9803921568627451,0.13447323373793937,0.1279372860255211,0.10097650171179569,0.10342748210395254,0.08314270152505433,0.11568238406473683,0.09761515717398055,0.028267973856209157,0.10636865857454077,0.10210862122626811
sam,0,3678,0.3066884176182708,0.3796078431372549,0.6203921568627451,0.11828867102396515,0.10146949891067475,0.10822206660441909,0.10578322440087101,0.02951820728291324,0.11575568004979744,0.13087970743853125,0.11030625583566749,0.101644102085278,0.07813258636788037
sam,1,3678,0.3276237085372485,0.36999595632834614,0.6300040436716539,0.1256482711699048,0.10129509817136119,0.10899829267196792,0.10928423802463397,0.026162555600485332,0.1139314116265184,0.1215384886937657,0.11000568039589476,0.11145771153858464,0.07167825210688122
sam,2,3678,0.31212615551930395,0.4122529644268775,0.5877470355731226,0.12679089026915102,0.0997019888324231,0.10520547085764438,0.09820236526758223,0.02874035384904959,0.10925779534475152,0.12965164062990148,0.1190433841520797,0.10453447518664859,0.07887163561076593
tafeng,0,4073,0.5590473852197397,0.5083518930957683,0.4916481069042316,0.0980635981192774,0.07065038710361653,0.08794565524799372,0.0930456128256796,0.12154412804468484,0.10768042740481483,0.12051140983490649,0.1305416357337292,0.08683803513981687,0.0831791105454802
tafeng,1,4073,0.5484900564694328,0.5067971723762915,0.49320282762370854,0.09833501644268362,0.0800309864747059,0.09964956800193332,0.09101845378354352,0.11066422400027626,0.10137540243576126,0.11905322941212014,0.12039971689237593,0.09813735898564606,0.08133604357095381
tafeng,2,4073,0.5455438251902774,0.526742301458671,0.473257698541329,0.10289976246216113,0.06803808323257274,0.08283831991287421,0.08847812851054337,0.12355312014955465,0.0967623678320598,0.1287034893193727,0.14124947475838878,0.08679242451527702,0.08068482930719556
taobao,0,5677,0.8728201514884623,0.1038781163434903,0.8961218836565097,0.14299674625159364,0.08706305236776193,0.08461339752891042,0.12695609638130417,0.07635591170909761,0.08854207888141444,0.1034648023567694,0.09172492635096553,0.09423119201512595,0.10405179615705956
taobao,1,5677,0.87422934648582,0.11764705882352941,0.8823529411764706,0.12999699879951965,0.0864040060468636,0.0917339157885381,0.11218209506024651,0.08546307411853676,0.09682428526966366,0.10265828553643709,0.09883786848072601,0.08752223111466853,0.10837723978480308
taobao,2,5677,0.8745816452351595,0.1348314606741573,0.8651685393258427,0.1438336008560724,0.08677044319600535,0.08623372570001821,0.12002351970750844,0.0729997101836992,0.10083879525593031,0.1078294988407349,0.09383137149991116,0.08554485464597862,0.10209448011414328
tmall,0,4675,0.9610695187165775,0.6153846153846154,0.38461538461538464,0.1481750392464678,0.06371664050235477,0.07017268445839872,0.08724489795918366,0.036917844060701206,0.06128335949764521,0.04128074306645736,0.36881868131868134,0.0747906855049712,0.04759942438513868
tmall,1,4675,0.9614973262032086,0.5222222222222223,0.4777777777777778,0.20508156966490299,0.1026873897707231,0.06263447971781305,0.09157627865961196,0.06978395061728396,0.05963183421516755,0.0813910934744268,0.1985714285714285,0.074076278659612,0.054565696649029966
tmall,2,4675,0.960855614973262,0.4972677595628415,0.5027322404371585,0.19908925318761383,0.09085349986989327,0.07771272443403589,0.07181238615664845,0.05505464480874316,0.05519125683060108,0.06016133229247983,0.24951860525631014,0.06899557637262554,0.07161072079104865
valuedshopper,0,6214,0.1940778886385581,0.5487220447284346,0.4512779552715655,0.07706645557584059,0.06471098623155307,0.07369296427303595,0.13108859158679467,0.0996641088544044,0.12546909072468196,0.10345764237537398,0.1440106147624119,0.07351214247679881,0.10732740313910452
valuedshopper,1,6214,0.19085934985516576,0.5389817024661894,0.4610182975338107,0.07206082446237574,0.06444285019762314,0.07059238107865766,0.13532188001161757,0.08803659822454571,0.11368921342071703,0.11936070702478825,0.14532341111995037,0.0789376318015934,0.11223450265813038
valuedshopper,2,6214,0.19198583842935307,0.5419239195379406,0.45807608046205933,0.08120623539862747,0.06519412119890075,0.06832596744466864,0.13320016249213631,0.08120394343756226,0.12094180631822547,0.1155904723968855,0.14745568611830323,0.07656659490457508,0.11031501029011494
