method,HR@5,nDCG@5,HR@10,nDCG@10
recency,0.1922303631340043,0.1731221628371776,0.2236263826627947,0.1618963711927978
frequency,0.2793282514308269,0.2680370368477135,0.2859812735534316,0.2405491384498954
racf,0.2814670909808565,0.2707401798124224,0.2887271279145169,0.2427290498644843
tifuknn,0.2746644957568581,0.2633078806182271,0.2807816919939477,0.2357419395821506
fpmc,0.1471741168344187,0.140635953911774,0.1498907203003561,0.1240460565951981
triple2vec,0.2738380698638247,0.2571012212221926,0.2832585027300835,0.2321109508156925
sets2sets,0.1967276001578843,0.1837356636434793,0.2257403765729698,0.1711758484288761
dnntsp,0.2355622163015591,0.2278437140135512,0.2375025256797015,0.203159994005519
cbp,0.2811352871521611,0.2687371461328871,0.2881855164603832,0.2406343541204741
diffrec,0.2629267811328202,0.2540309474975945,0.2691289694287029,0.2275521708935267
