metric,value,std_error,count
HR@10,0.2881855164603832,0.002516451436800772,3
precision@10,0.17306098283007698,0.001517819612803142,3
nDCG@10,0.2406343541204741,0.0018673030382439122,3
recall@5,0.17500067021441215,0.0027347747960866507,3
precision@5,0.22918886915334516,0.0012455399340681682,3
WHR@5,0.27156190382211703,0.0018108019542922536,3
recall@10,0.24643107316007837,0.002182790230543512,3
WHR@10,0.2374063379553675,0.0017842719590092755,3
nDCG@5,0.2687371461328871,0.0016948469455847772,3
HR@5,0.2811352871521611,0.002724536361338563,3
