metric,value,std_error,count
WHR@10,0.2241304446305418,0.0011321993039812548,3
nDCG@5,0.25403094749759453,0.0008118087516827305,3
recall@10,0.23048399544434975,0.002798563425938747,3
precision@10,0.16099763173475432,0.0008281987176601331,3
WHR@5,0.2565871488717848,0.000836228467375964,3
recall@5,0.16435796208258394,0.001532222772830506,3
nDCG@10,0.22755217089352672,0.0009972900582629265,3
HR@5,0.2629267811328202,0.0012331069374469249,3
HR@10,0.26912896942870296,0.002575586999076449,3
precision@5,0.21426879810538782,0.00015022041985038992,3
