user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
5680,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7104,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22218,13,0.6,0.5333333333333333,0.5147714448836773,0.23076923076923078,0.6,0.5,0.5454545454545454,0.4768465887003529,0.38461538461538464,0.5
16497,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13474,13,0.4,0.4666666666666666,0.38356636737133554,0.15384615384615385,0.4,0.3,0.38181818181818183,0.3222722491219546,0.23076923076923078,0.3
13987,6,0.4,0.6,0.5531464700081437,0.3333333333333333,0.4,0.3333333333333333,0.4222222222222222,0.4935232796777481,0.3333333333333333,0.2
7586,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11703,15,0.6,0.5333333333333333,0.5147714448836773,0.2,0.6,0.5,0.5454545454545454,0.47870393709727993,0.3333333333333333,0.5
8216,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
6307,3,0.3333333333333333,0.33333333333333337,0.29608191096586517,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.29608191096586517,0.3333333333333333,0.1
10147,14,0.4,0.3333333333333333,0.31564845247951445,0.14285714285714285,0.4,0.3,0.34545454545454546,0.2781981696179509,0.21428571428571427,0.3
5940,17,0.4,0.39999999999999997,0.4703652827859578,0.11764705882352941,0.4,0.5,0.49090909090909096,0.5232512984721255,0.29411764705882354,0.5
1815,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4956,21,0.4,0.4000000000000001,0.3600546145772339,0.09523809523809523,0.4,0.6,0.5454545454545454,0.5210984447123069,0.2857142857142857,0.6
21880,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
688,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
4845,25,0.4,0.6,0.5531464700081437,0.08,0.4,0.4,0.43636363636363645,0.494639655562801,0.16,0.4
16813,42,0.8,0.7333333333333334,0.7860137352654724,0.09523809523809523,0.8,0.7,0.7636363636363637,0.7280855459907164,0.16666666666666666,0.7
14848,11,0.0,0.0,0.0,0.0,0.0,0.2,0.12727272727272726,0.14465249243306436,0.18181818181818182,0.2
13512,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18283,21,0.2,0.3333333333333333,0.33916020527361607,0.047619047619047616,0.2,0.4,0.4,0.44128517931289274,0.19047619047619047,0.4
14356,11,0.2,0.26666666666666666,0.2139862647345275,0.09090909090909091,0.2,0.1,0.16363636363636364,0.1388624438735545,0.09090909090909091,0.1
4261,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8768,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2178,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13830,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,13,0.4,0.6,0.5531464700081437,0.15384615384615385,0.4,0.3,0.3818181818181818,0.42520843362602373,0.23076923076923078,0.3
6794,26,0.4,0.5333333333333333,0.5087403079104241,0.07692307692307693,0.4,0.4,0.41818181818181815,0.4658230948382865,0.15384615384615385,0.4
21723,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,36,0.2,0.19999999999999998,0.16958010263680803,0.027777777777777776,0.2,0.1,0.14545454545454548,0.11004588314904007,0.027777777777777776,0.1
13179,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7055,6,0.2,0.3333333333333333,0.33916020527361607,0.16666666666666666,0.2,0.5,0.2222222222222222,0.30260241349881345,0.5,0.3
2230,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1064,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
