metric,value,std_error,count
WHR@5,0.24228986344883327,0.004986464961077595,3
precision@10,0.15568383658969806,0.0026011044657770787,3
precision@5,0.2060834813499112,0.0035746233391065496,3
HR@5,0.24867648509966447,0.004717146686848294,3
nDCG@5,0.23955609514458467,0.005409768015950109,3
nDCG@10,0.21367194412750767,0.004750473973576337,3
HR@10,0.2499019977539072,0.0055776048777736,3
recall@10,0.2113642908427327,0.005009811312150732,3
recall@5,0.15094024520651392,0.0027589163280383557,3
WHR@10,0.21071380625910383,0.004520420740610753,3
