user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
7682,7,0.2,0.06666666666666665,0.13120507751234176,0.14285714285714285,0.2,0.14285714285714285,0.12244897959183672,0.10633668103022983,0.14285714285714285,0.1
7358,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
11083,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6509,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
5090,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18432,12,0.2,0.26666666666666666,0.2139862647345275,0.08333333333333333,0.2,0.2,0.23636363636363636,0.21222636597291453,0.16666666666666666,0.2
18990,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20682,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13030,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4081,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,20,0.4,0.6,0.5531464700081437,0.1,0.4,0.2,0.34545454545454546,0.3589542101716347,0.1,0.2
10816,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18280,12,0.4,0.19999999999999998,0.2772734273550482,0.16666666666666666,0.4,0.2,0.23636363636363633,0.17993148201117173,0.16666666666666666,0.2
8902,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14724,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15628,26,0.0,0.0,0.0,0.0,0.0,0.1,0.07272727272727274,0.07336392209936006,0.038461538461538464,0.1
762,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2704,20,0.4,0.39999999999999997,0.4703652827859578,0.1,0.4,0.3,0.34545454545454546,0.3746661058764783,0.15,0.3
1727,21,0.8,0.9333333333333332,0.8687949224876582,0.19047619047619047,0.8,0.4,0.6181818181818183,0.5637884576902256,0.19047619047619047,0.4
