metric,value,std_error,count
precision@5,0.2287250838760608,0.001420641642946704,3
precision@10,0.1759826362457357,0.0012710390118438847,3
HR@5,0.27932825143082696,0.0027953729626648436,3
nDCG@10,0.24054913844989545,0.0019593425572949396,3
recall@10,0.24367664604305783,0.001924365687663324,3
nDCG@5,0.2680370368477135,0.0017929667001781021,3
HR@10,0.2859812735534316,0.0020948309406954215,3
recall@5,0.17369498718844198,0.00252618438331988,3
WHR@10,0.23625664582518438,0.0017703085508556397,3
WHR@5,0.2707313663574765,0.0018181653261709362,3
