metric,value,std_error,count
WHR@10,0.23884734437738953,0.0014917244429014074,3
recall@10,0.24712831425196327,0.002277724727143066,3
WHR@5,0.2734276762806958,0.0014565029412388823,3
precision@5,0.22893724097098875,0.0012855305827474065,3
HR@10,0.28872712791451693,0.002382679669505204,3
precision@10,0.17292776791000594,0.001216102798449331,3
nDCG@10,0.24272904986448432,0.0016768307752023982,3
HR@5,0.28146709098085654,0.0026698042171265936,3
recall@5,0.17583758706601102,0.0025910659250284324,3
nDCG@5,0.2707401798124224,0.0015713980739532369,3
