metric,value,std_error,count
HR@5,0.19223036313400432,0.0011896555886075407,3
nDCG@10,0.16189637119279784,5.6291508697857004e-05,3
recall@10,0.1923947491243918,0.0004938620384915283,3
nDCG@5,0.1731221628371776,0.00026098460841511296,3
precision@10,0.13458980024810396,0.00029831427810668025,3
WHR@5,0.17325358059150245,6.894579666407393e-05,3
WHR@10,0.15882524214050384,0.00032229865044984947,3
recall@5,0.12192970889662536,0.0009375008409180812,3
precision@5,0.1550868363923426,0.000828601854521675,3
HR@10,0.22362638266279475,0.0005111062833608387,3
