metric,value,std_error,count
recall@10,0.24229496792632496,0.0013267331849455735,3
precision@10,0.17658295953966743,0.001123790217515581,3
WHR@10,0.23803724031918186,0.001745036204411547,3
recall@5,0.1731614388357947,0.0016573388626375317,3
nDCG@5,0.2699076930688325,0.0016659392976764364,3
HR@10,0.2848785778892027,0.0015085947639829956,3
WHR@5,0.2727663835735514,0.0017043412877440814,3
precision@5,0.22946928850829898,0.0013546867133577218,3
nDCG@10,0.24241257130971597,0.001881438729330616,3
HR@5,0.2792393487683688,0.0022499435221410434,3
