metric,value,std_error,count
precision@5,0.21207844381012794,0.0014809612697933244,3
HR@10,0.26901930134565716,0.0015888046745519597,3
HR@5,0.26025654579412905,0.002000987521703507,3
nDCG@5,0.24441967782306426,0.0010824017357527586,3
nDCG@10,0.22039428943459638,0.0011290361874665494,3
recall@10,0.22912301157622408,0.0013267867434626922,3
WHR@10,0.21724972749782492,0.0014248240033489352,3
WHR@5,0.246306826286211,0.001237966656692666,3
recall@5,0.1623250502803307,0.00119213742070178,3
precision@10,0.16526569555827408,0.0011640540751608334,3
