user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
7012,44,0.8,0.9333333333333332,0.8687949224876582,0.09090909090909091,0.8,0.6,0.7454545454545456,0.7084409501232899,0.13636363636363635,0.6
11358,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22030,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12507,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8145,5,0.2,0.26666666666666666,0.2139862647345275,0.2,0.2,0.4,0.225,0.2139862647345275,0.4,0.2
16514,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
13832,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21762,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13652,26,0.0,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.07839826897867533,0.038461538461538464,0.1
8669,9,0.2,0.06666666666666665,0.13120507751234176,0.1111111111111111,0.2,0.2222222222222222,0.14814814814814814,0.16168379134005942,0.2222222222222222,0.2
13728,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19450,7,0.2,0.06666666666666665,0.13120507751234176,0.14285714285714285,0.2,0.14285714285714285,0.12244897959183672,0.10633668103022983,0.14285714285714285,0.1
2699,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15432,12,0.4,0.6,0.5531464700081437,0.16666666666666666,0.4,0.3,0.36363636363636365,0.4225749983705864,0.25,0.3
18840,22,0.6,0.7999999999999999,0.7227265726449518,0.13636363636363635,0.6,0.4,0.5090909090909091,0.5326208815196265,0.18181818181818182,0.4
19105,15,0.2,0.19999999999999998,0.16958010263680803,0.06666666666666667,0.2,0.3,0.2,0.23992089480238077,0.2,0.3
2258,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16100,3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1
20960,26,0.2,0.19999999999999998,0.16958010263680803,0.038461538461538464,0.2,0.3,0.2,0.23992089480238077,0.11538461538461539,0.3
18776,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4088,15,0.6,0.6,0.529634717214042,0.2,0.6,0.4,0.47272727272727283,0.4099509148465344,0.26666666666666666,0.4
6177,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
