metric,value,std_error,count
precision@5,0.15338957963291888,0.0032599958225412885,3
HR@5,0.1909154825340438,0.004626317771799571,3
recall@10,0.18385807982994606,0.003541054489040107,3
recall@5,0.12194116241240392,0.0030462092430679085,3
nDCG@10,0.1690982026740546,0.0025623199311921555,3
WHR@5,0.1887061001625833,0.0035248901577130975,3
HR@10,0.21105131711259598,0.003884656817132475,3
precision@10,0.12109976317347544,0.0018272854861513734,3
nDCG@5,0.18710457659358415,0.0031373382847915566,3
WHR@10,0.16337780373318656,0.0028164260005673542,3
