user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
12254,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
12002,17,0.6,0.6,0.6399453854227659,0.17647058823529413,0.6,0.3,0.43636363636363634,0.4152807670887412,0.17647058823529413,0.3
4381,5,0.6,0.7999999999999999,0.7227265726449518,0.6,0.6,0.6,0.675,0.7227265726449518,0.6,0.3
12665,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9836,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21733,9,0.2,0.19999999999999998,0.16958010263680803,0.1111111111111111,0.2,0.2222222222222222,0.20370370370370372,0.19167138999231723,0.2222222222222222,0.2
20288,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12876,16,0.2,0.3333333333333333,0.33916020527361607,0.0625,0.2,0.1,0.18181818181818182,0.22009176629808014,0.0625,0.1
14416,31,1.0,1.0,1.0,0.16129032258064516,1.0,0.9,0.9272727272727272,0.92663607790064,0.2903225806451613,0.9
19412,8,0.2,0.3333333333333333,0.33916020527361607,0.125,0.2,0.125,0.1923076923076923,0.2529427027676571,0.125,0.1
6754,4,0.25,0.0,0.0,0.25,0.2,0.25,0.0,0.0,0.25,0.1
16334,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13514,18,0.2,0.3333333333333333,0.33916020527361607,0.05555555555555555,0.2,0.1,0.18181818181818182,0.22009176629808014,0.05555555555555555,0.1
1998,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,4,0.25,0.28571428571428575,0.2463023887407299,0.25,0.2,0.5,0.2647058823529412,0.2463023887407299,0.5,0.2
2348,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.1
12825,4,0.25,0.2142857142857143,0.19519002499605081,0.25,0.2,1.0,0.23529411764705882,0.19519002499605081,1.0,0.4
13209,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17102,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1
10299,23,0.2,0.3333333333333333,0.33916020527361607,0.043478260869565216,0.2,0.2,0.21818181818181817,0.28634598975246917,0.08695652173913043,0.2
10894,5,0.6,0.5333333333333333,0.5147714448836773,0.6,0.6,0.8,0.5750000000000001,0.5147714448836773,0.8,0.4
13880,19,0.4,0.3333333333333333,0.34519134224686926,0.10526315789473684,0.4,0.3,0.36363636363636365,0.30240383049385083,0.15789473684210525,0.3
12791,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2345,7,0.6,0.39999999999999997,0.4468535299918562,0.42857142857142855,0.6,0.5714285714285714,0.5102040816326531,0.4537830847475018,0.5714285714285714,0.4
9281,24,0.8,0.9333333333333332,0.8687949224876582,0.16666666666666666,0.8,0.6,0.7090909090909091,0.6994739030813919,0.25,0.6
10423,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16496,5,0.4,0.4666666666666666,0.38356636737133554,0.4,0.4,0.8,0.42500000000000004,0.38356636737133554,0.8,0.4
1411,9,0.4,0.5333333333333333,0.5087403079104241,0.2222222222222222,0.4,0.2222222222222222,0.3333333333333333,0.352568324121728,0.2222222222222222,0.2
12854,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22399,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1063,7,0.2,0.13333333333333333,0.14606834984270645,0.14285714285714285,0.2,0.2857142857142857,0.24489795918367344,0.2162957183053307,0.2857142857142857,0.2
163,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12979,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
19,10,0.2,0.3333333333333333,0.33916020527361607,0.1,0.2,0.2,0.2545454545454545,0.29345568839744024,0.2,0.2
13270,7,0.6,0.46666666666666673,0.4912596920895757,0.42857142857142855,0.6,0.42857142857142855,0.4489795918367347,0.3981471309738322,0.42857142857142855,0.3
2009,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
4105,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7144,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
14016,6,0.6,0.6,0.6399453854227659,0.5,0.6,0.5,0.5333333333333333,0.5709662133861837,0.5,0.3
20469,8,0.2,0.19999999999999998,0.16958010263680803,0.125,0.2,0.125,0.15384615384615385,0.12647135138382856,0.125,0.1
13620,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17310,10,0.2,0.26666666666666666,0.2139862647345275,0.1,0.2,0.1,0.16363636363636364,0.1388624438735545,0.1,0.1
7982,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
18438,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
17850,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.1
1543,8,0.6,0.7999999999999999,0.7227265726449518,0.375,0.6,0.375,0.5192307692307693,0.5390031312763821,0.375,0.3
16154,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12280,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6955,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11508,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15809,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12019,12,0.2,0.19999999999999998,0.16958010263680803,0.08333333333333333,0.2,0.1,0.14545454545454548,0.11004588314904007,0.08333333333333333,0.1
8440,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
16852,5,0.2,0.3333333333333333,0.33916020527361607,0.2,0.2,0.4,0.25,0.33916020527361607,0.4,0.2
20997,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
507,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.5,0.2941176470588235,0.39038004999210163,0.5,0.2
5247,24,0.2,0.3333333333333333,0.33916020527361607,0.041666666666666664,0.2,0.3,0.2909090909090909,0.35970991185182927,0.125,0.3
11132,13,0.6,0.7999999999999999,0.7227265726449518,0.23076923076923078,0.6,0.6,0.6545454545454545,0.6804503724350791,0.46153846153846156,0.6
17968,5,0.2,0.3333333333333333,0.33916020527361607,0.2,0.2,0.2,0.25,0.33916020527361607,0.2,0.1
