metric,value,std_error,count
recall@10,0.23965806064671616,0.0024032767503903256,3
nDCG@5,0.2633078806182271,0.00021990240836526381,3
WHR@10,0.23227182651707978,0.0008022335933368863,3
WHR@5,0.26533146315561945,0.0003986584380568915,3
nDCG@10,0.23574193958215064,0.0006479744607528666,3
precision@10,0.16918294849023094,0.0007122120307435762,3
recall@5,0.17047277297892224,0.0021323873781331285,3
HR@5,0.2746644957568581,0.0019036313682788489,3
precision@5,0.22421551213735938,0.0006154713702277,3
HR@10,0.2807816919939477,0.002220720712642036,3
