user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
8195,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16387,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16389,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,32,1.0,1.0,1.0,0.15625,1.0,0.9,0.9818181818181819,0.9363792118010482,0.28125,0.9
8209,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8220,4,0.25,0.2142857142857143,0.19519002499605081,0.25,0.2,0.5,0.23529411764705882,0.19519002499605081,0.5,0.2
16417,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8230,41,1.0,1.0,1.0,0.12195121951219512,1.0,0.7,0.8545454545454546,0.793584067764911,0.17073170731707318,0.7
42,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8234,9,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.20370370370370372,0.2328291911917692,0.3333333333333333,0.3
16431,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
50,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8247,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8251,6,0.4,0.6,0.5531464700081437,0.3333333333333333,0.4,0.5,0.5333333333333333,0.601312434202259,0.5,0.3
63,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8259,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266,6,0.4,0.5333333333333333,0.5087403079104241,0.3333333333333333,0.4,0.3333333333333333,0.4,0.4539036202482201,0.3333333333333333,0.2
8277,4,0.25,0.28571428571428575,0.2463023887407299,0.25,0.2,0.5,0.2647058823529412,0.2463023887407299,0.5,0.2
16472,6,0.2,0.26666666666666666,0.2139862647345275,0.16666666666666666,0.2,0.16666666666666666,0.2,0.1909208661789346,0.16666666666666666,0.1
16475,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16478,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16482,8,0.4,0.6,0.5531464700081437,0.25,0.4,0.25,0.36538461538461536,0.4125317798925535,0.25,0.2
100,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8297,12,0.4,0.4666666666666666,0.48522855511632257,0.16666666666666666,0.4,0.2,0.3090909090909091,0.31488013066763093,0.16666666666666666,0.2
16489,4,0.25,0.28571428571428575,0.2463023887407299,0.25,0.2,0.25,0.2647058823529412,0.2463023887407299,0.25,0.1
8300,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16495,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
113,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8307,17,0.2,0.19999999999999998,0.16958010263680803,0.058823529411764705,0.2,0.1,0.14545454545454548,0.11004588314904007,0.058823529411764705,0.1
16512,15,0.4,0.26666666666666666,0.3007851801491498,0.13333333333333333,0.4,0.3,0.3272727272727272,0.26855292289002114,0.2,0.3
129,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1
16514,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
16524,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8339,12,0.4,0.5333333333333333,0.5087403079104241,0.16666666666666666,0.4,0.3,0.36363636363636365,0.39639187290150923,0.25,0.3
16534,15,0.6,0.7999999999999999,0.7227265726449518,0.2,0.6,0.3,0.49090909090909096,0.46900009332067477,0.2,0.3
151,7,0.6,0.5333333333333333,0.5147714448836773,0.42857142857142855,0.6,0.42857142857142855,0.46938775510204084,0.4172025044756147,0.42857142857142855,0.3
8344,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16543,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.1
178,7,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.1020408163265306,0.0979129253499678,0.42857142857142855,0.3
179,11,0.2,0.26666666666666666,0.2139862647345275,0.09090909090909091,0.2,0.1,0.16363636363636364,0.1388624438735545,0.09090909090909091,0.1
16567,13,0.4,0.39999999999999997,0.4703652827859578,0.15384615384615385,0.4,0.4,0.4,0.44485302949345024,0.3076923076923077,0.4
16573,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
189,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8388,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8392,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,20,0.4,0.3333333333333333,0.31564845247951445,0.1,0.4,0.2,0.2727272727272727,0.20483424751859083,0.1,0.2
16594,12,0.4,0.6,0.5531464700081437,0.16666666666666666,0.4,0.2,0.34545454545454546,0.3589542101716347,0.16666666666666666,0.2
214,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412,8,0.8,0.8000000000000002,0.8304198973631919,0.5,0.8,0.625,0.6153846153846153,0.6193198671454698,0.625,0.5
16608,2,1.0,0.4444444444444445,0.3868528072345415,1.0,0.4,1.0,0.4736842105263158,0.3868528072345415,1.0,0.2
16611,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8422,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
16620,17,0.4,0.6,0.5531464700081437,0.11764705882352941,0.4,0.2,0.34545454545454546,0.3589542101716347,0.11764705882352941,0.2
8430,13,0.2,0.3333333333333333,0.33916020527361607,0.07692307692307693,0.2,0.1,0.18181818181818182,0.22009176629808014,0.07692307692307693,0.1
16622,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16627,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8454,13,0.8,0.8000000000000002,0.8304198973631919,0.3076923076923077,0.8,0.6,0.709090909090909,0.6816808362189438,0.46153846153846156,0.6
16655,5,0.2,0.26666666666666666,0.2139862647345275,0.2,0.2,0.2,0.225,0.2139862647345275,0.2,0.1
16658,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.1
8471,18,0.4,0.3333333333333333,0.31564845247951445,0.1111111111111111,0.4,0.2,0.2727272727272727,0.20483424751859083,0.1111111111111111,0.2
16664,39,1.0,1.0,1.0,0.1282051282051282,1.0,0.9,0.9272727272727272,0.92663607790064,0.23076923076923078,0.9
8479,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
16679,15,0.2,0.3333333333333333,0.33916020527361607,0.06666666666666667,0.2,0.1,0.18181818181818182,0.22009176629808014,0.06666666666666667,0.1
16684,4,0.25,0.2142857142857143,0.19519002499605081,0.25,0.2,0.25,0.23529411764705882,0.19519002499605081,0.25,0.1
16691,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16705,5,0.2,0.19999999999999998,0.16958010263680803,0.2,0.2,0.2,0.2,0.16958010263680803,0.2,0.1
321,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8515,7,0.4,0.4666666666666666,0.38356636737133554,0.2857142857142857,0.4,0.5714285714285714,0.4489795918367347,0.4087787487953526,0.5714285714285714,0.4
8523,19,0.8,0.8000000000000002,0.8304198973631919,0.21052631578947367,0.8,0.8,0.7636363636363636,0.8115558478722846,0.42105263157894735,0.8
335,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16721,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16723,23,0.6,0.6666666666666666,0.6843515475204854,0.13043478260869565,0.6,0.7,0.6363636363636365,0.7167674835027338,0.30434782608695654,0.7
16724,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8533,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
