metric,value,std_error,count
precision@10,0.16880550621669624,0.0010832295711496814,3
precision@5,0.2211071640023683,0.0006803934241895254,3
nDCG@5,0.25710122122219264,0.0008967707063739971,3
HR@10,0.2832585027300835,0.00212209857845235,3
recall@10,0.2428947833776113,0.0020384993522082574,3
WHR@10,0.22951838593707397,0.0009483245528901218,3
WHR@5,0.26014847472440716,0.000958014041199595,3
nDCG@10,0.23211095081569252,0.001090724843872828,3
HR@5,0.27383806986382475,0.0015647678431410452,3
recall@5,0.1726624729428485,0.0015330382663424206,3
