method,HR@5,nDCG@5,HR@10,nDCG@10
recency,0.302909796314258,0.2837410514404291,0.3336715586654966,0.2665889786353319
frequency,0.4420519452527212,0.4374768083894727,0.4350030021708004,0.3959996217218028
racf,0.4409998383446492,0.4386777949083542,0.4349049505026711,0.3974213581944333
tifuknn,0.4292959909473003,0.4270860361962403,0.4245732491185934,0.3867111707074017
fpmc,0.1376347127923267,0.1377572389356126,0.1404974237782191,0.1225363403804138
triple2vec,0.3854577540683263,0.3894817038246056,0.3686698458885655,0.3463554023423357
sets2sets,0.3067437223838776,0.3045711845844457,0.2993886925931058,0.2682921783865706
dnntsp,0.3811658045047958,0.3748616249595275,0.3776414291872584,0.3394894130114289
cbp,0.438531899989223,0.4353028101047793,0.4337264380911325,0.3942204776303599
diffrec,0.3439109817868305,0.3496350572291016,0.3282126755756727,0.3091484541682289
