user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
2526,9,0.4,0.4666666666666666,0.48522855511632257,0.2222222222222222,0.4,0.5555555555555556,0.48148148148148157,0.5595270501044359,0.5555555555555556,0.5
9523,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6647,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3215,17,0.2,0.19999999999999998,0.16958010263680803,0.058823529411764705,0.2,0.3,0.2545454545454546,0.24966402870278911,0.17647058823529413,0.3
15455,12,0.6,0.7999999999999999,0.7227265726449518,0.25,0.6,0.5,0.6545454545454545,0.6207622843987102,0.4166666666666667,0.5
7664,25,0.4,0.4000000000000001,0.3600546145772339,0.08,0.4,0.3,0.36363636363636365,0.30701473034246535,0.12,0.3
9205,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12861,3,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.2
17884,12,0.4,0.39999999999999997,0.4703652827859578,0.16666666666666666,0.4,0.2,0.29090909090909095,0.3052348839397011,0.16666666666666666,0.2
16450,8,0.2,0.3333333333333333,0.33916020527361607,0.125,0.2,0.375,0.25,0.3327372413301053,0.375,0.3
17579,7,0.4,0.6,0.5531464700081437,0.2857142857142857,0.4,0.5714285714285714,0.4693877551020407,0.539929434207294,0.5714285714285714,0.4
6522,25,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.4,1.0
19886,16,0.4,0.6,0.5531464700081437,0.125,0.4,0.6,0.5272727272727272,0.6316243658611128,0.375,0.6
15653,8,0.4,0.5333333333333333,0.5087403079104241,0.25,0.4,0.375,0.34615384615384615,0.37941405415148566,0.375,0.3
29,14,0.0,0.0,0.0,0.0,0.0,0.1,0.018181818181818177,0.0636207881989517,0.07142857142857142,0.1
17546,6,0.6,0.7999999999999999,0.7227265726449518,0.5,0.6,0.5,0.6000000000000001,0.6448244864271548,0.5,0.3
6636,8,0.4,0.5333333333333333,0.5087403079104241,0.25,0.4,0.375,0.34615384615384615,0.37941405415148566,0.375,0.3
19824,13,0.2,0.06666666666666665,0.13120507751234176,0.07692307692307693,0.2,0.5,0.34545454545454546,0.3699573188553853,0.38461538461538464,0.5
6097,18,0.6,0.7333333333333334,0.6992148198508501,0.16666666666666666,0.6,0.4,0.5454545454545454,0.5271064966405455,0.2222222222222222,0.4
6082,18,0.6,0.6,0.529634717214042,0.16666666666666666,0.6,0.3,0.43636363636363645,0.34369669139214537,0.16666666666666666,0.3
14544,13,0.4,0.6,0.5531464700081437,0.15384615384615385,0.4,0.3,0.4,0.4283854321084119,0.23076923076923078,0.3
17541,7,0.2,0.3333333333333333,0.33916020527361607,0.14285714285714285,0.2,0.2857142857142857,0.3061224489795918,0.3727892582642587,0.2857142857142857,0.2
15147,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17777,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11911,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152,32,0.6,0.6666666666666666,0.6843515475204854,0.09375,0.6,0.4,0.5454545454545454,0.522495596791931,0.125,0.4
7948,6,0.4,0.6,0.5531464700081437,0.3333333333333333,0.4,0.5,0.4222222222222222,0.4935232796777481,0.5,0.3
6724,9,0.6,0.5333333333333333,0.6164336326286642,0.3333333333333333,0.6,0.3333333333333333,0.4259259259259259,0.4272021882457644,0.3333333333333333,0.3
20058,9,0.2,0.13333333333333333,0.14606834984270645,0.1111111111111111,0.2,0.2222222222222222,0.20370370370370372,0.17957712468379533,0.2222222222222222,0.2
18432,11,0.2,0.3333333333333333,0.33916020527361607,0.09090909090909091,0.2,0.2,0.2727272727272727,0.2984900352767555,0.18181818181818182,0.2
19435,10,0.6,0.39999999999999997,0.4468535299918562,0.3,0.6,0.5,0.509090909090909,0.4327725091963491,0.5,0.5
4425,12,0.6,0.7999999999999999,0.7227265726449518,0.25,0.6,0.3,0.49090909090909096,0.46900009332067477,0.25,0.3
1877,8,0.2,0.3333333333333333,0.33916020527361607,0.125,0.2,0.25,0.28846153846153844,0.34304271142002485,0.25,0.2
16540,30,0.4,0.5333333333333333,0.5087403079104241,0.06666666666666667,0.4,0.4,0.38181818181818183,0.4600126611004609,0.13333333333333333,0.4
15358,20,0.4,0.6,0.5531464700081437,0.1,0.4,0.3,0.41818181818181815,0.43231813227099475,0.15,0.3
15660,2,1.0,0.5555555555555556,0.6131471927654584,1.0,0.4,1.0,0.5263157894736842,0.6131471927654584,1.0,0.2
4161,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.1
