metric,value,std_error,count
recall@10,0.36882860468765183,0.0025580743980244277,3
nDCG@10,0.39422047763035994,0.0026600367798383915,3
WHR@10,0.3902675825204893,0.0025992204930500593,3
HR@5,0.438531899989223,0.002295592942084127,3
WHR@5,0.44056959134553697,0.0029963250655744814,3
precision@10,0.293299385709667,0.002803112639271558,3
HR@10,0.43372643809113254,0.0030560362173102144,3
recall@5,0.26285059409578065,0.0007357473860395048,3
nDCG@5,0.43530281010477934,0.0027894640494583226,3
precision@5,0.3805043646944714,0.0028427450804564183,3
