metric,value,std_error,count
nDCG@10,0.3091484541682289,0.0013685772864362022,3
HR@10,0.3282126755756727,0.0027207636762734684,3
recall@5,0.19780866015269194,0.001565695882712412,3
precision@10,0.2275945683802134,0.0018147928204007102,3
nDCG@5,0.3496350572291016,0.001678221241184606,3
precision@5,0.3033947623666344,0.002092859372586136,3
WHR@5,0.3544806116217368,0.0016343668195850434,3
recall@10,0.27499954792226705,0.002522433175380859,3
WHR@10,0.3059125068923977,0.0011762692356036605,3
HR@5,0.3439109817868305,0.0022242991246367873,3
