metric,value,std_error,count
HR@10,0.38126860319513084,0.0032181585303471577,3
nDCG@10,0.3403236676069137,0.0017709831399821665,3
HR@5,0.38469527966375683,0.0019892970125343105,3
recall@5,0.22551127154263204,0.0011724124676381028,3
precision@5,0.338587132234077,0.002564110705353687,3
precision@10,0.2632476559974135,0.0024552462460605945,3
WHR@10,0.33877831532684183,0.001885587038366758,3
WHR@5,0.38160721342098647,0.0018037355409593477,3
nDCG@5,0.37648043249542235,0.0023196732546477334,3
recall@10,0.3219331274195814,0.002557176204418124,3
