metric,value,std_error,count
nDCG@10,0.12253634038041387,0.00039853485263987166,3
precision@5,0.12452311671516327,0.0006616030368471085,3
precision@10,0.09992725509214356,0.0004257862008104099,3
WHR@5,0.1397362323526242,0.0006285287283856677,3
recall@10,0.11597201199418568,0.0020397588803148423,3
HR@5,0.13763471279232675,0.000849499552016673,3
nDCG@5,0.13775723893561265,0.0006073441724226728,3
recall@5,0.0740592367757238,0.0006243566248055224,3
HR@10,0.14049742377821914,0.0018277883174048915,3
WHR@10,0.12129412787246484,0.0006740932156733501,3
