metric,value,std_error,count
WHR@10,0.39131654084604856,0.0026430701021545556,3
HR@10,0.4350030021708004,0.002401402335128275,3
precision@10,0.30377205440857236,0.0025283565731706826,3
nDCG@5,0.4374768083894727,0.003152417803353552,3
nDCG@10,0.39599962172180286,0.00279457333055367,3
HR@5,0.4420519452527212,0.0023835946867713023,3
precision@5,0.38606935014548993,0.002767525717203752,3
recall@5,0.26477177384066014,0.001237598576172243,3
recall@10,0.3689219458398778,0.0020784383533161083,3
WHR@5,0.4425789288665138,0.003086801436989324,3
