metric,value,std_error,count
precision@5,0.3829453604914323,0.002479552799496924,3
WHR@5,0.44428182685942136,0.003234495979433954,3
recall@10,0.3697288666531294,0.0023383037753242964,3
precision@10,0.2952715809893307,0.00214251283880172,3
nDCG@5,0.43867779490835423,0.003221318720442115,3
recall@5,0.26421547883078716,0.0009020004670111757,3
HR@5,0.4409998383446492,0.0019030426599578852,3
WHR@10,0.39347664958696454,0.0025514089419446237,3
HR@10,0.43490495050267114,0.002366624886027902,3
nDCG@10,0.3974213581944333,0.002748127755575552,3
