metric,value,std_error,count
nDCG@5,0.282017040026626,0.0019388774868187633,3
WHR@5,0.28294328892700904,0.0017994582848255031,3
nDCG@10,0.26566267727445747,0.0017466844829902278,3
precision@5,0.256750567678867,0.0019314077874468662,3
recall@5,0.18596030371963948,0.0011750616484089804,3
HR@5,0.30044355925027905,0.001562641005223755,3
HR@10,0.3323703181384165,0.0021428944736421856,3
WHR@10,0.2622553053780186,0.0017284299547218856,3
precision@10,0.22406571237970616,0.0014611475818096134,3
recall@10,0.28633805328603795,0.0019749965673598363,3
