metric,value,std_error,count
WHR@10,0.26801123450676384,0.0005460218382047187,3
WHR@5,0.307832868743849,0.0005040795350926986,3
precision@10,0.1990590001154601,0.000811985064965823,3
HR@5,0.313058538275026,0.0008047339717960181,3
precision@5,0.2682138321210022,0.0009977784413101533,3
nDCG@5,0.30173114118725747,0.0005091569288983681,3
HR@10,0.30703459038235625,0.0005933124430114749,3
recall@10,0.26342426810067116,0.0006838601273305125,3
nDCG@10,0.26709563424851795,0.0005423442958115568,3
recall@5,0.18929036377860062,0.0004151850768635114,3
