metric,value,std_error,count
nDCG@5,0.4270860361962403,0.004314684935042892,3
precision@10,0.28663918525703197,0.002407593114873361,3
nDCG@10,0.38671117070740174,0.003496796921455585,3
precision@5,0.37171031361138057,0.003487074912405294,3
HR@10,0.4245732491185934,0.002534793413582165,3
HR@5,0.42929599094730037,0.003077001780665179,3
WHR@10,0.3829473711822426,0.003686736757017839,3
recall@5,0.25753147293959744,0.0013739409518197733,3
WHR@5,0.43253679583698984,0.004391838336839735,3
recall@10,0.3612336609976419,0.0020609062269622428,3
