user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
2,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1
4,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,1.0,0.5263157894736842,0.6131471927654584,1.0,0.2
7,28,0.4,0.4666666666666666,0.38356636737133554,0.07142857142857142,0.4,0.4,0.38181818181818183,0.3819603371583235,0.14285714285714285,0.4
15,5,0.2,0.26666666666666666,0.2139862647345275,0.2,0.2,0.2,0.225,0.2139862647345275,0.2,0.1
16,2,0.5,0.4444444444444445,0.3868528072345415,0.5,0.2,1.0,0.4736842105263158,0.3868528072345415,1.0,0.2
21,7,0.6,0.6666666666666666,0.6548086577531306,0.42857142857142855,0.6,0.42857142857142855,0.5102040816326531,0.5306972923267992,0.42857142857142855,0.3
23,11,0.8,0.7333333333333334,0.7860137352654724,0.36363636363636365,0.8,0.5,0.6363636363636364,0.5834330535576521,0.45454545454545453,0.5
28,7,0.4,0.6,0.5531464700081437,0.2857142857142857,0.4,0.2857142857142857,0.38775510204081626,0.4483039899025303,0.2857142857142857,0.2
33,9,0.8,0.8000000000000002,0.8304198973631919,0.4444444444444444,0.8,0.6666666666666666,0.7592592592592592,0.7375728492866022,0.6666666666666666,0.6
45,12,0.2,0.26666666666666666,0.2139862647345275,0.08333333333333333,0.2,0.2,0.2,0.2051166673279435,0.16666666666666666,0.2
48,8,0.2,0.26666666666666666,0.2139862647345275,0.125,0.2,0.125,0.17307692307692307,0.1595890771248963,0.125,0.1
49,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,12,0.8,0.7333333333333334,0.7860137352654724,0.3333333333333333,0.8,0.4,0.5636363636363636,0.510069131458292,0.3333333333333333,0.4
61,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
64,6,0.2,0.3333333333333333,0.33916020527361607,0.16666666666666666,0.2,0.16666666666666666,0.2222222222222222,0.30260241349881345,0.16666666666666666,0.1
67,5,0.8,0.8666666666666666,0.8539316501572936,0.8,0.8,0.8,0.8250000000000001,0.8539316501572936,0.8,0.4
68,11,0.4,0.4666666666666666,0.38356636737133554,0.18181818181818182,0.4,0.5,0.509090909090909,0.466924741555019,0.45454545454545453,0.5
79,8,0.2,0.3333333333333333,0.33916020527361607,0.125,0.2,0.125,0.1923076923076923,0.2529427027676571,0.125,0.1
80,5,0.6,0.6,0.6399453854227659,0.6,0.6,0.6,0.6,0.6399453854227659,0.6,0.3
81,17,0.8,0.8666666666666666,0.8539316501572936,0.23529411764705882,0.8,0.8,0.8545454545454546,0.8415908474314975,0.47058823529411764,0.8
95,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,14,0.4,0.6,0.5531464700081437,0.14285714285714285,0.4,0.3,0.41818181818181815,0.43231813227099475,0.21428571428571427,0.3
102,4,0.25,0.14285714285714288,0.16812753627111746,0.25,0.2,0.75,0.20588235294117643,0.16812753627111746,0.75,0.3
105,12,0.6,0.6666666666666666,0.6548086577531306,0.25,0.6,0.3,0.45454545454545453,0.424926013816671,0.25,0.3
106,17,0.8,0.9333333333333332,0.8687949224876582,0.23529411764705882,0.8,0.5,0.6909090909090909,0.6371523797895856,0.29411764705882354,0.5
