metric,value,std_error,count
WHR@5,0.39624523373310955,0.0175871505886926,3
precision@5,0.330245716133204,0.019214640875193718,3
HR@10,0.36866984588856555,0.0199532383247873,3
recall@10,0.3196412091269844,0.014489047933485152,3
recall@5,0.24020886884007586,0.007678758504494875,3
WHR@10,0.34079065789237206,0.018384821598305172,3
precision@10,0.24118978338182995,0.016742320883848437,3
nDCG@5,0.3894817038246056,0.017684065557887978,3
HR@5,0.38545775406832633,0.019892532555612776,3
nDCG@10,0.3463554023423357,0.016658302056530988,3
