method,HR@5,nDCG@5,HR@10,nDCG@10
recency,0.6075490196078431,0.573696313877618,0.611797385620915,0.573696313877618
frequency,0.607875816993464,0.567467292439704,0.611797385620915,0.567467292439704
racf,0.5987908496732026,0.5660509695305176,0.6015359477124181,0.5659471411641209
tifuknn,0.5984640522875817,0.5658646873799489,0.6083986928104574,0.5657608590135522
fpmc,0.5413725490196079,0.4657022098579024,0.5504901960784313,0.4657022098579024
triple2vec,0.599281045751634,0.5625411426671226,0.6031699346405229,0.5623883934784603
sets2sets,0.5955228758169935,0.5603810575623189,0.6015359477124181,0.5602507735229434
dnntsp,0.141437908496732,0.1191084726155748,0.1493464052287581,0.1191084726155748
cbp,0.599281045751634,0.5616293073943582,0.6015359477124184,0.5615348643273109
diffrec,0.5886601307189543,0.5535915795388152,0.5956535947712417,0.5534437995892806
