metric,value,std_error,count
recall@10,0.6015359477124184,0.006658090729030963,3
WHR@5,0.5609586056644881,0.004616076535061582,3
nDCG@10,0.5615348643273109,0.004707323394029654,3
precision@10,0.07313725490196078,0.0036314233681278714,3
HR@10,0.6015359477124184,0.006658090729030963,3
precision@5,0.14509803921568626,0.007724594354349893,3
HR@5,0.599281045751634,0.00805679835035302,3
WHR@10,0.5600594969096456,0.004725424116706335,3
recall@5,0.5990849673202613,0.007860750919292954,3
nDCG@5,0.5616293073943582,0.00475492211069253,3
