metric,value,std_error,count
WHR@5,0.5539246809835044,0.0027546333590806244,3
HR@10,0.5956535947712417,0.010362569382408008,3
precision@5,0.14196078431372547,0.006971132876325951,3
recall@5,0.5884640522875816,0.007156713520991826,3
HR@5,0.5886601307189543,0.007349745129654994,3
nDCG@10,0.5534437995892806,0.0025433297911062113,3
precision@10,0.07235294117647058,0.004117647058823529,3
WHR@10,0.5522830231737231,0.0025699552639553893,3
nDCG@5,0.5535915795388152,0.0025873674387049163,3
recall@10,0.5956535947712417,0.010362569382408008,3
