metric,value,std_error,count
precision@10,0.023529411764705882,0.0031721993425507357,3
recall@10,0.14070779827082347,0.015219248245707957,3
nDCG@10,0.11532949078152677,0.015413884989871306,3
WHR@5,0.1143857543017207,0.015340901148714683,3
WHR@10,0.11347958370055135,0.015560411574730601,3
HR@10,0.1416199813258637,0.015609929790052435,3
nDCG@5,0.11527562398974961,0.015349632019059247,3
precision@5,0.042296918767507,0.006066220680030173,3
recall@5,0.131498356918525,0.018557602893213114,3
HR@5,0.13316993464052287,0.01939756247365231,3
