metric,value,std_error,count
WHR@5,0.46475412387177095,0.022633981569868216,3
precision@10,0.06568627450980391,0.001413941676652542,3
HR@5,0.5413725490196079,0.013438645995886005,3
WHR@10,0.46375091901225574,0.023092352471530346,3
HR@10,0.5504901960784313,0.00900805597274174,3
nDCG@5,0.4657022098579024,0.02163811795208888,3
nDCG@10,0.4657022098579024,0.02163811795208888,3
recall@5,0.5413725490196079,0.013438645995886005,3
precision@5,0.12705882352941175,0.0029607193863806828,3
recall@10,0.5504901960784313,0.00900805597274174,3
