user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
480,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
522,1,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5
180,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
675,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
757,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
834,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5
443,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
173,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
547,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
624,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
393,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
396,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
830,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
709,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
328,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,2,1.0,0.4444444444444445,0.3868528072345415,1.0,0.6666666666666666,1.0,0.4736842105263158,0.3868528072345415,1.0,0.6666666666666666
379,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
527,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
460,1,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5
184,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
627,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
