metric,value,std_error,count
nDCG@10,0.5624130678261666,0.005330026613530769,3
recall@5,0.5871739604932882,0.0075554378578653455,3
recall@10,0.5924957861932653,0.006672755077772569,3
precision@10,0.5627734427104175,0.005706509350441063,3
precision@5,0.5622082166199813,0.005860126148754981,3
nDCG@5,0.5623296865663798,0.005380187721798438,3
WHR@5,0.5546107331821618,0.00500090740399948,3
WHR@10,0.5534658310374634,0.0048629541220623065,3
HR@10,0.6030812324929973,0.005864122967828076,3
HR@5,0.5985060690943044,0.006560411731988475,3
