metric,value,std_error,count
WHR@5,0.5588379796362989,0.010024387572503653,3
precision@10,0.07492997198879552,0.0030331103400150915,3
HR@5,0.5913165266106443,0.006465371925817264,3
recall@10,0.5931960663053101,0.0059799625579303635,3
precision@5,0.1453781512605042,0.005402605468343396,3
WHR@10,0.5579018333730591,0.009759271812642932,3
nDCG@5,0.5589629735454261,0.010103160101830808,3
recall@5,0.5892748008294226,0.0064785526279855865,3
HR@10,0.5942110177404295,0.00624576757169373,3
nDCG@10,0.5589778603707705,0.009962924009506558,3
