metric,value,std_error,count
nDCG@5,0.573696313877618,0.011177241643463362,3
precision@10,0.5730625583566761,0.0055788572052138845,3
precision@5,0.5726797385620914,0.006598394491045232,3
HR@5,0.6075490196078431,0.008525654645430668,3
WHR@5,0.5646436352318706,0.009868540594260853,3
recall@10,0.6005555555555554,0.004192569746374817,3
recall@5,0.5963071895424835,0.0065317797167792424,3
WHR@10,0.5632729708096975,0.009528828441481379,3
nDCG@10,0.573696313877618,0.011177241643463362,3
HR@10,0.611797385620915,0.005775259706218451,3
