user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
668,4,0.75,0.7142857142857143,0.7536976112592699,0.75,0.6,1.0,0.7352941176470588,0.7536976112592699,1.0,0.4
301,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
468,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
469,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
286,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
282,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
158,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
429,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
444,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
496,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
160,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
711,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
365,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
132,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
485,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
152,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
130,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
712,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
334,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
390,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
185,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
310,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
795,2,1.0,0.4444444444444445,0.3868528072345415,1.0,0.4,1.0,0.4736842105263158,0.3868528072345415,1.0,0.2
425,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
810,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
699,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
207,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
85,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
507,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
593,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
367,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
787,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
113,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
623,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
279,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
199,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
420,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
426,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
636,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
835,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
550,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
235,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
354,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
212,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
761,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
483,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
475,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.3
539,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
96,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
659,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
576,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
557,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
809,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
749,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
646,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
359,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,3,0.6666666666666666,0.5833333333333334,0.5307212739772434,0.6666666666666666,0.4,0.6666666666666666,0.6296296296296297,0.5307212739772434,0.6666666666666666,0.2
357,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
73,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
702,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
510,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
589,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
763,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
211,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
181,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
817,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
344,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
406,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
319,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
638,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
115,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
536,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
718,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
70,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
229,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
304,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
832,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
502,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
416,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
729,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
287,2,0.5,0.4444444444444445,0.3868528072345415,0.5,0.2,0.5,0.4736842105263158,0.3868528072345415,0.5,0.1
64,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
627,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
822,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
748,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
609,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
508,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
210,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
774,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
783,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
603,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
461,5,0.8,0.9333333333333332,0.8687949224876582,0.8,0.8,0.8,0.8500000000000001,0.8687949224876582,0.8,0.4
657,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
794,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
