metric,value,std_error,count
HR@10,0.5848506069094304,0.005834126780711951,3
nDCG@10,0.5524689935171927,0.01459177667330329,3
recall@10,0.5815847551141669,0.008027910815998159,3
recall@5,0.5752875392581275,0.0071824256256388195,3
WHR@5,0.551282179538482,0.013817035333936592,3
HR@5,0.5800653594771241,0.0050396387517132055,3
precision@5,0.14159663865546215,0.004735053642682624,3
nDCG@5,0.5523821874099095,0.014651274555821884,3
precision@10,0.07521008403361344,0.003904022371083015,3
WHR@10,0.550193127255593,0.013419591138644882,3
